Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
fty720,simplechemical,,,pubchem,107969,,,pp2a,protein,,,uniprot,p67775,,,negative,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","pmc5467491,pmc5467491,pmc5467491,pmc5467491,pmc5467491,pmc5467491,pmc5467491,pmc5467491",8,100,40,1,840
map4k4,protein,,,uniprot,o95819,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","pmc5467491,pmc5467491,pmc5467491,pmc5467491,pmc5467491,pmc5467491,pmc5467491,pmc5467491",8,100,40,1,840
belinostat,simplechemical,,,pubchem,6918638,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","pmc5537703,pmc5537703,pmc5537703,pmc5537703,pmc5537703,pmc5537703",6,100,40,1,640
rerg,protein,,,uniprot,q96a58,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","pmc5410235,pmc5410235,pmc5410235,pmc5410235,pmc5410235",5,100,40,1,540
tgf-β,family,,,uaz,uaz00333,,,smad,family,,,be,smad,,,negative,i,,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","pmc4440819,pmc4440819,pmc4440819,pmc4440819,pmc4440819",5,100,40,1,540
ptprs,protein,,,uniprot,q13332,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc6006154,pmc6006154,pmc6006154,pmc6006154",4,100,40,1,440
ppar,protein,,,uniprot,q07869,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc5190119,pmc5190119,pmc5190119,pmc5190119",4,100,40,1,440
rerg,protein,,,uniprot,q96a58,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc5410235,pmc5410235,pmc5410235,pmc5410235",4,100,40,1,440
map4k4,protein,,,uniprot,o95819,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc5467491,pmc5467491,pmc5467491,pmc5467491",4,100,40,1,440
map4k4,protein,,,uniprot,o95819,,,jnk,family,,,be,jnk,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc5467491,pmc5467491,pmc5467491,pmc5467491",4,100,40,1,440
tgf-β1,protein,,,uaz,uaz02902,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4440819,pmc4440819,pmc4440819",3,100,40,1,340
