index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
2,gabp,protein,,,uniprot,q9zu50,,,tert,protein,,,uniprot,o14746,,,negative,i,,,,,,,nan,nan,nan,pmc5463402,1,100,40,1,140
15,smoke,simplechemical,,,uaz,ua-bp-sc-00380,,,c-jun n-terminal kinase 1,protein,,,uniprot,p45983,,,negative,i,,,,,,,nan,nan,nan,pmc5463402,1,100,40,1,140
14,sclcs,protein,,,uaz,uaz09330,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc5463402,1,100,40,1,140
12,sclcs,protein,,,uaz,uaz09330,,,e2f1,protein,,,uniprot,q01094,,,negative,i,,,,,,,nan,nan,nan,pmc5463402,1,100,40,1,140
0,erk,family,,,be,erk,,,rsk,family,,,be,rsk,,,positive,i,,,,,,,nan,nan,nan,pmc6073214,1,1,40,1,41
7,prkaa1,protein,,,uniprot,q13131,,,autophagy,bioprocess,,,go,go:0006914,,,negative,i,,,,,,,nan,nan,nan,pmc5463402,1,1,40,1,41
18,tert,protein,,,uniprot,o14746,,,apoptosis,bioprocess,,,go,go:0006915,,,negative,i,,,,,,,nan,nan,nan,pmc5463402,1,1,40,1,41
19,tert,protein,,,uniprot,o14746,,,ga,protein,,,uniprot,q9ui32,,,negative,i,,,,,,,nan,nan,nan,pmc5463402,1,1,40,1,41
16,smoke,simplechemical,,,uaz,ua-bp-sc-00380,,,inflammation,bioprocess,,,go,go:0006954,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5463402,pmc5463402",2,0.1,39,1,39.2
8,proteasome,protein,,,be,proteasome,,,translation,bioprocess,,,go,go:0006412,,,positive,i,,,,,,,nan,nan,nan,pmc5935074,1,0.1,39,1,39.1
9,rsk,family,,,be,rsk,,,perk1/2,protein,,,uniprot,q9zue0,,,positive,i,,,,,,,nan,nan,nan,pmc6073214,1,0.1,39,1,39.1
1,erk1/2,family,,,be,erk,,,es,simplechemical,,,pubchem,6995653,,,negative,i,,,,,,,nan,nan,nan,pmc6073214,1,0.1,39,1,39.1
11,rsk1,protein,,,uniprot,q15418,,,gfp,family,,,pfam,pf01353,,,negative,i,,,,,,,nan,nan,nan,pmc6073214,1,0.1,39,1,39.1
6,ltn1,protein,,,uniprot,o94822,,,translation,bioprocess,,,go,go:0006412,,,positive,i,,,,,,,nan,nan,nan,pmc5935074,1,0.1,39,1,39.1
13,sclcs,protein,,,uaz,uaz09330,,,phosphoinositide 3-kinase,protein,,,uaz,uaz00053,,,positive,i,,,,,,,nan,nan,nan,pmc5463402,1,0.1,39,1,39.1
5,ltn1,protein,,,uniprot,o94822,,,rsk1/2,protein,,,uaz,uaz08081,,,positive,i,,,,,,,nan,nan,nan,pmc5935074,1,0.1,39,1,39.1
4,ltn1,protein,,,uniprot,o94822,,,rsk1,protein,,,uniprot,q15418,,,positive,i,,,,,,,nan,nan,nan,pmc5935074,1,0.1,39,1,39.1
17,sugar,simplechemical,,,pubchem,5988,,,fig,protein,,,uniprot,q9hd26,,,positive,i,,,,,,,nan,nan,nan,pmc5463402,1,0.1,39,1,39.1
3,gsk3,family,,,be,gsk3,,,tcf3,protein,,,uniprot,p15923,,,positive,i,,,,,,,nan,nan,nan,pmc6073214,1,0.1,39,1,39.1
10,rsk1,protein,,,uniprot,q15418,,,es,simplechemical,,,pubchem,6995653,,,negative,i,,,,,,,nan,nan,nan,pmc6073214,1,0.1,39,1,39.1
