index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
4,akt,family,,,,p31749,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc2275380,pmc2275380,pmc2275380",3,100,40,1,340
160,tgfbeta,family,,,,p01137,,,foxp3,protein,,,uniprot,q9bzs1,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc2275380,pmc2275380",2,100,40,1,240
72,itk,protein,,,,q08881,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3949578,pmc3949578",2,100,40,1,240
76,itk,protein,,,,q08881,,,pi3k,protein,,,be,p42336,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
73,itk,protein,,,,q08881,,,il2,protein,,,uniprot,p60568,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
36,ck2,protein,,,,ck2,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4496363,1,100,40,1,140
40,ck2,protein,,,,q53gl0,,,pten,protein,,,,p60486,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
41,ck2,protein,,,,q53gl0,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc5193405,1,100,40,1,140
137,ship,protein,,,,q92835,,,pi,protein,,,be,p42336,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,100,40,1,140
135,ras,family,,,,pf00071,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
51,foxo1,protein,,,,q12778,,,pten,protein,,,,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
53,foxos,protein,,,,uaz01641,,,pi3k,protein,,,be,p42336,,,negative,i,,,,,,,nan,nan,nan,pmc3375464,1,100,40,1,140
59,hil2,protein,,,,p15796,,,foxp3,protein,,,uniprot,q9bzs1,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
69,iqgap1,protein,,,,p46940,,,mek2,protein,,,uniprot,p36507,,,negative,i,,,,,,,nan,nan,nan,pmc3625979,1,100,40,1,140
121,plcgamma,family,,,,ipr016279,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
74,itk,protein,,,,q08881,,,mtor,protein,,,uniprot,p42345,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
32,cd5,protein,,,,p06127,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc5193405,1,100,40,1,140
77,itk,protein,,,,q08881,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
79,mcc,protein,,,,p23508,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc2916126,1,100,40,1,140
82,mek,family,,,,mek,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc3625979,1,100,40,1,140
107,pdl1,protein,,,,q9nzq7,,,il2,protein,,,uniprot,p60568,,,positive,i,,,,,,,nan,nan,nan,pmc4669187,1,100,40,1,140
85,mek1,protein,,,,q02750,,,pten,protein,,,,p60485,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
86,mhc,protein,,,,p05661,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc2916126,1,100,40,1,140
95,nedd4,protein,,,,p46934,,,pten,protein,,,,p60487,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
96,nedd4,protein,,,,p46934,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
98,p53,protein,,,,p04637,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
100,pak1,protein,,,,q13153,,,mtor,protein,,,uniprot,p42345,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,100,40,1,140
35,ck2,protein,,,,ck2,,,pi3k,protein,,,be,p42336,,,negative,i,,,,,,,nan,nan,nan,pmc4496363,1,100,40,1,140
48,erk,family,,,,p29323,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
103,pd1,protein,,,,p18621,,,il2,protein,,,uniprot,p60568,,,positive,i,,,,,,,nan,nan,nan,pmc4669187,1,100,40,1,140
27,cd4,protein,,,,p01730,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
9,akt,family,,,,p31749,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc5193405,1,100,40,1,140
29,cd4,protein,,,,p01730,,,il2,protein,,,uniprot,p60568,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
16,akt,simplechemical,,,,p31749,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
17,anticd28,protein,,,,uaz02622,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
7,akt,family,,,,p31749,,,pi3k,protein,,,be,p42336,,,positive,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
24,calcium,simplechemical,,,,5460341,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,100,40,1,140
112,pi3k,protein,,,,p42336,,,akt,family,,,be,p31749,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4712330,pmc4496363,pmc4496363,pmc4496363",4,1,40,1,44
57,foxp3,protein,,,,q9bzs1,,,itk,protein,,,uniprot,q08881,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3949578,pmc3949578",2,1,40,1,42
123,pten,protein,,,,p60484,,,akt,family,,,be,p31749,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,1,40,1,41
113,pi3k,protein,,,,p42336,,,apoptosis,bioprocess,,,go,go:0006915,,,negative,i,,,,,,,nan,nan,nan,pmc4496363,1,1,40,1,41
155,tcr,protein,,,,p04234,,,itk,protein,,,uniprot,q08881,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,1,40,1,41
14,akt,protein,,,,p31749,,,stat5,family,,,be,p42229,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,1,40,1,41
