Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
akt,family,,,,p31749,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc2275380,pmc2275380,pmc2275380",3,100,40,1,340
tgfbeta,family,,,,p01137,,,foxp3,protein,,,uniprot,q9bzs1,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc2275380,pmc2275380",2,100,40,1,240
itk,protein,,,,q08881,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3949578,pmc3949578",2,100,40,1,240
nedd4,protein,,,,p46934,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
ship,protein,,,,q92835,,,pi,protein,,,be,p42336,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,100,40,1,140
foxo1,protein,,,,q12778,,,pten,protein,,,,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
pdl1,protein,,,,q9nzq7,,,il2,protein,,,uniprot,p60568,,,positive,i,,,,,,,nan,nan,nan,pmc4669187,1,100,40,1,140
cd4,protein,,,,p01730,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
cd4,protein,,,,p01730,,,il2,protein,,,uniprot,p60568,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
cd5,protein,,,,p06127,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc5193405,1,100,40,1,140
ck2,protein,,,,ck2,,,pi3k,protein,,,be,p42336,,,negative,i,,,,,,,nan,nan,nan,pmc4496363,1,100,40,1,140
ck2,protein,,,,ck2,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4496363,1,100,40,1,140
ck2,protein,,,,q53gl0,,,pten,protein,,,,p60486,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
hil2,protein,,,,p15796,,,foxp3,protein,,,uniprot,q9bzs1,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
ck2,protein,,,,q53gl0,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc5193405,1,100,40,1,140
ras,family,,,,pf00071,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
plcgamma,family,,,,ipr016279,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
nedd4,protein,,,,p46934,,,pten,protein,,,,p60487,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
erk,family,,,,p29323,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
foxos,protein,,,,uaz01641,,,pi3k,protein,,,be,p42336,,,negative,i,,,,,,,nan,nan,nan,pmc3375464,1,100,40,1,140
calcium,simplechemical,,,,5460341,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,100,40,1,140
iqgap1,protein,,,,p46940,,,mek2,protein,,,uniprot,p36507,,,negative,i,,,,,,,nan,nan,nan,pmc3625979,1,100,40,1,140
itk,protein,,,,q08881,,,il2,protein,,,uniprot,p60568,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
itk,protein,,,,q08881,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
p53,protein,,,,p04637,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
akt,family,,,,p31749,,,pi3k,protein,,,be,p42336,,,positive,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
akt,family,,,,p31749,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc5193405,1,100,40,1,140
mhc,protein,,,,p05661,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc2916126,1,100,40,1,140
mek1,protein,,,,q02750,,,pten,protein,,,,p60485,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
mek,family,,,,mek,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc3625979,1,100,40,1,140
mcc,protein,,,,p23508,,,tcr,protein,,,uniprot,p04234,,,positive,i,,,,,,,nan,nan,nan,pmc2916126,1,100,40,1,140
pak1,protein,,,,q13153,,,mtor,protein,,,uniprot,p42345,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,100,40,1,140
itk,protein,,,,q08881,,,pi3k,protein,,,be,p42336,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
pd1,protein,,,,p18621,,,il2,protein,,,uniprot,p60568,,,positive,i,,,,,,,nan,nan,nan,pmc4669187,1,100,40,1,140
itk,protein,,,,q08881,,,mtor,protein,,,uniprot,p42345,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
akt,simplechemical,,,,p31749,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
anticd28,protein,,,,uaz02622,,,foxp3,protein,,,uniprot,q9bzs1,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,100,40,1,140
pi3k,protein,,,,p42336,,,akt,family,,,be,p31749,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4712330,pmc4496363,pmc4496363,pmc4496363",4,1,40,1,44
foxp3,protein,,,,q9bzs1,,,itk,protein,,,uniprot,q08881,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3949578,pmc3949578",2,1,40,1,42
mtor,protein,,,,p42345,,,pak1,protein,,,uniprot,q13153,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
foxp3,protein,,,,q9bzs1,,,ctla4,protein,,,uniprot,p16410,,,positive,i,,,,,,,nan,nan,nan,pmc2275380,1,1,40,1,41
mtor,protein,,,,p42345,,,pak1,protein,,,uniprot,q13153,,,negative,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
foxp3,protein,,,,q9bzs1,,,gpr83,protein,,,uniprot,q9nym4,,,positive,i,,,,,,,nan,nan,nan,pmc2275380,1,1,40,1,41
pi3k,protein,,,,p42336,,,apoptosis,bioprocess,,,go,go:0006915,,,negative,i,,,,,,,nan,nan,nan,pmc4496363,1,1,40,1,41
mtor,protein,,,,p42345,,,akt,family,,,be,p31749,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
pi3k,protein,,,,p42336,,,caspase,family,,,be,caspase,,,negative,i,,,,,,,nan,nan,nan,pmc4496363,1,1,40,1,41
pi,protein,,,,p42336,,,akt,family,,,be,p31749,,,negative,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
pi3k,protein,,,,p42336,,,pak1,protein,,,uniprot,q13153,,,negative,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
pdk1,protein,,,,q15118,,,akt,family,,,be,p31749,,,positive,i,,,,,,,nan,nan,nan,pmc4550078,1,1,40,1,41
