Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
itap,protein,,,,o77091,,,er,protein,,,uniprot,p03372,,,positive,i,activation,,,,,,nan,nan,"first, loss of itap, which binds to irhom2 (xref_fig ⊓ xref_fig; xref_table), could impair er exit of the irhom / tace complex, causing a failure in tace maturation, as observed in irhom ko cells (xref_bibr; xref_bibr).",pmc6042963,1,100,40,1,140
tetraspanin,family,,,,ipr000301,,,app,protein,,,uniprot,p05067,,,positive,i,activation,,,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [xref_bibr, xref_bibr, xref_bibr], app cleavage is inhibited by tspan15 in u2os and pc3 cells [xref_bibr], but promoted by this tetraspanin in hek and n2a cells [xref_bibr], and cd44 cleavage is promoted by tspan5 but not tspan15 [xref_bibr].",pmc5490636,1,100,40,1,140
tspan15,protein,,,,o95858,,,app,protein,,,uniprot,p05067,,,negative,i,activation,,,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [xref_bibr, xref_bibr, xref_bibr], app cleavage is inhibited by tspan15 in u2os and pc3 cells [xref_bibr], but promoted by this tetraspanin in hek and n2a cells [xref_bibr], and cd44 cleavage is promoted by tspan5 but not tspan15 [xref_bibr].",pmc5490636,1,100,40,1,140
hek,protein,,,,p29320,,,app,protein,,,uniprot,p05067,,,positive,i,activation,,,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [xref_bibr, xref_bibr, xref_bibr], app cleavage is inhibited by tspan15 in u2os and pc3 cells [xref_bibr], but promoted by this tetraspanin in hek and n2a cells [xref_bibr], and cd44 cleavage is promoted by tspan5 but not tspan15 [xref_bibr].",pmc5490636,1,100,40,1,140
pba,protein,,,,uaz02033,,,er,protein,,,uniprot,p03372,,,negative,i,activation,,,,,,nan,nan,tfa or pba treatment inhibited the er stress and the activation of irhom2 / tace signalling that was induced by age in vitro (xref_fig).,pmc6130561,1,100,40,1,140
grx3,protein,,,,q03835,,,ap1,protein,,,be,ap1,,,negative,i,inhibition,,,,,,nan,nan,overexpression of grx3 in t-cells on the other hand inhibited nf Ϻ b- as well as ap1 induced gene expression [xref_bibr].,pmc5651112,1,100,40,1,140
pc3,protein,,,,p78543,,,app,protein,,,uniprot,p05067,,,negative,i,activation,,,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [xref_bibr, xref_bibr, xref_bibr], app cleavage is inhibited by tspan15 in u2os and pc3 cells [xref_bibr], but promoted by this tetraspanin in hek and n2a cells [xref_bibr], and cd44 cleavage is promoted by tspan5 but not tspan15 [xref_bibr].",pmc5490636,1,100,40,1,140
adam17,protein,,,,p78536,,,tgf,protein,,,uaz,uaz01001,,,negative,i,activation,,,,,,nan,nan,"adam17 antisense oligonucleotides, however, did not inhibit tgf ϱ-induced proliferation (fig.",pmc1976612,1,100,40,1,140
tfa,simplechemical,,,,84468,,,er,protein,,,uniprot,p03372,,,negative,i,activation,,,,,,nan,nan,tfa or pba treatment inhibited the er stress and the activation of irhom2 / tace signalling that was induced by age in vitro (xref_fig).,pmc6130561,1,100,40,1,140
adam17,protein,,,,p78536,,,tgf,protein,,,uaz,uaz01001,,,positive,i,activation,,,,,,nan,nan,adam17 induces tgf ϱ-mediated proliferation of nhbe cells.,pmc1976612,1,100,40,1,140
