index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
65606,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","overexpression of cip1 could lead to cell cycle arrest and apoptosis [ xref_bibr ] , contrary to the proliferative effects of mdm2 mediated p53 loss .,inactivation of ck1 ( primarily ck1delta or epsilon and to a lesser extent ck1alpha ) results in accumulation of mdm2 , thus decreased p53 activity and resistance to apoptosis induced by dna damaging agents [ xref_bibr ] .,mdm2 was reported to inhibit p53 transcription function by blocking p53 surface that interact with the basal transcription factors such as tfiie [ xref_bibr ] .,mdm2 is an e3 ubiquitin ligase for p53 , and degrades p53 protein in a proteasome dependent manner [ xref_bibr ] , suggesting that sentrin-1 is able to modulate the apoptotic pathway in ra synovial tissues .,maeda et al have shown that pokemon can inhibit transcription of p14arf and subsequently reactivate mdm2 , which reduces p53 expression xref_bibr .,the survival of cancer cells can be enhanced through the accumulation of genetic mutations that lower the levels of some tumor suppressors , like p53 ( which triggers growth arrest , senescence and apoptosis ) , or by altering the expression of tumor suppressor-regulatory proteins , like mdm2 , which enhances p53 degradation [ xref_bibr - xref_bibr ] .,ubiquitin lygase mdm2 decreases the stability of p53 and regulates the prb and e2f complex xref_bibr .,arf protein counteracts the degradation of p53 by mdm2 ; thus , deletion in the arf gene would reduce the protein level of p53 .,several mechanisms are thought to influence p53 tumor suppressor inactivation in ews cell lines including ews-fli1 mediated silencing [ xref_bibr ] and degradation of p53 by mdm2 [ xref_bibr ] . ++++ several mechanisms are thought to influence p53 tumor suppressor inactivation in ews cell lines including ews-fli1 mediated silencing [ xref_bibr ] and degradation of p53 by mdm2 [ xref_bibr ] .,it prevents the transactivation capacity of p53 and/or designates it for proteasomal degradation .,the ubiquitin mediated proteasomal degradation of p53 by mdm2 , one of its many negative regulators , symbolizes as one of the most important regulations in p53 mediated tumor suppressive activities ( di et al. , xref_bibr ; essmann and schulze-osthoff , xref_bibr ) .,mdm2 also directly represses p53 activity .,inhibition of mdm2 can restore p53 activity in cancers leading to anti-tumor effects with apoptosis and growth inhibition .,abnormality in the p53 pathway can yield negative effects on the homeostasis of normal cells ; thus , mdm2 can attenuate excess p53 effect as a principal regulator of p53 .,since wild-type p53 is quickly degraded by mdm2 , extensive efforts have been performed to identify the small compound ( s ) , which could inhibit the interaction between p53 and mdm2 .,under normal conditions , ck1alpha has furthermore been suggested to be a key player promoting p53 inhibition and degradation by mdm2 .,xref_bibr pvhl is likely to indirectly block mdm2 mediated degradation of p53 by recruiting atm and mediating atm dependent ser 15 phosphorylation of p53 .,akt indirectly downregulates activation of the pro apoptotic protein p53 by activating mdm2 ( murine double minute-2 ) , which promotes p53 degradation .","pmc4728538,pmc4201705,pmc4142057,pmc125298,pmc3714264,pmc3565350,pmc3347505,pmc1929113,pmc4646493,pmc3759859,pmc4824013,pmc3794078,pmc4232645,pmc4979029,pmc3775453,pmc4032983,pmc3682694,pmc2886325",18,10,11,1,191
54669,il-6,protein,,,,p05231,,,stat3,protein,,,uniprot,p40763,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","it has been reported that the il-6 cytokine family is able to induce stat3 activation through the gp130 receptor by using an ' unconventional ' signaling route that involves erk1/2 phosphorylation [ xref_bibr ] .,binding of il-6 to its receptor initiates cellular events including activation of stat3 upstream kinases , which then phosphorylate and activate stat3 [ xref_bibr ] .,they further showed that stat3 is activated via autocrine signaling by il-6 family ligands and genetic or pharmacologic inhibition of the gp130 and jak2 signaling pathway disrupts activation of stat3 [ xref_bibr ] .,xref_bibr muscle stat3 activation by il-6 is a common feature of cancer associated muscle wasting .,we found that lupeol also suppressed stat3 activation induced by il-6 , one of the many tumour cell growth factors that activate stat3 ( xref_bibr ) .,lesina et al. reported that il-6 trans-signaling-dependent activation of stat3 and socs3 is required to promote progression of pancreatic intraepithelial neoplasias ( panins ) and pancreatic ductal adenocarcinoma ( pdac ) that carry the kras ( g12d ) mutaion .,to further strengthen the role of stat3 in anoikis resistance , il-6 was used to activate stat3 . ++++ il-6 is well known to activate stat3 by phosphorylation at y705 [ xref_bibr ] .,unexpected , when we examined whether up-regulation of stat3 by il-6 could contribute to an increase in beta-catenin-mediated transcriptional activity , we got negative results ( xref_fig ) .,il-6 also activates stat3 causing direct activation of mir-21 and mir-18b-1 , which respectively inhibit pten and cyld ( tumor suppressor genes ) ( xref_bibr ) .,il-6 , which is involved in melanoma survival , can activate stat3 through jak [ xref_bibr ] .,in breast cancer xenografts , il-6 activates stat3 by binding to its receptor ( gp130 ) and directly stimulates breast csc self-renewal [ xref_bibr ] .,il-6 signalling also drives the activation of stat3 , which can bind isre cis-elements , another potential mechanism to activate the ervk ltr .,this chronic inflammation results in an elevated constitutive activity of nf-kappab and a release of cytokines such as il-6 , which by itself activates stat3 .,il-6 and tnf-alpha can activate stat3 oncogenic signaling in obesity dependent carcinogenesis , as seen in hcc [ xref_bibr ] .,however , association of the il-6 receptor with the egfr can activate stat3 in presence of the inhibition of socs3 to jak1 and jak2 xref_bibr .","pmc2242666,pmc4444003,pmc4074799,pmc4012137,pmc4183851,pmc3772102,pmc4196183,pmc3842975,pmc4601860,pmc4730348,pmc4769767,pmc3598470,pmc3750319,pmc4488829,pmc4629442",15,10,10,1,160
86854,pi3k,proteinfamilyproteincomplex,,,,pi3k,,,akt,proteinfamilyproteincomplex,,,be,akt,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","selective modulation of genes in the erk and mapk and pi3k and akt canonical pathways by mek1/2 and pi3k and mtor dual blockade compared to braf and pi3k and mtor co-targeting .,pi3k can activate akt and subsequently phosphorylate several target proteins , including mammalian target of rapamycin ( mtor ) .,mir-21 is activated by ras signaling and suppressed by several negative regulators of ras signaling and the pi3k and akt pathway , which in turn potentiates ras activation and pi3k and akt activities 72 .,deregulation of pi3k causes aberrant akt activity .,pi3k , instead , leads to the activation of the serine threonine kinase akt that , in turn , recruits downstream effectors , such as mtor , and consequently ribosomal protein s6 kinase 1 ( s6k1 ) and eukaryotic translation initiation factor 4e binding protein 1 ( 4ebp1 ) ( xref_bibr , xref_bibr ) .,the activity of pi3k by its catalytic p110 subunit is required for the generation of pip3 , which in turn recruits and phosphorylates pdk to completely activate akt by phosphorylation xref_bibr xref_bibr .,the latter suggests that an activation of pi3k not necessarily induces an increased activation of akt in cancer cells .,for the pracgap1 > sos1e , ralbp1 , vav2 case , the only proteins which are implicated as vital for the pro invasive rac to rho switch downstream of rcp dependent trafficking and subsequent egf stimulation were those which act upstream of akt activation , such as the well-known akt activators pi3k and pip3 [ xref_bibr , xref_bibr ] or the proteins upstream of rhoa activation , which in this model were vav2 and its activator pip3 ( xref_fig ) .,it mediates growth factor and insulin signaling and leads to the activation of akt via pdk1 .,the pi3k driven akt activation leads to a direct regulation of glycolytic enzymes and activation of mtor .,activation of the insulin receptor ( ir ) and the igf-1r stimulate pi3k , which in turn activates akt , a regulator of the mammalian target of rampamycin ( mtor ) .,pi3k stimulation induces rapid accumulation of akt in mitochondria .,pi3k activated ( phosphorylated ) akt promotes cell survival by inhibiting apoptosis through its ability to phosphorylate and inactivate downstream targets of the apoptotic machinery , such as the pro apoptotic bcl-2 family member bad and gsk-3beta .,because the inhibition of pi3k reduces the activity of akt that activates mtorc1 activity , these results are somewhat complicated .","pmc4826182,pmc4687249,pmc4002725,pmc4001841,pmc4121406,pmc4585759,pmc4613246,pmc4854413,pmc3757434,pmc4570748,pmc3683483,pmc4508255,pmc3629226,pmc4346488",14,10,10,1,150
120971,vegf,protein,,,,p15692,,,proliferation,biologicalprocess,,,go,go:0008283,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","to determine the percentage of inhibition of endothelial proliferation stimulated by vegf , huvecs were plated into 96-well plates at 5500 per well and starved for 24 h after attachment . ++++ as shown in xref_fig , dw10075 markedly inhibited the vegf stimulated proliferation of huvecs in a dose dependent manner , with an ic 50 value of 3.9 nmol/l .,nevertheless , nk4 inhibits vegf induced proliferation , without modification of vegf mediated erk1/2 activation .,furthermore , alvarez-vallina exposed the effects of a vegf blocking human single-domain antibody-mimetic ( vb-sdam )-based n-terminal trimerbody on vegf mediated endothelial cell proliferation and migration in vitro .,consequently , the secretion of vegf in cx43 shrna transfected cells was significantly increased , and stimulated the proliferation of endothelial cells ( xref_fig c , d ) .,interestingly they also found that arresten inhibited vegf induced mrec migration and proliferation , but not mrpec proliferation .,interestingly they also found that arresten inhibited vegf induced mrec migration and proliferation , but not mrpec proliferation .,we have recently reported that vegf causes n-epcs to undergo both proliferation and tubulogenesis by stimulating intracellular ca 2+ oscillations which are maintained over time by soce xref_bibr .,il-8 and vegf can mediate pro survival and proliferation responses through alternative downstream pathways .,inhibitors of vegf and vegfr -2 downstream mediators , such as akt ( wortmannin ) , pi3k ( ly 294002 ) , and pkc ( bisindolylmaleimide i ) also markedly inhibited oec and huvec proliferation in complete angiogenic medium ( xref_fig ) .,unlike vegf , which stimulates endothelial cell proliferation during angiogenesis , incubating huvecs with rccl18 ( 20 ng/ml ) for up to 48 h did not enhance cell proliferation compared with that for control cells , as determined in mtt assays ( p > 0.05 ; figure xref_fig ) , facs analysis of cell cycle distribution ( p > 0.05 ; figure xref_fig ) , and bromodeoxyuridine ( brdu )-incorporation assays ( p > 0.05 ; figure xref_fig ) .,these factors inhibit tumor cell apoptosis and promote tumor proliferation , while normal mscs do not take on these properties .,vegf is one of the main cytokines that can stimulate angiogenesis and it promotes the proliferation of new blood vessels .,[ xref_bibr ] during embryogenesis , vegf promotes differentiation and proliferation of ec and the formation of immature vessels .","pmc4775843,pmc3565297,pmc4112657,pmc4307255,pmc3260939,pmc3260939,pmc3458053,pmc4358942,pmc3021575,pmc4741488,pmc4691158,pmc4803968,pmc2885631",13,10,10,1,140
99039,ros,chemical,,,,chebi:26523,,,apoptosis,biologicalprocess,,,go,go:0006915,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","one potential approach would be to target antioxidant genes in cancer in order to suppress the antioxidant defense mechanisms and make them susceptible to ros mediated apoptosis .,we found that the combinations of ros inducers with foxm1 and proteasome inhibitors stimulated robust apoptosis in human cancer cell lines .,ros increment after tumor necrosis factor ( tnfalpha ) stimulation promotes ask1 activation and induces apoptosis [ xref_bibr ] .,overexpression of txnip attenuates the reducing activity , and inhibits transcription of trx1 resulting in increased ros , which triggers cell cycle arrest or apoptosis ( as referred above ) .,for example , the redox drug elesclomol showed exquisite selectivity for melanoma cells by very rapid production of mitochondrial ros induced apoptosis [ xref_bibr , xref_bibr ] .,during tumor promotion , high cellular activity generates an increased ros burden that causes cell cycle arrest or apoptosis .,studies have focused on se induced stress responses in various cultured cancer cells , from which it is suggested that much of the role of se in cancer prevention is attributable to ros induced apoptosis or cell cycle arrest in cancer cells .,at low level ros modulate gene expression , cell proliferation and they can induce transrciption and apoptosis .,collectively , these results indicate that the inhibition of zbtb3 contributes to the accumulation of abnormal levels of ros causing apoptosis in cancer cells .,furthermore , ros may initiate apoptosis in various ways , such as by leading to mitochondrial permeability transition and the release of cytochrome c , a process inhibited by bcl-2 [ xref_bibr ] .,for this reason , catalase inhibitors can contribute to the resensitization of cancer cells to ros induced apoptosis [ xref_bibr ] .,the generation of ros and nitric oxide acts in synergy and triggers mitochondria dependent apoptosis [ xref_bibr ] .,apoptosis induction by ros has been studied primarily in settings , where cells were exposed to exogenously applied pro oxidants or agents , which caused excessive ros production .","pmc4980327,pmc4095980,pmc3712695,pmc3885921,pmc4466678,pmc4612282,pmc3431821,pmc4637400,pmc4163853,pmc3565256,pmc3835130,pmc3440018,pmc3809515",13,10,10,1,140
3517,akt,proteinfamilyproteincomplex,,,,akt,,,mtorc1,proteinfamilyproteincomplex,,,be,mtorc1,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","thus , this is another mechanism by which akt activates mtorc1 .,mtorc1 is activated by akt via the inhibition of tuberous sclerosis 1/2 ( tsc1/2 ) .,the two mtor complexes are linked through akt since mtorc2 ( i.e. mtor and rictor )-activated akt indirectly stimulates mtorc1 .,growth factor stimulated akt promotes mtorc1 activation through two pathways .,akt activates mtorc1 through an inhibitory phosphorylation of the intermediary tuberous sclerosis complex ( tsc1/2 ) .,it also promotes mtorc1 ( mtor complex 1 ) activation through inhibition of a negative regulator , the tuberous sclerosis complex ( tsc1 and tsc2 ) . ++++ akt , which activates both mtorc1 and 2 , is an hsp90 client [ xref_bibr ] .,transactivation of pten negatively regulates akt activity together with akt dependent activation of mtorc1 [ xref_bibr ] .,thus , this could be yet another mechanism by which akt activates mtorc1 . ++++ nevertheless , akt also phosphorylates proline-richakt-substrate-40 ( pras40 ) , an inhibitor of mtorc1 , and by doing so , it prevents the ability of pras40 to suppress mtorc1 signalling ( recently reviewed in [ xref_bibr , xref_bibr , xref_bibr ] ) .,furthermore , tsc2 , a gtpase activating protein for ras homologue enriched in brain ( rheb ) , is also inactivated by akt , which allows rheb accumulation and thereby activates mtorc1 xref_bibr , xref_bibr .,mammalian target of rapamycin-c2 mediates akt activation , which in turn stimulates and activates mtorc1 .","pmc4102778,pmc4762492,pmc3583692,pmc4216640,pmc4902235,pmc4496161,pmc3759859,pmc3091517,pmc3587337,pmc3322954",10,10,10,1,110
10724,bcl-2,protein,,,,p10415,,,apoptosis,biologicalprocess,,,go,go:0006915,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan","the adenoviral protein e1b-19k is a bcl-2 homolog that blocks apoptosis induction via the intrinsic and extrinsic pathways , specifically including tumor necrosis factor ( tnf )-mediated cell death .,it is very well-known that bcl-2 family proteins can either suppress or promote apoptosis .,bcl-xl is an anti-apoptotic bcl-2 family protein that inhibits apoptosis and is overexpressed in many cancers .,bcl-2 family proteins including bcl-2 and bcl-xl are frequently overexpressed in cancers and inhibit apoptosis by binding to bax or bak [ xref_bibr ] .,bcl2 proteins control the intrinsic pathway of apoptosis at the mitochondria by preventing the release of the cytochrome c. therefore , the inhibition of bcl-2 and bcl-xl by hdaci treatment promotes the release of cytochrome c followed by caspase-9 and caspase-3 activation leading to apoptosis .,more interestingly , bcl-2 activation and overexpression can inhibit apoptosis , prolong cell survival , and reverse the pro apoptotic effect induced by c-myc [ xref_bibr ] .,bcl-2 not only inhibits autophagy by interacting with beclin 1 but it can also inhibit apoptosis by sequestering the proapoptotic protein bax [ xref_bibr , xref_bibr ] .,bcl-2 , bcl like protein 2 and bcl extra large suppress apoptosis , while bax , bcl-2-associated death promoter and bh3 interacting-domain death agonist promote apoptosis . ++++ bcl-2 , bcl like protein 2 and bcl extra large suppress apoptosis , while bax , bcl-2-associated death promoter and bh3 interacting-domain death agonist promote apoptosis .,since bcl-2 family proteins have been found to play roles in the mitochondria and inhibit chemotherapy mediated apoptosis ( chao and korsmeyer 1998 ; green and reed 1998 ) , we have applied gene array analysis to examine whether wnt-1-mediated beta-catenin and tcf transcription regulates the expression of bcl-2 family proteins , including bcl-2 , bcl-xl , bax , bad , and bik . ++++ bcl-2 family proteins have been found to inhibit chemotherapeutic agent mediated apoptosis by preventing cytochrome c release from mitochondria ( kluck et al. 1997 ; yang et al. 1997 ) .","pmc3989763,pmc4881482,pmc4632834,pmc3849547,pmc4954831,pmc4396164,pmc3757434,pmc4581818,pmc2193656",9,10,10,1,100
58640,jnk,proteinfamilyproteincomplex,,,,jnk,,,apoptosis,biologicalprocess,,,go,go:0006915,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan","the erk pathway primarily controls the processes of proliferation and survival , while the jnk pathway can promote either proliferation or apoptosis [ xref_bibr ] .,therefore , the ire1 branch of upr is closely associated with the jnk pathway and involved in jnk mediated apoptosis and autophagy signaling .,the inhibition of jnk decreased apoptosis , whereas inhibition of p38 increased apoptosis . ++++ these findings suggest that jnk activation by mia2 through integrin alpha5 might induce apoptosis . ++++ inhibition of jnk decreased apoptosis in the hsc3 cells .,the jnk and c-jun pathway as an adaptive mechanism inhibiting drug induced apoptosis .,prolonged activation of jnk stimulates apoptosis .,for example , mef hsp70 .1 -/- resist to jnk mediated apoptosis induced by hyperosmolarity [ xref_bibr ] ; whereas , aeg3482 , a promising novel compound , inhibits jnk activity through increased expression of hsp70 [ xref_bibr ] .,depending on the cellular context , activation of jnk can either allow the cells to adapt to er stress by initiating autophagy [ xref_bibr ] or , as discussed further , promote apoptosis in response to persistent or irrecoverable er stress .,in gastrointestinal cancers , a small molecule inhibitor of jnk shows promise as a therapeutic agent , because it induces cell cycle arrest and apoptosis ( xia et al. , xref_bibr ) .,therefore , jnk via bnip3 mediates cardiomyocyte mitochondrial apoptosis and mitophagy , respectively [ xref_bibr ] .","pmc3835109,pmc4060729,pmc3629429,pmc4380931,pmc4661210,pmc4401125,pmc2817393,pmc3356048,pmc4661875",9,10,10,1,100
118322,tumor necrosis factor,protein,,,,p01375,,,apoptosis,biologicalprocess,,,go,go:0006915,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan","cdk15 was reported to attenuate tumor necrosis factor related apoptosis inducing ligand ( trail )-induced apoptosis by phosphorylation of survivin ( park et al. , xref_bibr ) .,we have also reported that monad enhances apoptosis induced by tumor necrosis factor xref_bibr , raising the possibility that monad has tumor-suppressive function .,apigenin at high concentrations ( > 40 microm ) induces apoptosis in leukemia cells and breast cancer cells and sensitizes the malignant tumor cells to tumor necrosis factor related apoptosis inducing ligand ( trail )-induced apoptosis ( xref_bibr - xref_bibr ) .,on the other hand , the pro64 variant and phosphorylation of galectin-3 at ser6 seems to be important in tumor necrosis factor related apoptosis inducing ligand ( trail )-induced apoptosis of human breast carcinoma cells [ xref_bibr , xref_bibr ] .,cd95 is a member of the tumor necrosis factor receptor superfamily [ xref_bibr , xref_bibr ] that induces apoptosis in a variety of cell types .,recombinant forms of tumor necrosis factor related apoptosis inducing ligand ( trail ) and agonistic antibodies to these receptors can induce apoptosis through the activation of caspase-8 .,it remarkably sensitizes breast cancer cells to tumor necrosis factor ( tnf )-related apoptosis inducing ligand mediated apoptosis [ xref_bibr ] .,tumor necrosis factor related apoptosis inducing ligand ( trail ) elicits apoptosis by engaging its cognate death receptors ( drs -- namely , dr4 and dr5 .,a similar observation has been reported recently , showing that lnk protected normal endothelium cells from death and rendered them resistant to apoptosis induced by tumor necrosis factor ( tnf ) and actinomycin-d 29 , suggesting this pro survival effect of lnk is not only limited to ovarian cancer cells .","pmc4390903,pmc3701000,pmc4928072,pmc4440931,pmc2330055,pmc4190567,pmc3440018,pmc4664605,pmc4188804",9,10,10,1,100
32362,egfr,protein,,,,p00533,,,akt,proteinfamilyproteincomplex,,,be,akt,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","these genetic aberrations of egfr cause activation of pi3k and akt signalings , which promote glioma cell proliferation and tumorigenicity via p27 [ xref_bibr ] .,the inhibition of egfr by nelfinavir will reduce akt signaling , consistent with current experimental evidence .,xref_bibr egfr activates at least five different signaling pathways : the ras/raf/mapk , the phospholipase c , the pi3k and akt , the stat , and the src pathways .,[ xref_bibr ] pi3k is activated by egfr stimulation which subsequently activates akt .,we report here that serum deprivation triggers egfr dependent activation of pi3k and akt pathway , which is crucial for the upregulation of p2rx7 gene expression via sp1 factor .,in particular , egfr and her2 and neu activate signaling pathways ( pi3k and akt and erk1/2 map kinase ) , leading to different cellular processes involved in tumor development , such as cell division and migration , adhesion , differentiation , and apoptosis [ xref_bibr ] .,the akt signaling cascade is stimulated by egfr , and represents one pathway by which nf-kappab may be activated [ xref_bibr ] .,treatment of hcc cell lines with gefitinib blocked akt activation induced by egfr itself , although gefitinib had no effects on the akt activation induced by igf2-igf1r ; therefore , it could not cause the death of the tumor cells by itself .","pmc3461631,pmc3084228,pmc3004666,pmc3622362,pmc4685307,pmc2798669,pmc3055228,pmc2886325",8,10,10,1,90
