index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3686,p53,protein,,,,p04637,,,apoptosis,biologicalprocess,,,go,go:0006915,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","transfer of wild-type p53 induces apoptosis and produces significant growth suppression of pancreatic cancer in vitro and in vivo [ xref_bibr - xref_bibr ] .,mdm2 is the primary ubiquitin ligase for tumor suppressor protein , p53 , which induces apoptosis or senescence in response to oncogenic stress or dna damage .,this is consistent with previous reports that p53 contributes to apoptosis induced by growth factor deprivation xref_bibr , xref_bibr , xref_bibr and indicates that p53 is one of the effectors contributing to cell death when pi 3-kinase signaling is blocked .,taken together , our data highlight an important function of p68 in selectively regulating p53 dependent p21 expression and thus potentially influencing the decision between p53 mediated growth arrest and apoptosis in vitro and in vivo . ++++ these data highlight a novel function of p68 as a modulator of the decision between p53 mediated growth arrest and apoptosis in vitro and in vivo .,dbc1 mediated repression of sirt1 results in increased levels of p53 acetylation and upregulation of p53 mediated apoptosis after dna damage .","pmc149420,pmc3355968,pmc3481126,pmc3556166,pmc4245943",5,10,5,1,55
4223,pp2,proteinfamilyproteincomplex,,,,ppp2,,,p38,proteinfamilyproteincomplex,,,be,p38,,,negative,i,phosphorylation,,cellosaurus:cvcl_0045,,,,"nan,nan,nan","nan,nan,nan","as shown in xref_fig , src over-expression significantly increased phosphorylation of p38 and the src induced phosphorylation of p38 is completely blocked by pp2 pre-treatment .,as shown in xref_fig , src over-expression significantly increased phosphorylation of p38 and the src induced phosphorylation of p38 is completely blocked by pp2 pre-treatment .,as shown in xref_fig , src over-expression significantly increased phosphorylation of p38 and the src induced phosphorylation of p38 is completely blocked by pp2 pre-treatment .","pmc4624070,pmc4624070,pmc4624070",3,10,5,1,35
279,akt,proteinfamilyproteincomplex,,,,akt,,,tsc2,protein,,,uniprot,p49815,,,negative,d,phosphorylation,,,,,,"nan,nan","nan,nan","in cells that express activated akt , akt may phosphorylate tsc2 resulting in its inactivation . ++++ tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .,tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .","pmc3660063,pmc4102778",2,10,7,1,27
126,akt,proteinfamilyproteincomplex,,,,akt,,,autophagy,biologicalprocess,,,go,go:0006914,,,positive,i,none,,,,,,"nan,nan","nan,nan","akt is a known inhibitor of autophagy and inhibition of akt by certain tumor suppressors will induce autophagy [ xref_bibr ] . ++++ akt is a known inhibitor of autophagy and inhibition of akt by certain tumor suppressors will induce autophagy [ xref_bibr ] .,as the upstream regulator of mtor , akt is typically a suppressor of autophagy . ++++ knockdown of akt reduces the magnitude of autophagy induction in achn cells .","pmc3660063,pmc4720880",2,10,5,1,25
3382,mtorc1,proteinfamilyproteincomplex,,,,mtorc1,,,proliferation,biologicalprocess,,,go,go:0008283,,,negative,i,none,,,,,,"nan,nan","nan,nan","mtorc1 is an important mediator of pi3k and akt signalling to protein synthesis , cell growth and proliferation .,xref_bibr - xref_bibr owing to its reported role as a negative regulator of mtorc1 , pras40 may be expected to suppress cell growth and proliferation .","pmc3325598,pmc4216640",2,10,5,1,25
1594,egf,protein,,,,p01133,,,irs,proteinfamily,,,pfam,pf02174,,,negative,i,phosphorylation,,cellosaurus:cvcl_0037,,,,"nan,nan","nan,nan","although egf was reported to induce phosphorylation of irs proteins in a431 cells that express high levels of egfr , egf could not induce significant irs phosphorylation in hek293 cells ( xref_supplementary ) , which is consistent with other studies .,although egf was reported to induce phosphorylation of irs proteins in a431 cells that express high levels of egfr , egf could not induce significant irs phosphorylation in hek293 cells ( xref_supplementary ) , which is consistent with other studies .","pmc2683723,pmc2683723",2,10,5,1,25
5032,s6,proteinfamily,,,,ipr000529,,,irs-1,protein,,,uniprot,p35568,,,negative,d,phosphorylation,,,,,,nan,nan,"thus , s6 kinases directly phosphorylate irs-1 at ser302 , and the resulting reduction of binding to insulin receptors is likely to play a major role in the inability of irs-1 to signal to pi3k .",pmc2172316,1,10,7,1,17
282,akt,proteinfamilyproteincomplex,,,,akt,,,tuberin,protein,,,uniprot,p49815,,,negative,d,phosphorylation,,,,,,nan,nan,these results confirmed that tuberin is a direct physiological substrate of akt and that phosphorylation of tuberin by pi3k and akt is a major mechanism controlling hamartin-tuberin function [ xref_bibr ] .,pmc2652403,1,10,7,1,17
5052,s6k1,protein,,,,p23443,,,irs-1,protein,,,uniprot,p35568,,,negative,d,phosphorylation,,,,,,nan,nan,"the results show that only in irs-1 108-516 in which serines 302 , 307 , and 310 are mutated ( xref_fig a , site 2 ) is irs-1 not phosphorylated in vitro by s6k1 ( xref_fig c , left panels ) .",pmc2172316,1,10,7,1,17
3708,p53,protein,,,,p04637,,,p21,protein,,,uniprot,p38936,,,positive,i,none,,cellosaurus:cvcl_0023,,,,nan,nan,"this could be in part due to reduced translation of p53 activated p21 mrna in a549 and mcf7 cells treated with rad001 , thereby allowing the dosage of cisplatin to be reduced ( beuvink et al , 2005 ) .",pmc2361102,1,10,5,1,15
3687,p53,protein,,,,p04637,,,apoptosis,biologicalprocess,,,go,go:0006915,,,positive,i,none,,,,,,nan,nan,the potent tumor suppressor functions of p53 require that the activity of this protein is under tight control to prevent unnecessary induction of apoptosis or cellular senescence [ xref_bibr - xref_bibr ] .,pmc4171619,1,10,5,1,15
