index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
781,pten,protein,,,,p60484,other,sl-0039,pip3,chemical,,,chebi,chebi:60169,other,sl-0039,negative,d,dephosphorylation,,,cl:cl:0000034,,,"nan,nan","nan,nan","by dephosphorylating pip3 to pip2 , pten reverses the action of pi3k , thereby hampering all downstream functions controlled by the akt / mtor axis , such as cycle progression , induction of cell death , transcription , translation , stimulation of angiogenesis , and stem cell self-renewal ( 10 – 17 ) .,it suppresses tumorigenesis by dephosphorylating phosphatidylinositol ( 3,4,5 )-triphosphate ( pip3 ) to phosphatidylinositol ( 4,5 )-biphosphate ( pip2 ) , thereby directly inhibiting phosphatidylinositol 3 kinase ( pi3k )-mediated tumorigenic activities .","pmc4329810,pmc2777864",2,10,7,1,27
797,pten,protein,,,,p60484,other,sl-0039 ++++ uniprot:sl-0162 ++++ uniprot:sl-0118,pip3,chemical,,,chebi,chebi:60169,other,sl-0039 ++++ uniprot:sl-0162 ++++ uniprot:sl-0118,negative,d,dephosphorylation,,,,,,nan,nan,"whereas pten dephosphorylates pip3 in a “ hopping ” mode that allows for the diffusion between separate membranes , pten-l seems to dephosphorylate pip3 in a “ scooting ” mode [ 43 ] .",pmc4854392,1,10,7,1,17
782,pten,protein,,,,p60484,other,sl-0039,pip3,chemical,,,chebi,chebi:60169,other,sl-0039,negative,d,dephosphorylation,,,,,,nan,nan,pten is one of the most important phosphatases because it directly antagonizes the pi3k reaction by its 3-phosphatase activity and dephosphorylates pip3 back to pip2 . ++++ pten is one of the most important phosphatases because it directly antagonizes the pi3k reaction by its 3-phosphatase activity and dephosphorylates pip3 back to pip2 .,pmc3978343,1,10,7,1,17
439,mtor,protein,,,,p42345,other,sl-0086,pten,protein,,,uniprot,p60484,other,sl-0086,positive,i,none,,,,,,nan,nan,this regulation of mtor by akt-tsc-mediated signal allows the crosstalk of pten with another tumor suppressor lkb1 ( 87 ) .,pmc6046409,1,10,5,1,15
774,pten,protein,,,,p60484,other,sl-0039,pdk1,protein,,,uniprot,q15118,other,sl-0039,negative,i,none,,,cl:cl:0001064,,uberon:uberon:0000014 ++++ uberon:uberon:0000310 ++++ uberon:uberon:0002367,nan,nan,"consequently , pten blocks the activation of downstream signaling events , including pdk1 / akt and akt / mammalian target of rapamycin ( mtor ) ( 20 ) .",pmc4515857,1,10,5,1,15
917,pten,protein,,,,p60484.t,,,s6k1,protein,,,uniprot,p23443,,,negative,i,transcription,,,,,,nan,nan,"overexpression of pten up-regulated the expression of 4ebp1 , but down-regulated expression of mapk , cyclin d1 , akt , mtor , s6k1 , stat5 , csn2 , srebp1 , ppar γ , prlr , and glut1 , treatment with pten sirna revealed contrasting results , and both pten overexpression and sirna inhibition showed no significant effects on elf5 .",pmc4092105,1,10,5,1,15
911,pten,protein,,,,p60484.t,,,mtor,protein,,,uniprot,p42345,,,negative,i,transcription,,,,,,nan,nan,"overexpression of pten up-regulated the expression of 4ebp1 , but down-regulated expression of mapk , cyclin d1 , akt , mtor , s6k1 , stat5 , csn2 , srebp1 , ppar γ , prlr , and glut1 , treatment with pten sirna revealed contrasting results , and both pten overexpression and sirna inhibition showed no significant effects on elf5 .",pmc4092105,1,10,5,1,15
788,pten,protein,,,,p60484,other,sl-0039 ++++ uniprot:sl-0086 ++++ go:go:0043226 ++++ go:go:0005739 ++++ uniprot:sl-0162,frap,protein,,,uniprot,p42345,other,sl-0039 ++++ uniprot:sl-0086 ++++ go:go:0043226 ++++ go:go:0005739 ++++ uniprot:sl-0162,negative,i,none,,,cl:cl:0002608 ++++ cl:cl:0000187,,,nan,nan,"therefore , it was important to understand if this tethering of pten to cytoplasmic structures prevents it from acting at the plasma membrane , or if it localizes pten to specific subcellular domains where it acts as a tumor suppressor through other mechanisms .",pmc4396696,1,10,5,1,15
772,pten,protein,,,,p60484,other,sl-0039,mammalian target of rapamycin,protein,,,uniprot,p42345,other,sl-0039,negative,i,none,,,cl:cl:0001064,,uberon:uberon:0000014 ++++ uberon:uberon:0000310 ++++ uberon:uberon:0002367,nan,nan,"consequently , pten blocks the activation of downstream signaling events , including pdk1 / akt and akt / mammalian target of rapamycin ( mtor ) ( 20 ) .",pmc4515857,1,10,5,1,15
700,pten,protein,,,,p60484,,,p-akt,protein,,,uniprot,p31749,,,negative,i,amount,,,,,uberon:uberon:0014907 ++++ uberon:uberon:2005025 ++++ uberon:uberon:0000055,nan,nan,"our data confirmed that pten qma , as well as pten wt , reduced the elevated p-akt levels in 4dpf ptena-/-ptenb-/- embryos at least as effectively as ptenb wt . ++++ our data confirmed that pten qma , as well as pten wt , reduced the elevated p-akt levels in 4dpf ptena-/-ptenb-/- embryos at least as effectively as ptenb wt .",pmc4854392,1,10,5,1,15
694,pten,protein,,,,p60484,,,mtor,protein,,,uniprot,p42345,,,negative,i,phosphorylation,,,,,,nan,nan,simultaneous depletion of both raptor and pten from pten cells triggered a complete reduction in rictor thr1135 phosphorylation as well as increased phosphorylation of mtor ( thr2481 ) .,pmc4945751,1,10,5,1,15
763,pten,protein,,,,p60484,other,go:0005739 ++++ uniprot:sl-0188,pten,protein,,,uniprot,p60484,other,go:0005739 ++++ uniprot:sl-0188,positive,i,none,,,,,uberon:uberon:2000106,nan,nan,"to determine whether this sequence acts as an nols and directs pten β nucleolar localization , we established a pten β δ r construct in which these six arginines were deleted .",pmc5376652,1,10,3,1,13
727,pten,protein,,,,p60484,,,pten,protein,,,uniprot,p60484,,,positive,i,transcription,,,,,uberon:uberon:0002107,nan,nan,"pten expression can be post-transcriptionally modulated by a pten pseudogene , whose transcripts exert regulatory control of their ancestral cancer gene 's expression levels by competing with micrornas that target sequences common to the mrna and the pseudo mrna .",pmc4933753,1,10,3,1,13
478,p-pten,protein,,,,p60484,other,sl-0039 ++++ uniprot:sl-0086 ++++ uniprot:sl-0191,pten,protein,,,uniprot,p60484,other,sl-0039 ++++ uniprot:sl-0086 ++++ uniprot:sl-0191,positive,i,transcription,,cellosaurus:cvcl_1559,,,,nan,nan,these findings indicate that modulation of total pten expression and the increasing p-pten / pten ratio might be induced not only by tgf β activation [ 17 ] but also by persistent hypoxia stimulation in lung cancer cells .,pmc4836157,1,10,3,1,13
791,pten,protein,,,,p60484,other,sl-0039 ++++ uniprot:sl-0091,pip3,chemical,,,chebi,chebi:60169,other,sl-0039 ++++ uniprot:sl-0091,negative,i,amount,,cellosaurus:cvcl_0063,,,,nan,nan,pten -gfp and the enzymatically inactive pten -gfp did not decrease pip3 levels ( figures 3a and b ) . ++++ pten -gfp and the enzymatically inactive pten -gfp did not decrease pip3 levels ( figures 3a and b ) .,pmc5491373,1,10,3,1,13
