Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
caseine kinase 2,other,,,,uaz43617365696e65206b696e6173652032,other,sl-0039,pten,protein,,,uniprot,p60484,other,sl-0039,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .","pmc4329810,pmc4329810,pmc4329810,pmc4329810,pmc4329810,pmc4329810",6,100,40,1,640
ck2,other,,,,ck2,other,sl-0039,pten,protein,,,uniprot,p60484,other,sl-0039,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .,caseine kinase 2 ( ck2 ) is a protein kinase that phosphorylates pten on thr366 , ser370 , ser380 , thr382 , thr383 , and ser385 .","pmc4329810,pmc4329810,pmc4329810,pmc4329810,pmc4329810,pmc4329810",6,100,40,1,640
glycogen synthase kinase 3β,other,,,,uaz476c79636f67656e2053796e7468617365204b696e6173652033ceb2,other,sl-0039,pten,protein,,,uniprot,p60484,other,sl-0039,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","glycogen synthase kinase 3 β ( gsk3 β ) phosphorylates pten at ser362 and thr366 , decreasing its phosphatase activity ( 143 ) .,glycogen synthase kinase 3 β ( gsk3 β ) phosphorylates pten at ser362 and thr366 , decreasing its phosphatase activity ( 143 ) .","pmc4329810,pmc4329810",2,100,40,1,240
gsk3,other,,,,gsk3,other,sl-0039,pten,protein,,,uniprot,p60484,other,sl-0039,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","glycogen synthase kinase 3 β ( gsk3 β ) phosphorylates pten at ser362 and thr366 , decreasing its phosphatase activity ( 143 ) .,glycogen synthase kinase 3 β ( gsk3 β ) phosphorylates pten at ser362 and thr366 , decreasing its phosphatase activity ( 143 ) .","pmc4329810,pmc4329810",2,100,40,1,240
ubiquitin,other,,,,ubiquitin,other,sl-0191,pten,protein,,,uniprot,p60484,other,sl-0191,positive,i,ubiquitination,,,,,,"nan,nan","nan,nan","furthermore , ubiquitin , but not ubiquitin , increased the abundance of pten -gfp , suggesting that the nuclear targeting mono-ubiquitination decreases polyubiquitination , which drives the degradation of pten -gfp .,furthermore , ubiquitin , but not ubiquitin , increased the abundance of pten -gfp , suggesting that the nuclear targeting mono-ubiquitination decreases polyubiquitination , which drives the degradation of pten -gfp .","pmc5491373,pmc5491373",2,100,40,1,240
4ebp1,protein,,,,q13541.t,,,mtor,protein,,,uniprot,p42345,,,negative,i,transcription,,,,,,"nan,nan","nan,nan","overexpression of pten up-regulated the expression of 4ebp1 , but down-regulated expression of mapk , cyclin d1 , akt , mtor , s6k1 , stat5 , csn2 , srebp1 , ppar γ , prlr , and glut1 , treatment with pten sirna revealed contrasting results , and both pten overexpression and sirna inhibition showed no significant effects on elf5 .,overexpression of pten up-regulated the expression of 4ebp1 , but down-regulated expression of mapk , cyclin d1 , akt , mtor , s6k1 , stat5 , csn2 , srebp1 , ppar γ , prlr , and glut1 , treatment with pten sirna revealed contrasting results , and both pten overexpression and sirna inhibition showed no significant effects on elf5 .","pmc4092105,pmc4092105",2,100,40,1,240
4ebp1,protein,,,,q13541.t,,,s6k1,protein,,,uniprot,p23443,,,negative,i,transcription,,,,,,"nan,nan","nan,nan","overexpression of pten up-regulated the expression of 4ebp1 , but down-regulated expression of mapk , cyclin d1 , akt , mtor , s6k1 , stat5 , csn2 , srebp1 , ppar γ , prlr , and glut1 , treatment with pten sirna revealed contrasting results , and both pten overexpression and sirna inhibition showed no significant effects on elf5 .,overexpression of pten up-regulated the expression of 4ebp1 , but down-regulated expression of mapk , cyclin d1 , akt , mtor , s6k1 , stat5 , csn2 , srebp1 , ppar γ , prlr , and glut1 , treatment with pten sirna revealed contrasting results , and both pten overexpression and sirna inhibition showed no significant effects on elf5 .","pmc4092105,pmc4092105",2,100,40,1,240
tumor,biologicalprocess,,,,d009369,other,sl-0468,pten,protein,,,uniprot,p60484,other,sl-0468,positive,i,none,,,,,uberon:uberon:0002048,"nan,nan","nan,nan","nevertheless , it is not known whether persistent hypoxia can modulate pten phosphatase activity or whether hypoxia induced emt phenotypes are negatively regulated by the pten phosphatase activity .,recent studies suggest that tumor microenvironmental factors might modulate the pten activity though a decrease in total pten expression and an increase in phosphorylation of the pten c-terminus ( p-pten ) , resulting in the acquisition of the emt phenotypes .","pmc4836157,pmc4836157",2,100,40,1,240
hu,other,,,,uaz4855,other,sl-0047 ++++ uniprot:sl-0048 ++++ go:go:0005657,pten,protein,,,uniprot,p60484,other,sl-0047 ++++ uniprot:sl-0048 ++++ go:go:0005657,positive,i,none,,,,,,nan,nan,we found that hu induces pten loading on chromatin in a time dependent manner ( fig. 5a ) .,pmc4499867,1,100,40,1,140
hypoxia,biologicalprocess,,,,d000860,other,sl-0468,pten,protein,,,uniprot,p60484,other,sl-0468,positive,i,none,,cellosaurus:cvcl_1561 ++++ cellosaurus:cvcl_0463 ++++ cellosaurus:cvcl_0023 ++++ cellosaurus:cvcl_1559 ++++ cellosaurus:cvcl_0060,,,uberon:uberon:0002048 ++++ uberon:uberon:2001058,nan,nan,"based on the knowledge that persistent hypoxia induced aberrant signaling pathway should be therapeutic target for lung cancer [ 18 , 19 ] , we aimed to determine that persistent hypoxia can modulate the pten activity in lung cancers and that unphosphorylated pten can inhibit hypoxia induced emt . ++++ we aimed to investigate hypoxia induced modulation of pten activity and emt phenotypes in lung cancers . ++++ hypoxia induced modulation of pten activity and emt phenotypes in lung cancers . ++++ nevertheless , it is not known whether or not persistent hypoxia might modulate the pten phosphatase activity in lung cancers . ++++ nevertheless , it is not known whether persistent hypoxia can modulate pten phosphatase activity or whether hypoxia induced emt phenotypes are negatively regulated by the pten phosphatase activity .",pmc4836157,1,100,40,1,140
hypoxia,biologicalprocess,,,,d000860,other,sl-0039,pten,protein,,,uniprot,p60484,other,sl-0039,negative,i,transcription,,cellosaurus:cvcl_1559,cl:cl:0001064,,uberon:uberon:0000479,nan,nan,"although the acquisition of emt phenotypes is modulated by persistent hypoxia [ 3 – 7 ] , persistent hypoxia induces a decrease in total pten expression and increases the p-pten / pten ratio over time in h358 cells incubated under hypoxia .",pmc4836157,1,100,40,1,140
hypoxia,biologicalprocess,,,,d000860,,,pten,protein,,,uniprot,p60484,,,positive,i,transcription,,cellosaurus:cvcl_1561 ++++ cellosaurus:cvcl_0463 ++++ cellosaurus:cvcl_0023 ++++ cellosaurus:cvcl_1559 ++++ cellosaurus:cvcl_0060,cl:cl:0001064 ++++ cl:cl:0001063,,uberon:uberon:0000479 ++++ uberon:uberon:0000180,nan,nan,"because h358on cells retain endogenous pten expression before inoculation into mice ( fig. 1 ) , the decreased expression of pten observed in cancer cells indicates that persistent tissue hypoxia might modulate pten expression in vivo . ++++ to determine whether persistent hypoxia might modulate pten expression in lung cancer cells in vivo , we examined the h358on cells expressing gfp that had been grown in the flank of dox treated nude mice after administration of pimonidazole , which detects hypoxia via immunohistochemical staining [ 6 , 17 ] .",pmc4836157,1,100,40,1,140
histone deacetylase,other,,,,hdac,,,pten,protein,,,uniprot,p60484,,,negative,d,deacetylation,,cellosaurus:cvcl_6d69,,,,nan,nan,pten was also shown to be deacetylated by histone deacetylase sirt1 resulting in enhancement of its phosphatase activity ( 152 ) .,pmc4515857,1,100,40,1,140
hsa-mir-30a,other,,,,uaz6873612d6d69722d333061.t,other,sl-0086 ++++ uniprot:sl-0191,pten,protein,,,uniprot,p60484,other,sl-0086 ++++ uniprot:sl-0191,positive,i,transcription,,cellosaurus:cvcl_0426,,,,nan,nan,all the results show that overexpression of hsa-mir-30a might increase the expression of pten in mg63 cells and hsa-mir-30a may positively regulate the expression of pten .,pmc5688649,1,100,40,1,140
histone deacetylase inhibitors,other,,,,uaz486973746f6e6520646561636574796c61736520696e68696269746f7273,,,pten,protein,,,uniprot,p60484,,,negative,i,transcription,,,cl:cl:0000057,,uberon:uberon:0002367 ++++ uberon:uberon:0000310,nan,nan,"histone deacetylase inhibitors , on the other hand , are able to increase pten transcription in fibroblasts ( 139 ) .",pmc4329810,1,100,40,1,140
hausp inhibitors,other,,,,uaz484155535020696e68696269746f7273,other,sl-0191,pten,protein,,,uniprot,p60484,other,sl-0191,negative,i,none,,,,,uberon:uberon:2001058,nan,nan,"inhibitors of ckii were indeed shown to promote aml and cml apoptosis and pten shuttling inhibitors , such as arsenic trioxide and hausp inhibitors , could relocate pten into the nucleus with astonishing pro apoptotic effects .",pmc4691678,1,100,40,1,140
hausp,protein,,,,q93009,other,sl-0283 ++++ uniprot:sl-0518 ++++ uniprot:sl-0090 ++++ uniprot:sl-0279 ++++ uniprot:sl-0162 ++++ uniprot:sl-0191 ++++ uniprot:sl-0288,pten,protein,,,uniprot,p60484,other,sl-0283 ++++ uniprot:sl-0518 ++++ uniprot:sl-0090 ++++ uniprot:sl-0279 ++++ uniprot:sl-0162 ++++ uniprot:sl-0191 ++++ uniprot:sl-0288,negative,d,deubiquitination,,,cl:cl:0011115 ++++ cl:cl:0000540,,,nan,nan,"a pten deubiquitinating enzyme , hausp ( herpesvirus associated ubiquitin specific protease ) may serve in the deubiquitination of pten and its shuttling out of the nucleus ( song et al ., 2008 ) .",pmc3978343,1,100,40,1,140
gsk3,other,,,,gsk3,,,pten,protein,,,uniprot,p60484,,,positive,i,none,,,,,uberon:uberon:2001058,nan,nan,"these sites are targeted by the ck2 and gsk3 β [ 22,33 – 35 ] , preventing proteasomal degradation of pten [ 36 ] .",pmc4700475,1,100,40,1,140
