index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
1168,tspan15,protein,,,,o95858,other,sl-0039,app,protein,,,uniprot,p05067,other,sl-0039,negative,i,none,,cellosaurus:cvcl_0042,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [ 80 , 82 , 84 ] , app cleavage is inhibited by tspan15 in u2os and pc3 cells [ 82 ] , but promoted by this tetraspanin in hek and n2a cells [ 80 ] , and cd44 cleavage is promoted by tspan5 but not tspan15 [ 82 ] .",pmc5490636,1,100,40,1,140
554,hek,protein,,,,p29320,other,sl-0039,app,protein,,,uniprot,p05067,other,sl-0039,positive,i,none,,cellosaurus:cvcl_0042,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [ 80 , 82 , 84 ] , app cleavage is inhibited by tspan15 in u2os and pc3 cells [ 82 ] , but promoted by this tetraspanin in hek and n2a cells [ 80 ] , and cd44 cleavage is promoted by tspan5 but not tspan15 [ 82 ] .",pmc5490636,1,100,40,1,140
983,src,protein,,,,p12931,,,nf,protein,,,uniprot,o94856,,,positive,i,none,,,cl:cl:0000775 ++++ cl:cl:0000451 ++++ cl:cl:0000084 ++++ cl:cl:0000235,,uberon:uberon:2001058,nan,nan,"the physical interaction between the tir domain of tlr4 and the cytoplasmic tail of nox4 results in an activation of src , which phosphorylates ikb α , thereby activating nf κ b and target genes [ 87 ] .",pmc5651112,1,100,40,1,140
990,ssema7a,other,,,,uaz7353656d613741,,,ra,proteinfamily,,,pfam,pf00788,,,positive,i,none,,,cl:cl:0000235 ++++ cl:cl:0000545 ++++ cl:cl:0000899 ++++ cl:cl:0000084 ++++ cl:cl:0000576,,,nan,nan,"these results showed that ssema7a can induce inflammatory cytokine production by monocytes / macrophages , suggesting that sema7a might have a pathogenic role in ra .",pmc5251212,1,100,40,1,140
956,sema7a,protein,,,,o75326,,,ra,proteinfamily,,,pfam,pf00788,,,positive,i,none,,,cl:cl:0000084 ++++ cl:cl:0000576,,uberon:uberon:2001805,nan,nan,"these findings indicate that sema7a as a potent activator of t cells and monocytes in the immune response contributes to the inflammation and progression of ra , suggesting its therapeutic potential in the treatment of ra .",pmc5251212,1,100,40,1,140
886,pc3,protein,,,,p29120,other,sl-0039,app,protein,,,uniprot,p05067,other,sl-0039,negative,i,none,,cellosaurus:cvcl_0042,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [ 80 , 82 , 84 ] , app cleavage is inhibited by tspan15 in u2os and pc3 cells [ 82 ] , but promoted by this tetraspanin in hek and n2a cells [ 80 ] , and cd44 cleavage is promoted by tspan5 but not tspan15 [ 82 ] .",pmc5490636,1,100,40,1,140
1054,tetraspanin,proteinfamily,,,,ipr000301,other,sl-0039,app,protein,,,uniprot,p05067,other,sl-0039,positive,i,none,,cellosaurus:cvcl_0042,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [ 80 , 82 , 84 ] , app cleavage is inhibited by tspan15 in u2os and pc3 cells [ 82 ] , but promoted by this tetraspanin in hek and n2a cells [ 80 ] , and cd44 cleavage is promoted by tspan5 but not tspan15 [ 82 ] .",pmc5490636,1,100,40,1,140
549,hd-tfa,other,,,,uaz48442d544641,,,il-2,protein,,,uniprot,p60568,,,negative,i,amount,,,,,uberon:uberon:0002113,nan,nan,"the results show the vehicle treatment dn group with elevated levels of tnf α , il-6 , il-1 and il-2 compared with the non dn group , treatment with hd-tfa significantly reduced the expression of these cytokines ( figure 6 ( a ) ) .",pmc6130561,1,100,40,1,140
276,ca,chemical,,,,271,,,tgf-α,other,,,uaz,uaz5447462dceb1,,,positive,i,secretion,,cellosaurus:cvcl_e782 ++++ cellosaurus:cvcl_3176,cl:cl:0000312,,uberon:uberon:0000014,nan,nan,"when we used a ca -induced keratinocyte differentiation assay ( pillai and bikle , 1991 ) , we found that ca treatment increased the release of tgf-α from keratinocytes by ∼ 50 % compared with untreated controls ( dlugosz et al ., 1994 ; not depicted ) .",pmc3371728,1,1,40,1,41
911,ra,proteinfamily,,,,pf00788,,,angiogenesis,biologicalprocess,,,go,go:0001525,,,positive,i,none,,,cl:cl:0009002,,uberon:uberon:0007616 ++++ uberon:uberon:0000479 ++++ uberon:uberon:0001090 ++++ uberon:uberon:0001977,nan,nan,"therefore , it is attractive to speculate that sema7a may be further involved in the pathogenesis of ra by promoting the angiogenesis of joint tissue , which would recruit the inflammatory cells into the synovium .",pmc5251212,1,1,40,1,41
461,er,protein,,,,o14944,,,recurrence,biologicalprocess,,,mesh,d012008,,,negative,i,none,,,cl:cl:0000738,,,nan,nan,"therefore , further studies are warranted to determine whether er negative patients will benefit from post-treatment exposure to cox-2 inhibitors to reduce recurrence .",pmc5059114,1,1,40,1,41
910,ra,proteinfamily,,,,pf00788,,,adhesion,biologicalprocess,,,go,go:0007155,,,positive,i,none,,cellosaurus:cvcl_0006,,,,nan,nan,blocking adam-17 in ra flss reduces thp-1 adhesion .,pmc6090907,1,1,40,1,41
514,glucocorticoid receptor,protein,,,,p04150,,,tnf-α,other,,,uaz,uaz544e462dceb1,,,negative,i,secretion,,,cl:cl:0000235 ++++ cl:cl:0011026 ++++ cl:cl:0000576,,uberon:uberon:0002371,"nan,nan","nan,nan","the results in figure 1a imply that there is a glucocorticoid receptor independent mechanism whereby dex suppresses lps induced tnf-α secretion in activated raw cells .,the results in figure 1a imply that there is a glucocorticoid receptor independent mechanism whereby dex suppresses lps induced tnf-α secretion in activated raw cells .","pmc5564803,pmc5564803",2,0.1,39,1,39.2
34,adam17,protein,,,,p78536,,,adam17,protein,,,uniprot,p78536,,,positive,d,phosphorylation,,cellosaurus:cvcl_7172,,,,"nan,nan","nan,nan","next , we explored the interactions of il6r or areg with adam17 3 h after cs treatment in ali ‐ pbec with an in situ proximity ligation assay ( pla ) ( fredriksson et al. 2002 ) , using antibodies against adam17 phosphorylated at thr735 ( adam17 ‐ p ) or total adam17 .,next , we explored the interactions of il6r or areg with adam17 3 h after cs treatment in ali ‐ pbec with an in situ proximity ligation assay ( pla ) ( fredriksson et al. 2002 ) , using antibodies against adam17 phosphorylated at thr735 ( adam17 ‐ p ) or total adam17 .","pmc5002905,pmc5002905",2,0.1,39,1,39.2
578,il-13,protein,,,,p35225,,,adam17,protein,,,uniprot,p78536,,,positive,i,amount,,cellosaurus:cvcl_0455,,,uberon:uberon:2005088,"nan,nan","nan,nan","these data show that il-13 does not induce a dramatic alteration in the amount of adam17 mrna , latent adam17 , or active adam17 in nhbe cells . ++++ these data show that il-13 does not induce a dramatic alteration in the amount of adam17 mrna , latent adam17 , or active adam17 in nhbe cells . ++++ these data show that il-13 does not induce a dramatic alteration in the amount of adam17 mrna , latent adam17 , or active adam17 in nhbe cells .,thus , while il-13 may induce a small , transient decrease in the amount of active adam17 , the quantity of active protein is no greater than that observed in control cells at time points when il-13 induces an increase in soluble tgf α ( i.e. approximately 60 min in this study ( fig. 4c ) , and as early as 15 min in a previous study [ 6 ] ) .","pmc1976612,pmc1976612",2,0.1,39,1,39.2
1035,tace,protein,,,,p78536,,,proteases,other,,,fplx,protease,,,positive,i,none,,,cl:cl:2000042,,,"nan,nan","nan,nan","consequently , the physical presence of tace / adam17 within the protease web signalizes no change in cell homeostasis , while the lack of tace / adam17 is recognized to stimulate / recruit compensatory proteases . ++++ consequently , the physical presence of tace / adam17 within the protease web signalizes no change in cell homeostasis , while the lack of tace / adam17 is recognized to stimulate / recruit compensatory proteases .,consequently , the physical presence of tace / adam17 within the protease web signalizes no change in cell homeostasis , while the lack of tace / adam17 is recognized to stimulate / recruit compensatory proteases . ++++ consequently , the physical presence of tace / adam17 within the protease web signalizes no change in cell homeostasis , while the lack of tace / adam17 is recognized to stimulate / recruit compensatory proteases .","pmc3721467,pmc3721467",2,0.1,39,1,39.2
512,gi254023x,chemical,,,,chebi:143102,,,adam10,protein,,,uniprot,o14672,,,negative,i,none,,,,,,"nan,nan","nan,nan","gi254023x prevents adam10 activity more effectively than adam17 ( hundhausen et al ., 2003 ; ludwig et al ., 2005 ) .,to investigate whether the cleavage activity of adam17 is important for its function in necroptosis , we treated wt mef with tnf / zvad or tnf/zvad/chx in the absence or presence of gw280264x ( an inhibitor of adam17 and adam10 ) , gi254023x ( an inhibitor of adam10 , to account for effects of adam10 seen with gw280264x ) , marimastat ( a broad-spectrum inhibitor of metalloproteinases ) and tapi-1 ( an inhibitor of adam17 and other metalloproteinases ) .","pmc6232257,pmc5849186",2,0.1,39,1,39.2
1155,tpd,proteinfamily,,,,ipr029404,,,tnf,protein,,,uniprot,p01375,,,negative,i,secretion,,,cl:cl:0000235,,,"nan,nan","nan,nan","tpd inhibited tnf α release from cho m1 cells in a dose dependent fashion ( 85 % inhibition at 5 μ m and 40 % inhibition at 1.25 μ m ) ( fig. 1e ) .,similarly , exogenous treatment with human tpd inhibited lps induction of tnf α release from primary macrophages in a dose dependent manner ( fig. 1f ) , with 80 % inhibition at 1 μ m.","pmc5159831,pmc5159831",2,0.1,39,1,39.2
867,paricalcitol,chemical,,,,chebi:7931,,,adam-17/tgf-α gene,other,,,uaz,uaz4144414d2d31372f5447462dceb12067656e65,,,negative,i,transcription,,,cl:cl:0000066,,,"nan,nan","nan,nan","paricalcitol blocked aldo induced egfr transactivation , as shown by the downregulation of phosphorylated-egfr levels ( figures 8( a ) and 8( b ) ) and adam-17/tgf-α gene overexpression ( figure 8( c ) ) to control values .,paricalcitol blocked aldo induced egfr transactivation , as shown by the downregulation of phosphorylated-egfr levels ( figures 8( a ) and 8( b ) ) and adam-17/tgf-α gene overexpression ( figure 8( c ) ) to control values .","pmc4438184,pmc4438184",2,0.1,39,1,39.2
489,frmd8,protein,,,,q9bz67,other,sl-0310,adam17,protein,,,uniprot,p78536,other,sl-0310,negative,i,amount,,cellosaurus:cvcl_0063,,,,"nan,nan","nan,nan","moreover , mature adam17 levels were rescued by expression of frmd8-v5 in frmd8 knockout hek293t cells ( figure 2c ) , confirming that the phenotype was caused by frmd8 loss .,moreover , mature adam17 levels were rescued by expression of frmd8-v5 in frmd8 knockout hek293t cells ( figure 2c ) , confirming that the phenotype was caused by frmd8 loss .","pmc6042961,pmc6042961",2,0.1,39,1,39.2
352,cs,protein,,,,o75390,,,copd,protein,,,uniprot,p48444,,,positive,i,none,,cellosaurus:cvcl_7172,,,,"nan,nan","nan,nan","cs significantly induces shedding of il6r and areg in copd ali-pbec but not in non copd ali-pbec .,cs significantly induces shedding of il6r and areg in copd ali-pbec but not in non copd ali-pbec .","pmc5002905,pmc5002905",2,0.1,39,1,39.2
196,ampk,other,,,,ampk,other,sl-0095 ++++ uniprot:sl-0310 ++++ uniprot:sl-0039,"{irhoma2, adam17}",otherprotein,,,"{uaz, uniprot}","{uaz6952686f6d6132, p78536}",other,sl-0095 ++++ uniprot:sl-0310 ++++ uniprot:sl-0039,negative,i,binding,,,cl:cl:0000235 ++++ cl:cl:0000988,,uberon:uberon:0002048,"nan,nan","nan,nan","it is therefore speculated that isoflurane induced ampk activation may disrupt the interaction between irhoma2 and adam17 , blocking adam17 trafficking to the cell membrane .,it is therefore speculated that isoflurane induced ampk activation may disrupt the interaction between irhoma2 and adam17 , blocking adam17 trafficking to the cell membrane .","pmc5495389,pmc5495389",2,0.1,39,1,39.2
315,cgrp,protein,,,,p80511,,,inflammation,biologicalprocess,,,go,go:0006954,,,negative,i,none,,,cl:cl:0000359,,uberon:uberon:0004535,"nan,nan","nan,nan","small interference rna ( sirna ) and inhibitors of cgrp , epidermal growth factor receptor ( egfr ) , and extracellular signal regulated kinase 1/2 ( erk1/2 ) were adopted to investigate their effect on ang ii induced inflammation in vsmcs .,the inhibitory effect of cgrp on vsmc proliferation constitutes the basis of the protective action of cgrp against vascular remodeling [ 33 , 34 ] , and the mechanisms include erk1/2 activation , p53 , and camp / protein kinase a ( pka ) [ 33 , 35 ] our findings showed that cgrp inhibited ang ii induced inflammation in vsmcs , providing a new insight in understanding the protective action of cgrp against ang ii induced vascular remodeling . ++++ these data suggest that cgrp could attenuate ang ii induced inflammation in vsmcs .","pmc6038660,pmc6038660",2,0.1,39,1,39.2
1149,tpd,proteinfamily,,,,ipr029404,,,adam10,protein,,,uniprot,o14672,,,negative,i,none,,,,,,"nan,nan","nan,nan","a stable form of the auto-inhibitory tpd ( tace prodomain ) inhibits adam17 , but does not prevent the related adam10 activity ( wong et al ., 2016 ) .,tpd contains substantial secondary structure with high β-strand content , in agreement with previous reports of adam prodomains234446 , and selectively inhibited the catalytic domain of tace but neither the homologous mmp family members nor the closely related adam10 .","pmc6232257,pmc5159831",2,0.1,39,1,39.2
804,mmp,other,,,,mmp,,,mucin,proteinfamily,,,pfam,pf01456,,,negative,i,none,,cellosaurus:cvcl_0455,cl:cl:0002368 ++++ cl:cl:0000771 ++++ cl:cl:0000775 ++++ cl:cl:0000576,,,nan,nan,"furthermore , il-13-induced mucin gene and protein expression can be blocked by a broad-spectrum inhibitor of mmp / adam in differentiated nhbe cells [ 31 ] .",pmc1976612,1,0.1,39,1,39.1
807,mmp-2,protein,,,,p08253,other,sl-0310,cx3cl1,protein,,,uniprot,p78423,other,sl-0310,positive,i,secretion,,,cl:cl:0000738 ++++ cl:cl:0000623 ++++ cl:cl:0000037 ++++ cl:cl:0000542 ++++ cl:cl:0000576,,uberon:uberon:0002405 ++++ uberon:uberon:0002107,nan,nan,accordingly we showed that activation of mmp-2 induced the release of cx3cl1 soluble peptides triggering cx3cr1 dependent signalling cascade and promoting monocytes chemotactism .,pmc3828864,1,0.1,39,1,39.1
803,mitogen-activated protein kinases,other,,,,mapk,other,go:0005576 ++++ uniprot:sl-0162,adam17,protein,,,uniprot,p78536,other,go:0005576 ++++ uniprot:sl-0162,positive,d,phosphorylation,,,,,uberon:uberon:2001058 ++++ uberon:uberon:0000479,nan,nan,"phosphorylation of the adam17 tail , by the mitogen activated protein kinases ( mapks ) extracellular signal regulated kinase ( erk ) and p38 , reduces dimerization , which decreases tissue inhibitor of metalloproteinase-3 ( timp3 ) interaction with the extracellular region of adam17 and promotes activation [ 31 ] .",pmc5490636,1,0.1,39,1,39.1
805,mmp inhibitor,other,,,,uaz4d4d5020696e68696269746f72,,,cx3cl1,protein,,,uniprot,p78423,,,negative,i,secretion,,,,,uberon:uberon:2005088,nan,nan,"constitutive and pma dependent release of soluble cx3cl1 from ifn-γ-treated cells were inhibited by the broad spectrum mmp inhibitor , batimastat .",pmc3828864,1,0.1,39,1,39.1
806,mmp-2,protein,,,,p08253,,,cx3cl1,protein,,,uniprot,p78423,,,positive,i,none,,cellosaurus:cvcl_0063,cl:cl:0000037,,uberon:uberon:0002107,nan,nan,taken together our data suggested that activated mmp-2 from hsc might modulate the activity of cx3cl1 during chronic liver injury .,pmc3828864,1,0.1,39,1,39.1
802,mice,protein,,,,p31944,other,sl-0431,inflammation,biologicalprocess,,,go,go:0006954,other,sl-0431,positive,i,none,,,cl:cl:0000775 ++++ cl:cl:0000738,,uberon:uberon:0002048,nan,nan,of additional interest is that alveolar neutrophil levels in adam17-null mice were initially enhanced upon inducing lung inflammation when compared to control mice .,pmc3095620,1,0.1,39,1,39.1
801,mice,protein,,,,p31944,other,sl-0162 ++++ uniprot:sl-0310,shock,biologicalprocess,,,mesh,d012769,other,sl-0162 ++++ uniprot:sl-0310,negative,i,none,,,cl:cl:0000236,,,nan,nan,"specifically , mice unable to produce soluble tnf resist endotoxic shock and exhibit reduced severity in experimental autoimmune encephalomyelitis models ( ruuls et al ., 2001 ) .",pmc6042963,1,0.1,39,1,39.1
