index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
617,ras,family,,,pfam,pf00071,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","pmc4254013,pmc2064279,pmc5432316,pmc5746140,pmc5908790",5,10,19,1,69
631,ras,family,,,pfam,pf00071,,,smad,family,,,be,smad,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4440819,pmc4440819,pmc4440819",3,10,19,1,49
354,mapk,family,,,be,erk,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc5467491,pmc5467491,pmc5190119",3,10,19,1,49
183,erk,family,,,be,erk,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4440819,pmc4440819",2,10,19,1,39
351,mapk,family,,,be,erk,,,braf,protein,,,uniprot,p15056,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3809567,pmc5599027",2,10,19,1,39
54,braf,protein,,,uniprot,p15056,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3809567,pmc5599027",2,10,19,1,39
176,erk,family,,,be,erk,,,kras,protein,,,uniprot,p01116,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6006154,pmc6006154",2,10,19,1,39
619,ras,family,,,pfam,pf00071,,,kras,protein,,,uniprot,p01116,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5395114,pmc5908790",2,10,18,1,38
178,erk,family,,,be,erk,,,mek,family,,,be,mek,,,negative,i,,,,,,,nan,nan,nan,pmc4846800,1,10,20,1,30
372,mek,family,,,be,mek,,,b-raf,protein,,,uniprot,p15056,,,negative,i,,,,,,,nan,nan,nan,pmc2064279,1,10,20,1,30
179,erk,family,,,be,erk,,,mtorc1,protein,,,be,mtorc1,,,negative,i,,,,,,,nan,nan,nan,pmc5723691,1,10,19,1,29
439,mtorc1,protein,,,be,mtorc1,,,sasp,protein,,,uniprot,p10599,,,negative,i,,,,,,,nan,nan,nan,pmc5723691,1,10,19,1,29
626,ras,family,,,pfam,pf00071,,,pi3k,protein,,,be,pi3k,,,negative,i,,,,,,,nan,nan,nan,pmc3843736,1,10,19,1,29
621,ras,family,,,pfam,pf00071,,,map,protein,,,uniprot,p12872,,,negative,i,,,,,,,nan,nan,nan,pmc5432316,1,10,19,1,29
611,ras,family,,,pfam,pf00071,,,akt,family,,,be,akt,,,negative,i,,,,,,,nan,nan,nan,pmc2064279,1,10,19,1,29
600,raf-1,protein,,,uniprot,p04049,,,mapk3,protein,,,uniprot,p27361,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,10,19,1,29
599,raf-1,protein,,,uniprot,p04049,,,mapk1,protein,,,uniprot,p28482,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,10,19,1,29
598,raf-1,protein,,,uniprot,p04049,,,mapk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,10,19,1,29
594,raf-1,protein,,,uniprot,p04049,,,erk2,protein,,,uniprot,p28482,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,10,19,1,29
593,raf-1,protein,,,uniprot,p04049,,,erk1,protein,,,uniprot,p27361,,,negative,i,,,,,,,nan,nan,nan,pmc5609034,1,10,19,1,29
591,raf,family,,,be,raf,,,erk,family,,,be,erk,,,negative,i,,,,,,,nan,nan,nan,pmc5746140,1,10,19,1,29
