index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
146,idh2,protein,,idh2,uniprot,p38571,cytoplasm,go:0005737,pten,protein,,pten,uniprot,p60484,cytoplasm,go:0005737,positive,i,transcriptional regulation,,,astrocyte,brain,human,['275'],nan,nan,"most common form of gliomas in human is the astrocytoma, and the most",pmc3089882,1,100,40,1,140
140,idh1,protein,,idh1,uniprot,p37782,cytoplasm,go:0005737,p53,protein,,tp53,uniprot,p04637,nucleus,go:0005634,negative,i,epigenetic regulation,,,astrocyte,brain,human,['132'],nan,nan,"when we compared lists of differentially expressed mirnas it was determined that 7 mirnas were upregulated and 12 were downregulated commonly and unidirectionally, both in br3 and u87 mg cells under conditions of ns formation (figure 3).",pmc9688839,1,100,40,1,140
268,tmz,chemical,,,pubchem,6293000,cytoplasm,go:0005737,egfr+,protein,,,uniprot,p00533,plasma membrane,go:0005886,positive,i,protection,,egfr+,epithelial-like,,human,['49'],nan,nan,"        as shown in figure 1a, the results demonstrated that the treatment with tmz decreased cell viability in a concentration-dependent manner in egfr- cells. indeed, in egfr- cells, the treatment with 100 μm tmz was associated with a cell survival of 74%; meanwhile, that with 200 μm caused 65% of cell survival. conversely, treatment with tmz up to 200 μm did not cause any significant alteration in egfr+ cells viability (figure 1a). these data demonstrated that tmz inhibits cell viability in egfr- cells, but the expression of egfrviii protects the cells from the death effect of the drug and confers a tmz-resistance phenotype.",pmc8268299,1,100,40,1,140
30,ccl5,protein,,ccl5,uniprot,p13501,extracellular region,go:0005615,vegf,protein,,vegfa,uniprot,p15692,extracellular region,go:0005615,positive,d,binding,,primary gbm cells,glioblastoma cell,glioblastoma,human,['263'],nan,nan," human cytomegalovirus (hcmv) infections are seen often in glioblastoma multiforme (gbm) tumors, but whether the virus contributes to gbm pathogenesis is unclear. in this study, we explored an oncogenic role for the g protein-coupled receptor-like protein us28 encoded by hcmv that we found to be expressed widely in human gbms. immunohistochemical and rt-pcr approaches established that us28 was expressed in ~60% of human gbm tissues and primary cultures examined. in either uninfected gbm cells or neural progenitor cells, thought to be the gbm precursor cells, hcmv infection or us28 overexpression was sufficient to promote secretion of biologically active vegf and to activate multiple cellular kinases which promote glioma growth and invasion, including phosphorylated stat3 and e-nos. consistent with these findings, us28 overexpression increased primary gbm cell invasion in matrigel. notably, this invasive phenotype was further enhanced by exposure to rantes/ccl5, a us28 ligand, associated with poor patient outcome in gbm. conversely, rnai-mediated knockdown of us28 in human glioma cells persistently infected with hcmv led to an inhibition in vegf expression and glioma cell invasion in response to ccl5 stimulation. analysis of clinical gbm specimens further revealed that us28 co-localized in situ with several markers of angiogenesis and inflammation, including vegf, p-stat3, cox2 and e-nos. taken together, our results indicate that us28 expression from hcmv contributes to gbm pathogenesis by inducing an invasive, angiogenic phenotype. additionally, these findings argue that us28-ccl5 paracrine signaling may contribute to glioma progression and they suggest that targeting us28 may provide therapeutic benefits in gbm treatment. ",pmc3206211,1,100,40,1,140
127,golph3,protein,,golph3,uniprot,q9h4b4,golgi apparatus,go:0005783,egfr,protein,,egfr,uniprot,p00533,plasma membrane,go:0005886,negative,i,endocytosis,plasma membrane,t98g,glioblastoma,brain,human,['6'],nan,nan,"in normal cell culture conditions (i.e., at 10% fbs), egfr cycles between the cell surface and intracellular compartments, such as endosomes [50]. in contrast, at low serum concentrations, the internalization of egfr is reduced, resulting in increased receptor levels at the plasma membrane [54]. thus, to determine whether the knockdown of golph3 affected the recycling of egfr to the plasma membrane in different growing conditions, we analyzed egfr recycling at high (10%) or low (0.3%) serum concentration. to do this, we performed a recycling assay using a disulfide-reducible biotinylation reagent (sulfo-nhs-ss-biotin). in this assay, cells are first incubated at 4 °c to block endocytosis. proteins at the cell surface are subsequently biotinylated at 4·°c followed by incubation of cells at 37 °c for different periods of time and transferred back at 4·°c to block endocytosis again. cells are finally incubated in a reducing solution containing glutathione (glutathione-chase) and biotinylated proteins are analyzed by immunoblot. detection of proteins reveals the presence of an intracellular pool of biotinylated proteins whose sulfo-nhs-ss-biotin moiety is inaccessible to glutathione. conversely, lack of detection is indicative of glutathione sensitivity of the sulfo-nhs-ss-biotin moiety when proteins are at the cell surface. thus, changes in the detected levels of a protein over time indicate changes in the levels of recycling to the plasma membrane. an expected outcome is little or no detection at the beginning of the glutathione-chase (i.e., time = 0), which indicates that most of a biotinylated protein is retained on the cell surface. this is followed by the detection of a burst of biotinylated protein at early time points of the glutathione-chase (the first few minutes), which indicates endocytosis of eventually most of the cell surface pool of the protein. it is also expected a reduction in the levels of biotinylated proteins at immediately later time points (the next few minutes), which indicates recycling to the cell surface. subsequent time points should eventually show varying levels of biotinylated proteins as a result of partitioning between intracellular and cell surface pools over time due to successive rounds of endocytosis and recycling. as expected, during the entire period of glutathione-chase (up to 7.5 min) the levels of total egfr were not significantly changed at both serum concentration conditions in both control and shgolph3 cells (figure 5a,c, bottom panels). without glutathione-chase treatment, we detected higher levels of biotinylated egfr in shgolph3 cells at both concentration conditions (figure 5a,c, lanes 1 compared to lanes 6), consistent with the result shown in figure 1. at the same time, we found a significant difference in the levels of biotinylated egfr at the beginning of the glutathione-chase (i.e., time = 0), being significantly higher in shgolph3 cells in both serum concentration conditions (figure 5a, lane 2 compared to lane 7, and figure 5b; figure 5c, lane 2 compared to lane 7, and figure 5d). however, this result was unexpected because this assay is performed in conditions that should prevent the detection of biotinylated (internalized) proteins at the beginning of the glutathione-chase. a possible explanation to this observation is that the experimental condition was not sufficiently efficient to avoid the internalization of egfr at the beginning of the glutathione-chase. if this was the case, the difference in the levels of detected biotinylated egfr at time = 0 could correspond to differences in internalization kinetics. thus, this result suggests that egfr is internalized faster in shgolph3 cells. interestingly, at 2.5 min of glutathione-chase, the levels of biotinylated egfr in shgolph3 cells were significantly lower, compared to control cells, at both high serum (figure 5a, lane 3 compared to lane 8, and figure 5b) and low serum concentration (figure 5c, lane 3 compared to lane 8, and figure 5d). considering that at time = 0 of glutathione-chase we detected a significant amount of biotinylated egfr in shgolph3 cells under both serum concentration conditions, this result indicates that egfr recycling was intrinsically faster in shgolph3 cells than in control cells. the time course of glutathione-chase after 2.5 min showed varied levels of biotinylated egfr detected depending on the serum concentration used. under high serum, we observed in control cells a significant decrease in the levels of biotinylated egfr from 2.5 to 5 min of glutathione-chase that was followed by a significant increase at 7.5 min (figure 5a, lanes 3–5 and figure 5b). this fluctuating detection is indicative of a ~5 min time of recycling to the cell surface. in contrast, under the same high serum condition, we observed at 5 min in shgolph3 cells slightly, but significant higher levels of biotinylated egfr that was followed by a significant decrease at 7.5 min (figure 5a, lanes 8–10 and figure 5b). in this case, the fluctuating detection suggests a recycling time largely below 5 min, more likely closer to 2.5 min. on the other hand, under low serum, we observed in control cells a steady increase in the levels of biotinylated egfr from 2.5 to 7.5 min of glutathione-chase (figure 5c, lanes 3–5 and figure 5d). because we did not detect a fluctuating decrease in the levels of biotinylated egfr during the entire period of glutathione-chase, this result suggests that the recycling time in control cells under low serum is >5 min. likewise, the levels of biotinylated egfr detected in shgolph3 cells from 2.5 to 7.5 min (figure 5c, lanes 8–10 and figure 5d) indicate a slowdown in the recycling time compared to high serum treatment that nevertheless is faster than in control cells. thus, altogether, these results indicate that the knockdown of golph3 increased the endocytic recycling of egfr in t98g cells.",pmc7700535,1,100,40,1,140
125,glioblastoma multiforme (gbm),other,,,,,brain,go:0060089,epidermal growth factor receptor (egfr),protein,receptor tyrosine kinase,egfr,uniprot,p00533,plasma membrane,go:0005886,positive,i,amplification/mutation,,,astrocyte,brain,human,['231'],nan,nan,"glioblastoma multiforme (gbm), a grade iv astrocytoma, is the most frequent and aggressive malignant primary brain tumor with a 5-year survival rate of 5% [1]. gbm is principally idiopathic, although several genetic mutations, epigenetic variations, viral infections and environmental factors have been identified as potential risk factors [2–5]. the standard treatment for gbm involves surgical resection and radiotherapy with concomitant and adjuvant temozolomide administration [6]. despite the three-pronged treatment strategy, relapse is universal. the limited efficacy of the current treatments is partially a consequence of the heterogeneity of the tumour cell population. gbm is classified into four subtypes, the classical, mesenchymal, proneural and neural subtypes all characterised by distinct transcriptional profiles [7]. the subtypes are associated with the amplification and/or mutation of several receptor tyrosine kinases (rtks) such as the hepatocyte growth factor receptor (met), the platelet-derived growth factor receptor (pdgfr)-α and epidermal growth factor receptor (egfr) in the mesenchymal, proneural and classical subtypes, respectively [7]. furthermore, recent studies have also confirmed tumours harboring more than one subtype [8, 9].",pmc4741976,1,100,40,1,140
119,gefitinib,drug,tyrosine kinase inhibitor,,,,cytoplasm,go:0005829,egfr,protein,receptor,egfr,uniprot,p00533,plasma membrane,go:0005886,negative,d,inhibition,,glioblastoma multiforme (gbm),epithelial-like,brain,human,['225'],nan,nan,"  introduction:  we aimed to assess the effect of anti-tyrosine kinase inhibitors (tkis) (gefitinib) in overall survival (os) of the glioblastoma multiforme (gbm) patients in the backdrop of mutational status of epidermal growth factor receptor ( egfr ) and pten genes.    materials and methods:  all the patients subjected to resection or biopsies were put on gefitinib, and radiotherapy was delivered as per the hospital protocol. egfr and pten mutational spectrum was performed by single-strand conformation polymorphism followed by dna sequencing.    results:  in total, 50% gbm tumors had mutation either in egfr or pten . median progression-free survival (pfs) and os observed in patients with egfr +ve/ pten −ve were significantly favorable ( p < 0.05) which aggregated to 9(7, 11) months and 20 (16, 24) months, respectively, than 6 (4, 8) months and 13 (7, 19) months in patients with pten +ve/ egfr −ve. patients positive for both egfr / pten had lower disease-free survival and os of 6 and 9 months as compared to 6 (5, 7) and 14 (12, 24) months for those negative for both egfr / pten .    conclusions:  we conclude that egfr gene alterations with wild-type pten are associated with significantly better pfs and os in patients treated with anti-tkis (gefitinib). combined egfr and pten gene mutation is associated with significantly poor response to gefitinib in terms of median os.  ",pmc5820893,1,100,40,1,140
218,ppr,drug,,,,,plasma membrane,go:0005886,vegf-a,gene,,vegfa,refseq,nm_001025069.1,nucleus,go:0005634,positive,d,transcription,,u87,epithelial-like,brain,human,['5'],nan,nan,"cam u87 xenografts are composed of chick and human tissue therefore dissection of human versus chick contribution in xenograft angiogenesis and the influence of axi, nbl, tc and ppr on respected vegf-a and vegfr-2 gene transcript expression were evaluated for both chicks and human origin using specific primers (fig. 10). in rt-pcr performed using specific primers for chick vegf-a and vegfr-2 on rna derived from chick cam only, distinct bands of vegf-a and vegfr-2 were observed. incidentally, rt-pcr with these primers on u87 rna showed the same cross-reactivity of the chick vegf-a primers with human u87 transcripts but no cross-reactivity was observed between chick vegfr-2 and human transcripts. similarly, human vegf-a and vegfr-2 primers specifically amplified corresponding human transcripts, however, only a minor cross-reactivity of human vegfr-2 primers was detected for chick transcripts. in cam u87 xenograft (positive control), distinct amplification bands were observed for both chick and human vegf-a and vegfr-2 transcripts, however, cam u87 xenografts treated with different drugs at indicated concentrations (1 & 10 µm) displayed variable degrees of inhibition as compared to the control in a dose-dependent manner. axi which was a positive reference drug effectively blocked chick and human vegf-a and vegfr-2 at both the concentrations tested (1 and 10 µm) dose-dependent manner. a similar pattern of effective blockage of both chick vegf-a and vegfr-2 transcript was observed with nbl, tc and ppr. amongst the test compounds, tc exhibited the least effect on vegf-a transcript inhibition. whereas nbl at 1 µm showed the least inhibitory effect on vegfr-2 transcript compared to axi, tc and ppr. human vegf-a and vegfr-2 transcript analysis showed effective inhibition of human vegf-a and vegfr-2 transcripts at the test concentrations by all the test compounds, axi, nbl, tc and ppr compared to negative control. notably, ppr showed a strong dose-dependent effect on human and chick vegf transcript and was equally effective in preventing the chick vegfr-2 transcript expression. similarly, tc was antiangiogenic with a more pronounced effect on human vegf transcripts and chick vegfr-2 expression.",pmc10691152,1,100,40,1,140
40,ciita,gene,,ciita,hgnc,1836,nucleus,go:0005634,ras,gene,,,hgnc,,plasma membrane,go:0005886,negative,i,frameshift mutation,chr9q33.2,patient #8,gbm,brain,human,['223'],nan,nan,"        as noted above, the tumour sample from patient #8 showed a remarkable amplification of egfr (>50 fold, fig. 2e, additional file 6: figure s6a), likely due to a double minute chromosome as observed in many other gbm cases [66]. additionally this tumour contained a deletion surrounding cdkn2a/b, and an amplification of the ras-related oncogene rab14 on chr9q33.2 (additional file 6: figure s6b). there were few point mutations affecting known cancer or gbm-associated genes detected in this sample at appreciable (>10 %) vaf. the detected examples include a frameshift mutation of the histone methyltransferase and known tumour suppressor setd2 (p.asp14fs) that can activate tp53 and is necessary for dsb repair via homologous recombination [68, 69], and a putative splice donor site mutation affecting ciita (class ii mhc transactivator). thus, the l1 mutation observed here in egfr was likely a passenger to the main oncogenic transformation enabling tumorigenesis in patient #8 and occurred in an environment of impinged dna repair.",pmc5105311,1,100,40,1,140
41,cinobufagin,chemical,,,pubchem,6434715,cytoplasm,go:0005737,akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,positive,i,phosphorylation,,u87mg-pten,glioblastoma,brain,human,['63'],nan,nan,"to explore the potential molecular mechanisms of cinobufagin inhibiting u87mg-egfr cell proliferation, we conducted the titration assay followed by western blotting to monitor the signaling pathways mediated by egfr. immunoblotting showed that phosphorylation of egfr at both tyr1068 and tyr1173 was inhibited by cinobufagin in u87mg-egfr cells, which was almost undetectable in u87mg-pten cells (figure 2a). signal transducer and activator of transcription 3 (stat3), another promising therapeutic target for gbm patients, is also a critical mediator of egfr. inhibition of stat3 enhances the efficiency of egfr inhibitor in pten-deficient and pten-intact gbm cells (zulkifli et al., 2017). as expected, the phosphorylation of stat3 was dramatically decreased by cinobufagin in u87mg-egfr and u87mg-pten cells. consistent with the decreased phosphorylation of egfr and stat3, the phosphorylation of downstream molecular, v-akt murine thymoma viral oncogene homolog (akt), was also decreased by cinobufagin in u87mg-egfr cells, not in u87mg-pten cells (figure 2a). the time-course assay demonstrated that cinobufagin initially blocked egfr phosphorylation in u87mg-egfr cells at 15 min, and obviously decreased egfr and stat3 phosphorylation from 6 to 48 h (figure 2b). flow cytometric analysis revealed that cinobufagin substantially arrested cell cycle at g2 and s phases in u87mg-vehicle, u87mg-egfrviii, and u87mg-egfr cells, except for u87mg-pten cells, suggesting that the cell cycle arrest contributes to cinobufagin’s antiproliferative effect in gbm cells (supplementary figure s1).",pmc8672866,1,100,40,1,140
