,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
10,akt,family,p31749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tbk1,protein,q9uhd2,nan,nan,i,"['nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan']","['pmc4302769', 'pmc4302769', 'pmc4302769', 'pmc4302769']","['nan', 'nan', 'nan', 'nan']",4,100,40,1,440
9,akt,family,p31749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ship1,protein,q92835,nan,nan,i,"['nan', 'nan', 'nan']","['nan', 'nan', 'nan']","['pmc4487994', 'pmc4487994', 'pmc4487994']","['nan', 'nan', 'nan']",3,100,40,1,340
5,akt,family,p31749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,mek1,protein,q02750,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc3625979', 'pmc3625979']","['nan', 'nan']",2,100,40,1,240
16,akt,family,p31749,nan,nan,nan,nan,nan,tbk1,protein,q9uhd2,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc4302769', 'pmc4302769']","['nan', 'nan']",2,100,40,1,240
0,akt,family,p31749,nan,nan,nan,nan,nan,chk1,protein,o14757,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3375464'],['nan'],1,100,40,1,140
96,pten,protein,p60487,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nedd4,protein,p46934,nan,nan,i,['nan'],['nan'],['pmc4418530'],['nan'],1,100,40,1,140
61,mek2,protein,p36507,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,iqgap1,protein,p46940,nan,nan,i,['nan'],['nan'],['pmc3625979'],['nan'],1,100,40,1,140
1,akt,family,p31749,nan,nan,nan,nan,nan,ck2,protein,uaz00325,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5193405'],['nan'],1,100,40,1,140
44,foxo1,protein,q12778,nan,nan,nan,nan,nan,tbk1,protein,q9uhd2,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4302769'],['nan'],1,100,40,1,140
79,pi,protein,p42336,nan,nan,nan,nan,nan,ship,protein,q92835,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,100,40,1,140
86,pten,protein,p60484,nan,nan,nan,nan,nan,mek,family,mek,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3625979'],['nan'],1,100,40,1,140
88,pten,protein,p60484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nedd4,protein,p46934,nan,nan,i,['nan'],['nan'],['pmc4712330'],['nan'],1,100,40,1,140
89,pten,protein,p60484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,p53,protein,p04637,nan,nan,i,['nan'],['nan'],['pmc4712330'],['nan'],1,100,40,1,140
91,pten,protein,p60484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ras,family,pf00071,nan,nan,i,['nan'],['nan'],['pmc4712330'],['nan'],1,100,40,1,140
94,pten,protein,p60485,nan,nan,nan,nan,nan,mek1,protein,q02750,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4418530'],['nan'],1,100,40,1,140
95,pten,protein,p60486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ck2,protein,q53gl0,nan,nan,i,['nan'],['nan'],['pmc4418530'],['nan'],1,100,40,1,140
87,pten,protein,p60484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ck2,protein,ck2,nan,nan,i,['nan'],['nan'],['pmc4496363'],['nan'],1,100,40,1,140
17,akt,family,p31749,nan,nan,nan,nan,nan,tgfbeta,family,p01137,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc2275380'],['nan'],1,100,40,1,140
4,akt,family,p31749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ctla4,protein,p16410,nan,nan,i,['nan'],['nan'],['pmc4550078'],['nan'],1,100,40,1,140
2,akt,family,p31749,nan,nan,nan,nan,nan,ifngamma,protein,p01579,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4550078'],['nan'],1,100,40,1,140
6,akt,family,p31749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pd1,protein,p18621,nan,nan,i,['nan'],['nan'],['pmc4550078'],['nan'],1,100,40,1,140
12,akt,family,p31749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,til,protein,q15399,nan,nan,i,['nan'],['nan'],['pmc4550078'],['nan'],1,100,40,1,140
43,foxo1,protein,q12778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt,family,p31749,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc4302769', 'pmc4302769']","['nan', 'nan']",2,10,40,1,60
11,akt,family,p31749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tcr,protein,p04234,nan,nan,i,['nan'],['nan'],['pmc4302769'],['nan'],1,10,40,1,50
85,pten,protein,p60484,nan,nan,nan,nan,nan,foxo1,protein,q12778,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4418530'],['nan'],1,10,40,1,50
3,akt,family,p31749,nan,nan,nan,nan,nan,mtor,protein,p42345,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,10,40,1,50
53,itk,protein,q08881,nan,nan,nan,nan,nan,foxp3,protein,q9bzs1,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc3949578', 'pmc3949578']","['nan', 'nan']",2,1,40,1,42
98,tbk1,protein,q9uhd2,nan,nan,nan,nan,nan,akt,family,p31749,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc4302769', 'pmc4302769']","['nan', 'nan']",2,1,40,1,42
57,itk,protein,q08881,nan,nan,nan,nan,nan,tcr,protein,p04234,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,1,40,1,41
58,magi1,protein,q6p9h4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt,family,p31749,nan,nan,i,['nan'],['nan'],['pmc3625979'],['nan'],1,1,40,1,41
