Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
4,100,40,1,440
3,100,40,1,340
2,100,40,1,240
2,100,40,1,240
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
1,100,40,1,140
4,10,20,1,60
2,10,40,1,60
1,10,40,1,50
1,10,40,1,50
1,10,40,1,50
2,1,40,1,42
2,1,40,1,42
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
2,0.1,40,1,40.2
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
1,0.1,40,1,40.1
2,10,20,1,40
1,10,20,1,30
1,10,20,1,30
1,10,20,1,30
1,10,20,1,30
1,10,20,1,30
1,10,10,1,20
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
