index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
42,rapamycin,smallmolecule,inhibitor,,,,plasma,go:0005615,mtor,protein,serine/threonine kinase,mtor,uniprot,q9y473,cytoplasm,go:0005737,negative,d,binding,,u87mg,glioma cells,brain,human,['28'],nan,nan,"egfrviii is the most common deletion mutant found in human gliomas [27,28]. however, overexpression of egfrviii is usually not observed in isolation, but in combination with amplification of the wild-type receptor, suggesting selective pressure for both species in gliomagenesis [29]. most recently, wild-type egfr has been shown to phosphorylate egfrviii, leading to phosphorylation of stat proteins and progression in tumorigenesis [22]. in the earlier part of the study, we showed that combined treatment is effective in asian glioma cells expressing wild-type egfr; herein, we sought to determine whether the combination of nimotuzumab and rapamycin may also be effective in mutant egfrviii-expressing human glioma cells. for this, human u87mg glioma cells overexpressing wild-type egfr (u87mg.wtegfr; 170 kda) and mutant egfrviii (u87mg.egfrviii, 145 kda), as validated by western blot analysis (figure 3a), were used. u87mg.wtegfr and u87mg.egfrviii were treated with 500 μm of tmz, rapamycin, nimotuzumab and the combination of rapamycin and nimotuzumab. the enhanced cytotoxic effect in combination treatment was independently confirmed in u87mg.wtegfr (figure 3b) and u87mg.egfrviii (figure 3c), respectively. in these glioma cells expressing either wt or egfrviii receptor, elevated cell death observed in the nimotuzumab group correlated with reduced levels of activated akt in both cell types (figure 3d), providing further support that nimotuzumab acts regardless of egfr status. u87mg.egfrviii has lower percentage of viable cells in comparison to u87mg.wtegfr, suggesting that egfrviii-positive human glioma cells were less resistant to tmz compared to their wtegfr counterpart. enhanced cell death in combination treatment versus mono-treatment was also observed in half the normal nimotuzumab concentration was used in u87mg.wtegfr (figure 3e). similar findings were observed in u87mg.egfrviii. taken together, the data showed that combined treatment is effective regardless of the egfr status in human glioma.",pmc4408574,1,100,40,1,140
5,ddr1,protein,,ddr1,uniprot,q08379,plasma membrane,go:0005886,erk,protein,,mapk1,uniprot,p28482,cytoplasm,go:0005829,negative,i,inhibition,,,tumour cell,,human,['0'],nan,nan,"    despite encouraging clinical results for cml, and for gist7, imatinib has failed clinical trials for glioblastoma, where it shows no significant inhibition of tumour growth or extension of survival89 imatinib and nilotinib potently inhibit tyrosine kinases including arg, c-kit, pdgfr and ddr1. moreover, imatinib and nilotinib are reported to cause activation of intracellular kinases including the pi3k, akt and erk pathways3710. inhibition of other tks and co-activation of signalling pathways may account both for the development of imatinib resistance in ph + cml and gist, and imatinib’s lack of efficacy in glioblastoma. the functional consequences of imatinib and nilotinib treatment on enhanced signalling in tumour cells remain poorly understood. in particular, their effects on cell functions modulating tumour behaviour are essential for understanding critically important aspects of drug treatment including non-responsiveness, the development of resistance, and the occurrence of side-effects.",pmc4904410,1,100,40,1,140
21,il-13rα2 (mutant),protein,receptor,il13ra2,uniprot,q9y5q8,plasma membrane,go:0005886,egfrviii,protein,receptor,egfr,uniprot,p00533,plasma membrane,go:0005886,negative,d,interaction,cytoplasmic tail,gli36.egfrviii,glioblastoma,brain,human,['13'],nan,nan,"        to better understand how il-13rα2 interacts with egfrviii, we generated an il-13rα2 mutant deleted in the cytoplasmic tail (supplementary fig. 5d). plasmid encoding wild-type or cytoplasmic tail mutant il-13rα2 was transfected into cells expressing gli36.egfrviii and examined by cell proliferation assay and co-immunoprecipitation. only wild-type il-13rα2 could promote cell proliferation (fig. 5d) and interacted with egfrviii (fig. 5f). in contrast, il-13rα2 mutant could not promote enhanced cell proliferation and failed to interact with egfrviii (fig. 5d, f, respectively). further, mutant il-13rα2 was incapable of further activating the mapk, nor stat and pi3k/akt signaling cascades (supplementary fig. 6a−c, respectively).",pmc5715073,1,100,40,1,140
16,hes1,protein,,hes1,uniprot,q15282,nucleus,go:0005634,bcl-x,protein,,bcl2l1,uniprot,q07817,mitochondria,go:0005739,positive,d,phosphorylation,,,,,,['48'],nan,nan,"      map/erk, a well-studied signaling pathway, is involved in basic cell processes such as cell growth, differentiation, migration and apoptosis. recently zhang et al., reported that valproic acid was able to induce apoptosis in u87 glioma cells through activation of erk and akt pathways and gsk3β inhibition [49]. similarly, we earlier reported the up-regulation of multiple oncogenic signals in pdgfrα-depleted gbm csc, i.e., cyclind1, erk1/2 phosphorylation, edn1, pdgf-c, pdgf-d and prkcb1 and so on. simultaneously, we observed the start of neuronal differentiation, besides several detrimental effects on self-renewal, invasion, emt and angiogenesis (cenciarelli et al., 2016). in agreement with the just mentioned studies, we found that a marked activation of erk1/2 in hes1-depleted cells was linked to a significant reduction of proliferation rate and anti-apoptotic proteins expression (bcl-2, bcl-x), and finally the commitment toward neuronal differentiation. this behavior together with the upregulation of pdgfrβ and cyclind1 might be a cell modality to survive and adapt to molecular changes induced by depletion of hes1 and, therefore escape from apoptosis. thus, further investigation of the crosstalk among pdgfr, cyclind1 and erk1/2 signal transduction pathways is essential for elucidating the mechanism(s) underlying the phenomena observed in shhes1-csc.",pmc5392293,1,100,40,1,140
38,pdgfrβ,protein,,pdgfrb,uniprot,p31749,cell membrane,go:0005886,lat,protein,,lat,uniprot,p78348,cell membrane,go:0005886,positive,d,binds,,,epithelial-like,,human,['35'],nan,nan,"      when we determined factors positively related to the expression of sox2, we identified fabp7 and musashi, followed by cd133 and gfap. the same type of calculation using cd133-levels instead revealed a positive correlation between cd133 levels and those of musashi, followed by fabp7, gfap, and at last sox2. in part this confirms the data by chen et al. [28], who assigned fabp7 expression to sox2+/cd133- type i and sox2+/cd133+ cells type ii cells. spherical growth displayed a good positive correlation with hif1α, cdk4, tau, and pten expression, but only a low positive correlation with the expression of stemness-associated factors. that pten expression rather than stemness is associated with spherical growth has also been proposed by chen et al. [28]. notably, both mgmt (protein expression and mgmt promoter methylation) and abcg2 (protein levels) appeared unrelated to spherical growth, as well as to sox2 and cd133 levels, indicating that these proteins are not specifically associated with slgcs or growth behavior. the same applies to nanog, cdk6, dlx2, and the receptor tyrosine kinases, except for pdgfrβ.",pmc10836714,1,10,38,1,48
39,pi3k,protein,kinase,pik3ca,uniprot,p42336,cytoplasm,go:0005737,nfat,protein,transcription factor,nfatc1,uniprot,q9y5q6,nucleus,go:0005634,negative,i,phosphorylation,,5310,glioma,brain,human,['9'],nan,nan,"        finally, we assessed the expression of egfr signaling molecules in glioma cells in vitro and in vivo tumors after treatment with hucbsc. the main pathways stimulated by the egfr are the mitogen-activated protein kinases (mapk), the phosphatidylinositol 3-kinase–akt, and signal transducer and activator of transcription proteins (stat), such as stat3 [27]. in addition, the activation of stat3 also relies on the recruitment of the src kinase to the egfr [28], [29]. upon nuclear translocation, the stat3 transcription factor up-regulates several genes involved in cell cycle progression [30], [31], cell survival [32] and metastasis [33]. another molecule of egfr signaling cascade raf1 protein, can phosphorylate to activate the dual specificity protein kinases mek1 and mek2, which in turn phosphorylate to activate the serine/threonine specific protein kinases, erk1 and erk2. these key molecules of egfr signaling mek1, raf1, stat3 and pi3k were downregulated in hucbsc treated glioma cells (fig. 7g). quantitative analysis shows that both raf1 and pi3k (p<0.01) show significant downregulation compared to mek1 and stat3 (p<0.05) (fig. 7h). we also checked the expression of these molecules in hucbsc-treated glioma tumors in vivo and observed that these egfr signaling molecules are downregulated compared to untreated tumors (fig. 7i). similar to our in vitro results, raf1 and pi3k (p<0.01) molecules show significant downregulation compared to mek1 and stat3 (p<0.05) by hucbsc treatments (fig. 7j). finally, we observed tumor size regression by about 75% in hucbsc-treated in vivo nude mice brains of both u251 and 5310 xenografts (fig. 7k). our results show that hucbsc has the ability to downregulate the expression of multiple members of egfr signaling cascades, in both in vitro and in vivo conditions.",pmc3279427,1,1,40,1,41
31,nestin,protein,intermediate filament,nes,uniprot,p48681,cytoplasm,go:0005737,,other,,,,,,,positive,d,blockade,,,glioblastoma multiforme,brain,human,['50'],nan,nan,nan,nan,1,1,40,1,41
32,nf-κb,protein,transcription factor,nfkb1,uniprot,p19838,nucleus,go:0005634,pdgfraδ7,transcript,,,,pdgfraδ7,plasma membrane,go:0005886,positive,i,transcriptional regulation,,sf10282,glioma stem cells,brain,human,['7'],nan,nan,"we found that the pdgf‐receptor alpha encoding gene, pdgfra, was amplified in sf10282 (12 copies as estimated by exome‐seq). we also detected a small deletion in exon 7 that was broadly expressed (fig 4a). this mutant transcript, which we denote as pdgfraδ7, is found in 98% of sf10282's cells that express pdgfra (69% of cells overall). since the deletion is in‐frame, broadly expressed, and affects an immunoglobulin‐like fold involved in receptor dimerization, we reasoned that pdgfraδ7 might enhance pdgf‐receptor signaling. we sorted cells by pdgfraδ7 expression and identified genes that showed a strong rank correlation with pdgfraδ7 levels (materials and methods). positively correlated genes were enriched for the pdgf‐receptor signaling network and cell cycle, when compared to the pathway commons and david databases (huang et al, 2009; cerami et al, 2011). negatively correlating genes were enriched for oxidative phosphorylation (fig 4b). genes correlating with increasing pdgfraδ7 were scanned for overrepresented transcription factor binding motifs. genetic and physical interaction databases were queried against significant transcription factors (fig 4c), implicating stat1 and nf‐κb as downstream effectors of pdgfraδ7. by comparison, an analogous dose–response analysis of egfr in sf10345 identified an increasing gene set of cell cycle genes, as well as genes related to chromatin modification and cell motion. inference of mediating transcription factors implicated stat signaling, as in sf10282. additionally, sox2 [a pluripotency factor highly expressed in embryonic, neural and glioma stem cells (suvà et al, 2014)] and c‐jun [an anti‐apoptotic factor involved in glioma‐genesis (yoon et al, 2012)] targets correlated to egfr dose (fig 5).",pmc5147052,1,1,40,1,41
1,beta-catenin,protein,,ctnnb1,uniprot,q9y4h2,cytoplasm,go:0005829,cd47,protein,,cd47,uniprot,p97287,plasma membrane,go:0005886,negative,d,ubiquitination,y288,gbm cells,glial-like,brain,human,['1'],nan,nan,"        some insight has been gained in understanding the molecular pathways which regulate cd47 expression and stability on gbm cells. the leucine-rich repeats and ig-like domain (lrig) family of transmembrane receptors has been associated with neurological tumors [113,114]. there are three lrig genes in humans and they primarily regulate growth factor receptors by targeting them for ubiquitination. in glioma cells, lrig1 and 3 act as tumor suppressors, while lrig2 has a seemingly oncogenic function [113,115,116]. a recent study by hu et al. showed that lrig2 can strongly prevent the phagocytosis of gbm cells by upregulating components of the cd47 pathway [117]. in this report, soluble lrig2 generated by a disintegrin and metalloprotease 17 (adam17)-mediated cleavage from gbm cells was shown to recruit tams and induce sirpa expression on their surface. in addition to this, lrig2 was shown to enhance the expression of cd47 on gbm cells via transcriptional activation of the cd47 gene. this study strongly implicates lrig2 as a key regulator of the cd47 immune checkpoint via the upregulation of both cd47 and sirpa. the well-characterized beta-catenin oncogenic pathway can also stimulate cd47 expression in gbm cells [118]. another study demonstrates how the egfr pathway cooperates with cd47 to promote tumor progression. egfr is commonly altered in gbm, although single agent therapy with egfr inhibitors have displayed modest efficacy at best [119]. in a recent study, egf treatment or expression of the constitutively active truncation mutant egfrviii was able to increase the expression of cd47 in multiple established human gbm cell lines [120]. this effect was found to be mediated by src phosphorylation of cd47 at y288 which prevents binding and polyubiquitination by tripartite motif-containing protein 21 (trim21), an e3 ubiquitin ligase. gbm cells expressing a cd47 y288f mutant are phagocytosed in vivo at much higher levels, and animals orthotopically injected with these cells survive longer than wild-type injected counterparts.",pmc11352848,1,1,40,1,41
33,notch1,protein,receptor,notch1,uniprot,q05193,plasma membrane,go:0005886,tal1,protein,transcription factor,tal1,uniprot,p35626,nucleus,go:0005634,positive,i,upregulates,,,gscs,,human,['26'],nan,nan,"      transcription factors are central drivers of gsc self-renewal, proliferation, and differentiation downstream of dysregulated developmental signaling pathways, including hippo/yap [15], tgf-β1 [16], and notch1 [17]. recently, we have shown that notch1 pathway activation in gscs blocks their proliferation, inhibits ascl1, olig2, and sox2 expression, and promotes their differentiation into pericyte-like cells, both in vitro and in vivo [18]. a similar role for notch1 activation was also observed in isocitrate dehydrogenase 1 (idh1) mutant diffuse low-grade gliomas [19]. these studies provided us with a specific molecular signature and a non-exhaustive list of transcription factors that potentially mediate the notch1 downstream effects. among these candidates, we observed that slug (snai2) and tal1 (scl) rnas were the most upregulated following notch1 activation in gscs. slug (or snai2) is a zinc finger transcriptional repressor belonging to the snail superfamily, and is a master regulator of epithelial cell motility and migration during embryonic and tumoral epithelial-to-mesenchymal transition processes (emt) [20,21,22,23]. importantly, only a few reports have questioned the contribution of slug during gliomagenesis, so far linking its expression to glioma grade [24], mesenchymal gbm subtypes [25] and therapeutic recurrence [26]. tal1 (or scl) is a class ii bhlh transcription factor first described as a master oncogenic driver of t-cell acute lymphoblastic leukemias (t-all) [27,28]. during embryogenesis, it is a key determinant of hematopoietic [29,30], erythroid [31], and endothelial lineages [32,33], as well as controlling spinal cord neurogenesis [34,35,36] and astrogenesis [37] in the developing central nervous system (cns). in the adult, tal1 is active during pathological angiogenesis [38,39,40] and vascular remodeling [41], and has been rarely studied in solid tumors. in cns tumors, it is expressed in hemangioblastomas [42] and could act as an oncogene in glioma [43].",pmc8582547,1,1,40,1,41
