Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3,10,7,1,37
3,10,7,1,37
3,10,5,1,35
3,10,1,1,31
2,10,7,1,27
2,10,5,1,25
2,10,5,1,25
2,10,3,1,23
2,10,2,1,22
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,3,1,13
1,10,2,1,12
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
1,10,1,1,11
