Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
mtorc2,protein family|protein complex,,,,mtorc2,,,akt,protein family|protein complex,,,be,akt,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","mtorc2 phosphorylates and activates akt which then phosphorylates and inactivates the pro apoptotic factors bad and foxo1/3a xref_bibr , xref_bibr , xref_bibr .,mtorc2 phosphorylates akt xref_bibr , xref_bibr , xref_bibr , and controls cytoskeleton organization and cell survival xref_bibr , xref_bibr .,in mammalian cells , mtorc2 phosphorylates akt upon serum stimulation , namely growth factors such as insulin and igf1 ( insulin like growth factor 1 ) , suggesting that mtorc2 is regulated by the pi3k pathway [ xref_bibr , xref_bibr ] .,mtorc2 phosphorylates akt on s473 in vitro which facilitates t308 phosphorylation [ xref_bibr ] .,this phosphorylation event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .,because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma . ++++ because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma .,this phosphorylative event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .","pmc2075366,pmc2868031,pmc3291999,pmc3660063,pmc3660063,pmc3750018,pmc3837323",7,100,40,1,740
p300,protein,,,,q09472,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,cellosaurus:cvcl_9771,,,,"nan,nan,nan,nan","nan,nan,nan,nan","because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .","pmc3330162,pmc3330162,pmc3330162,pmc3330162",4,100,40,1,440
p300,protein,,,,q09472,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .","pmc2817464,pmc2817464,pmc2817464,pmc2817464",4,100,40,1,440
cbp,protein,,,,q92793,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .","pmc2817464,pmc2817464,pmc2817464,pmc2817464",4,100,40,1,440
gem,protein,,,,p55040,,,atm,protein,,,uniprot,q13315,,,positive,i,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .","pmc4159025,pmc4159025,pmc4159025",3,100,40,1,340
pkcdelta,protein,,,,p83099,other,go:0009986,src,protein family|protein complex,,,be,src,other,go:0009986,positive,d,phosphorylation,,cellosaurus:cvcl_0022,cl:cl:0000127,,uberon:uberon:2005088,"nan,nan,nan","nan,nan,nan","in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place . ++++ in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .,in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .,in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .","pmc3709701,pmc3709701,pmc3709701",3,100,40,1,340
cyclin,protein,,,,p12004,,,p21,protein,,,uniprot,p38936,,,positive,d,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 . ++++ as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 .,as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 . ++++ as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 .,as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 . ++++ as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 .","pmc3667761,pmc3667761,pmc3667761",3,100,40,1,340
"pras40*1, mtorc1*1+","protein, protein family|protein complex",,,,"q96b36, mtorc1",,,pras40,protein,,,uniprot,q96b36,,,positive,i,phosphorylation,,,,,,"nan,nan","nan,nan","here we demonstrate that akt- and mtorc1 mediated phosphorylation of pras40 at t246 and s221 , respectively , promotes nuclear specific association of pras40 with ribosomal protein l11 ( rpl11 ) .,here we demonstrate that akt- and mtorc1 mediated phosphorylation of pras40 at t246 and s221 , respectively , promotes nuclear specific association of pras40 with ribosomal protein l11 ( rpl11 ) .","pmc4216640,pmc4216640",2,100,40,1,240
"cyclin*1, cyclin*1+","protein, protein",,,,"p12004, p12004",,,p21,protein,,,uniprot,p38936,,,positive,i,phosphorylation,,,,,,"nan,nan","nan,nan","the p21 s130 residue can be phosphorylated by cyclin e-cdk2 xref_bibr , xref_bibr and also by cdk6 activated by the viral cyclin k xref_bibr .,the p21 s130 residue can be phosphorylated by cyclin e-cdk2 xref_bibr , xref_bibr and also by cdk6 activated by the viral cyclin k xref_bibr .","pmc3667761,pmc3667761",2,100,40,1,240
"pras40*1, akt-*1+","protein, protein",,,,"q96b36, p54644",,,pras40,protein,,,uniprot,q96b36,,,positive,i,phosphorylation,,,,,,"nan,nan","nan,nan","here we demonstrate that akt- and mtorc1 mediated phosphorylation of pras40 at t246 and s221 , respectively , promotes nuclear specific association of pras40 with ribosomal protein l11 ( rpl11 ) .,here we demonstrate that akt- and mtorc1 mediated phosphorylation of pras40 at t246 and s221 , respectively , promotes nuclear specific association of pras40 with ribosomal protein l11 ( rpl11 ) .","pmc4216640,pmc4216640",2,100,40,1,240
atr,protein,,,,p20848,,,chk1,protein,,,uniprot,o14757,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .,during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .","pmc2925474,pmc2925474",2,100,40,1,240
gem,protein,,,,p55040,,,chk1,protein,,,uniprot,o14757,,,positive,i,phosphorylation,,,,,,"nan,nan","nan,nan","however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .","pmc4159025,pmc4159025",2,100,40,1,240
wip1,protein,,,,o15297,,,p53,protein,,,uniprot,p04637,,,negative,d,dephosphorylation,,uaz:cvcl_9115,,,,"nan,nan","nan,nan","in an in vitro assay , wip1 could dephosphorylate p53 on s15 but not s46 [ xref_bibr ] .,in an in vitro assay , wip1 could dephosphorylate p53 on s15 but not s46 [ xref_bibr ] .","pmc2954851,pmc2954851",2,100,40,1,240
wip1,protein,,,,o15297,,,mdm2,protein,,,uniprot,q00987,,,negative,d,dephosphorylation,,,,,,"nan,nan","nan,nan","indeed , wip1 , but not pp2a , dephosphorylated mdm2 at s395 , which is an atm phosphorylation site [ xref_bibr , xref_bibr ] .,the dephosphorylation of serine 395 by the wip1 phosphatase and the binding of mdm2 to mdmx or enigma and pdlim7 had been reported to stabilize mdm2 [ xref_bibr - xref_bibr ] .","pmc2954851,pmc4480747",2,100,40,1,240
apc,protein,,,,p25054:[genericmutant],,,wnt,protein family|protein complex,,,be,wnt,,,positive,i,none,,,,,,"nan,nan","nan,nan","although apc mutation is believed to activate wnt signaling constitutively , histopathological studies show that only about 50 % colon carcinoma cells display homogeneous nuclear beta-catenin staining , a surrogate for wnt signaling activity , indicating that apc mutation alone is not sufficient to cause persistent or full activation of the wnt pathway in crc cells , therefore wnt signaling is regulatable in apc mutated crcs .,although apc mutation is believed to activate wnt signaling constitutively , histopathological studies show that only about 50 % colon carcinoma cells display homogeneous nuclear beta-catenin staining , a surrogate for wnt signaling activity , indicating that apc mutation alone is not sufficient to cause persistent or full activation of the wnt pathway in crc cells , therefore wnt signaling is regulatable in apc mutated crcs .","pmc4558782,pmc4558782",2,100,40,1,240
cdk1,protein,,,,p06493,cytoplasm,go:0005737,chk1,protein,,,uniprot,o14757,cytoplasm,go:0005737,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","as recently reported , during mitosis cdk1 phosphorylates chk1 at s286 and s301 ; the mitotic phosphorylation of chk1 is accompanied by the translocation of chk1 to the cytoplasm [ xref_bibr ] .,as recently reported , during mitosis cdk1 phosphorylates chk1 at s286 and s301 ; the mitotic phosphorylation of chk1 is accompanied by the translocation of chk1 to the cytoplasm [ xref_bibr ] .","pmc2925474,pmc2925474",2,100,40,1,240
lrp6,protein,,,,o75581,,,gsk3,protein family|protein complex,,,be,gsk3,,,negative,i,phosphorylation,,,,,,"nan,nan","nan,nan","however , while cselenyi et al. suggested that lrp6 specifically inhibits gsk3 phosphorylation of beta-catenin but not of other substrates xref_bibr , our data suggest that the phosphorylated pppspxs peptide behaves as a general gsk3 inhibitor .,cselenyi et al reported that the lrp6 intracellular domain specifically inhibits gsk3 phosphorylation of beta-catenin , but not of tau xref_bibr .","pmc2654145,pmc2654145",2,100,40,1,240
ikkbeta,protein,,,,o14920,,,tsc1,protein,,,uniprot,q92574,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","it has been described that ikkbeta ( inhibitor of nuclear factor kappab ( nfkappab ) kinase beta ) , a major downstream kinase in the tnfalpha signalling pathway , phosphorylates tsc1 at ser487 and ser511 , leading to the inhibition of tsc1 and tsc2 complex formation and mtorc1 activation [ xref_bibr ] .,it has been described that ikkbeta ( inhibitor of nuclear factor kappab ( nfkappab ) kinase beta ) , a major downstream kinase in the tnfalpha signalling pathway , phosphorylates tsc1 at ser487 and ser511 , leading to the inhibition of tsc1 and tsc2 complex formation and mtorc1 activation [ xref_bibr ] .","pmc3291999,pmc3291999",2,100,40,1,240
"src*1, ep2*1+","protein family|protein complex, protein",,,,"src.p, q08648",,,p38,protein family|protein complex,,,be,p38,,,positive,i,phosphorylation,,cellosaurus:cvcl_0045,,,,"nan,nan","nan,nan","inhibition of src completely blocked ep2 induced p38 phosphorylation and overexpression of src increased the level of p38 phosphorylation , indicating that src is upstream kinase for ep2 induced p38 phosphorylation .,inhibition of src completely blocked ep2 induced p38 phosphorylation and overexpression of src increased the level of p38 phosphorylation , indicating that src is upstream kinase for ep2 induced p38 phosphorylation .","pmc4624070,pmc4624070",2,100,40,1,240
rsk,protein family|protein complex,,,,rsk,other,go:0005856,tsc2,protein,,,uniprot,p49815,other,go:0005856,negative,i,phosphorylation,,,,,,"nan,nan","nan,nan","erk and rsk induce inhibitory phosphorylation of tsc2 at ser664 and ser1798 respectively , which promotes tsc1 and tsc2 dissociation , which in turn leads to mtorc1 activation [ xref_bibr - xref_bibr ] .,erk and rsk induce inhibitory phosphorylation of tsc2 at ser664 and ser1798 respectively , which promotes tsc1 and tsc2 dissociation , which in turn leads to mtorc1 activation [ xref_bibr - xref_bibr ] .","pmc3291999,pmc3291999",2,100,40,1,240
"src*1, kind*1+","protein family|protein complex, protein family",,,,"src, pf16474",,,egfr,protein,,,uniprot,p00533,,,positive,i,phosphorylation,,,cl:cl:0000575,,,"nan,nan","nan,nan","another kind of environmental pollutant , hexachlorobenzene , has also been shown to promote src activation and y845 phosphorylation of egfr , which leads to the activation of stat5b and the erk and mapk pathways and cell migration [ xref_bibr , xref_bibr ] .,another kind of environmental pollutant , hexachlorobenzene , has also been shown to promote src activation and y845 phosphorylation of egfr , which leads to the activation of stat5b and the erk and mapk pathways and cell migration [ xref_bibr , xref_bibr ] .","pmc3709701,pmc3709701",2,100,40,1,240
