index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
289,egfr,protein,,,,p00533,other,go:0009986,egf,protein,,,uniprot,p01133,other,go:0009986,negative,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","while the egfr monoclonal antibody 528 ( mab 528 ) that binds to the extracellular ligand binding domain of the egfr markedly reduced the ability of egf to autophosphorylate the egfr , rapamycin- mediated phosphorylation of the egfr was not altered ( xref_supplementary ) .,while the egfr monoclonal antibody 528 ( mab 528 ) that binds to the extracellular ligand binding domain of the egfr markedly reduced the ability of egf to autophosphorylate the egfr , rapamycin- mediated phosphorylation of the egfr was not altered ( xref_supplementary ) .,while the egfr monoclonal antibody 528 ( mab 528 ) that binds to the extracellular ligand binding domain of the egfr markedly reduced the ability of egf to autophosphorylate the egfr , rapamycin- mediated phosphorylation of the egfr was not altered ( xref_supplementary ) .,while the egfr monoclonal antibody 528 ( mab 528 ) that binds to the extracellular ligand binding domain of the egfr markedly reduced the ability of egf to autophosphorylate the egfr , rapamycin- mediated phosphorylation of the egfr was not altered ( xref_supplementary ) .","pmc2653860,pmc2653860,pmc2653860,pmc2653860",4,10,11,1,51
618,p53,protein,,,,p04637,other,go:0005654,hdm2,protein,,,uniprot,q00987,other,go:0005654,positive,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","specifically , when ribosome production is disturbed , rpl11 translocates from the nucleoli to the nucleoplasm where it binds and inhibits the p53 directed e3 ubiquitin ligase hdm2 , resulting in increased p53 protein stability and transcriptional activity .,specifically , when ribosome production is disturbed , rpl11 translocates from the nucleoli to the nucleoplasm where it binds and inhibits the p53 directed e3 ubiquitin ligase hdm2 , resulting in increased p53 protein stability and transcriptional activity .,specifically , when ribosome production is disturbed , rpl11 translocates from the nucleoli to the nucleoplasm where it binds and inhibits the p53 directed e3 ubiquitin ligase hdm2 , resulting in increased p53 protein stability and transcriptional activity .,specifically , when ribosome production is disturbed , rpl11 translocates from the nucleoli to the nucleoplasm where it binds and inhibits the p53 directed e3 ubiquitin ligase hdm2 , resulting in increased p53 protein stability and transcriptional activity .","pmc4216640,pmc4216640,pmc4216640,pmc4216640",4,10,11,1,51
471,mammalian target of rapamycin,protein,,,,p42345,,,akt-1,protein,,,uniprot,p31749,,,positive,d,phosphorylation,,,,,uberon:uberon:0003714,"nan,nan,nan,nan","nan,nan,nan,nan","akt-1 is also phosphorylated at s473 by the mammalian target of rapamycin ( mtor ) complex referred to as ( rapamycin-insensitive companion of mtor and mlst8 complex ) mtorc2 [ xref_bibr - xref_bibr ] .,akt-1 is also phosphorylated at s473 by the mammalian target of rapamycin ( mtor ) complex referred to as ( rapamycin-insensitive companion of mtor and mlst8 complex ) mtorc2 [ xref_bibr - xref_bibr ] .,akt-1 is also phosphorylated at s473 by the mammalian target of rapamycin ( mtor ) complex referred to as ( rapamycin-insensitive companion of mtor and mlst8 complex ) mtorc2 [ xref_bibr - xref_bibr ] .,akt-1 is also phosphorylated at s473 by the mammalian target of rapamycin ( mtor ) complex referred to as ( rapamycin-insensitive companion of mtor and mlst8 complex ) mtorc2 [ xref_bibr - xref_bibr ] .","pmc3660063,pmc3660063,pmc3660063,pmc3660063",4,10,11,1,51
5,akt1,protein,,,,p31749,,,mtor,protein,,,uniprot,p42345,,,negative,i,phosphorylation,,cellosaurus:cvcl_0062,,,,"nan,nan,nan,nan","nan,nan,nan,nan","consistent with a previous study , 36 we observed that constitutively active akt1 reduced mtor phosphorylation , likely reflecting the increase in apoptotic cell death , as mtor knockdown increased both akt phosphorylation and parp-1 cleavage upon stimulation with rasfonin .,consistent with a previous study , 36 we observed that constitutively active akt1 reduced mtor phosphorylation , likely reflecting the increase in apoptotic cell death , as mtor knockdown increased both akt phosphorylation and parp-1 cleavage upon stimulation with rasfonin .,consistent with a previous study , 36 we observed that constitutively active akt1 reduced mtor phosphorylation , likely reflecting the increase in apoptotic cell death , as mtor knockdown increased both akt phosphorylation and parp-1 cleavage upon stimulation with rasfonin .,consistent with a previous study , 36 we observed that constitutively active akt1 reduced mtor phosphorylation , likely reflecting the increase in apoptotic cell death , as mtor knockdown increased both akt phosphorylation and parp-1 cleavage upon stimulation with rasfonin .","pmc4720880,pmc4720880,pmc4720880,pmc4720880",4,10,10,1,50
480,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,positive,i,decreaseamount,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","in all the cell lines mdm2 transcripts were modestly reduced by pd0332991 , possibly reflecting the cdk4 inhibitor induced loss of p53 ( xref_supplementary ) .,in all the cell lines mdm2 transcripts were modestly reduced by pd0332991 , possibly reflecting the cdk4 inhibitor induced loss of p53 ( xref_supplementary ) .,in all the cell lines mdm2 transcripts were modestly reduced by pd0332991 , possibly reflecting the cdk4 inhibitor induced loss of p53 ( xref_supplementary ) .,in all the cell lines mdm2 transcripts were modestly reduced by pd0332991 , possibly reflecting the cdk4 inhibitor induced loss of p53 ( xref_supplementary ) .","pmc4480747,pmc4480747,pmc4480747,pmc4480747",4,10,10,1,50
493,mlst8,protein,,,,q9bvc4,other,go:0005856,mtor,protein,,,uniprot,p42345,other,go:0005856,positive,i,none,,,,,,"nan,nan","nan,nan","gbetal and mlst8 interacts with the mtor kinase domain independently of raptor and potentiates mtor activity .,gbetal and mlst8 interacts with the mtor kinase domain independently of raptor and potentiates mtor activity .","pmc2361102,pmc2361102",2,10,11,1,31
877,tsc2,protein,,,,p49815,,,pkb,protein,,,uniprot,p31749,,,positive,i,none,,,,,,"nan,nan","nan,nan","as a result of irs inactivation , tsc2 deficient cells exhibit a profound defect in pi3k signaling and fail to activate the serine threonine kinase pkb or respond to the migration and pro survival activities of igf-1 .,as a result of irs inactivation , tsc2 deficient cells exhibit a profound defect in pi3k signaling and fail to activate the serine threonine kinase pkb or respond to the migration and pro survival activities of igf-1 .","pmc2172316,pmc2172316",2,10,11,1,31
224,chk2,protein,,,,o96017,other,sl-0276,p53,protein,,,uniprot,p04637,other,sl-0276,negative,i,none,,uaz:cvcl_9115,cl:cl:0000646,,,"nan,nan","nan,nan","chk2 deficiency reduces p53 induction and increases proliferation of the skin of k5cre trf1 delta and delta chk2 -/- newborns .,chk2 deficiency reduces p53 induction and increases proliferation of the skin of k5cre trf1 delta and delta chk2 -/- newborns .","pmc4331747,pmc4331747",2,10,10,1,30
32,atm,protein,,,,q13315,,,chk2,protein,,,uniprot,o96017,,,negative,d,dephosphorylation,,,,,,"nan,nan","nan,nan","atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo . ++++ atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo . ++++ atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo .,atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo . ++++ atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo . ++++ atm dependent dephosphorylation of p53 at s376 and chk1 and chk2 dependent phosphorylation of p53 at s378 , s366 and t387 generate 14-3-3 binding sites in vivo .","pmc2817464,pmc2817464",2,10,10,1,30
536,mtor,protein,,,,p42345,,,s6k1,protein,,,uniprot,p23443,,,negative,i,phosphorylation,,cellosaurus:cvcl_n813,,,,"nan,nan","nan,nan","mtor enhances translation initiation in part by phosphorylating two major targets , the eif4e binding proteins ( 4e-bps ) and the ribosomal protein s6 kinases ( s6k1 and s6k2 ) that cooperate to regulate translation initiation rates .,mtor enhances translation initiation in part by phosphorylating two major targets , the eif4e binding proteins ( 4e-bps ) and the ribosomal protein s6 kinases ( s6k1 and s6k2 ) that cooperate to regulate translation initiation rates .","pmc2361102,pmc2361102",2,10,10,1,30
225,chk2,protein,,,,o96017,other,sl-0276,p53,protein,,,uniprot,p04637,other,sl-0276,positive,i,none,,cellosaurus:cvcl_1r13,,,uberon:uberon:0000479 ++++ uberon:uberon:0001068,"nan,nan","nan,nan","both chk1 and chk2 can activate p53 upon dna damage and are important for cell cycle checkpoints , however , while chk1 is crucial for intra-s and g2/s transition , chk2 is more important for g1/s checkpoint . ++++ altogether , these results demonstrate that chk2 deletion attenuates induction of p53 and p21 as well as rescues proliferative defects in the skin of trf1 delta and delta k5cre mice , which in turn leads to a partial rescue of survival but also to increased tumorigenesis .,both chk1 and chk2 can activate p53 upon dna damage and are important for cell cycle checkpoints , however , while chk1 is crucial for intra-s and g2/s transition , chk2 is more important for g1/s checkpoint . ++++ altogether , these results demonstrate that chk2 deletion attenuates induction of p53 and p21 as well as rescues proliferative defects in the skin of trf1 delta and delta k5cre mice , which in turn leads to a partial rescue of survival but also to increased tumorigenesis .","pmc4331747,pmc4331747",2,10,9,1,29
46,atm,protein,,,,q13315,other,go:0005657,chk2,protein,,,uniprot,o96017,other,go:0005657,positive,i,none,,cellosaurus:cvcl_0428,,,,"nan,nan","nan,nan","although chk1 activation is primarily dependent on ataxia telangiectasia mutated ( atm ) and rad3 related kinase ( atr ) activated by stalled replication forks and single-strand dna breaks , chk2 is mainly activated by atm induced by dna double-strand breaks ( dsbs ) [ xref_bibr ] .,although chk1 activation is primarily dependent on ataxia telangiectasia mutated ( atm ) and rad3 related kinase ( atr ) activated by stalled replication forks and single-strand dna breaks , chk2 is mainly activated by atm induced by dna double-strand breaks ( dsbs ) [ xref_bibr ] .","pmc4159025,pmc4159025",2,10,9,1,29
