index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
877,tsc2,protein,,,,p49815,,,pkb,protein,,,uniprot,p31749,,,positive,i,none,,,,,,"nan,nan","nan,nan","as a result of irs inactivation , tsc2 deficient cells exhibit a profound defect in pi3k signaling and fail to activate the serine threonine kinase pkb or respond to the migration and pro survival activities of igf-1 .,as a result of irs inactivation , tsc2 deficient cells exhibit a profound defect in pi3k signaling and fail to activate the serine threonine kinase pkb or respond to the migration and pro survival activities of igf-1 .","pmc2172316,pmc2172316",2,10,20,1,40
609,p53,protein,,,,p04637,,,p21,protein,,,uniprot,p38936,,,negative,i,none,,cellosaurus:cvcl_0023,,,,"nan,nan","nan,nan","this could be in part due to reduced translation of p53 activated p21 mrna in a549 and mcf7 cells treated with rad001 , thereby allowing the dosage of cisplatin to be reduced ( beuvink et al , 2005 ) .,this could be in part due to reduced translation of p53 activated p21 mrna in a549 and mcf7 cells treated with rad001 , thereby allowing the dosage of cisplatin to be reduced ( beuvink et al , 2005 ) .","pmc2361102,pmc2361102",2,10,19,1,39
684,pten,protein,,,,p60484,,,p21,protein,,,uniprot,p38936,,,positive,i,none,,atcc:crl-2522,,,,"nan,nan","nan,nan","cells with depleted pten protein levels or expressing pik3ca e545k exhibited increased levels of phospho-akt and phosphorylation of the akt substrate pras40 ( proline rich akt substrate of 40kda ) demonstrating pi3k pathway activation and consistent with a previous report accumulation of cell cycle inhibitors p53 and its target p21 ( xref_fig ) .,cells with depleted pten protein levels or expressing pik3ca e545k exhibited increased levels of phospho-akt and phosphorylation of the akt substrate pras40 ( proline rich akt substrate of 40kda ) demonstrating pi3k pathway activation and consistent with a previous report accumulation of cell cycle inhibitors p53 and its target p21 ( xref_fig ) .","pmc3325598,pmc3325598",2,10,19,1,39
450,irs-1,protein,,,,p35568,,,mtor,protein,,,uniprot,p42345,,,negative,i,none,,cellosaurus:cvcl_8262,,,,"nan,nan","nan,nan","these data suggest that downregulation of irs-1 is involved in the ability of alpha-tea to suppress akt , erk , and mtor signalling and demonstrated that jnk is involved in this event via phosphorylation of irs-1 at ser 307 , leading to its degradation .,these data suggest that downregulation of irs-1 is involved in the ability of alpha-tea to suppress akt , erk , and mtor signalling and demonstrated that jnk is involved in this event via phosphorylation of irs-1 at ser 307 , leading to its degradation .","pmc3039802,pmc3039802",2,10,19,1,39
472,mammalian target of rapamycin,protein,,,,p42345,,,irs-1,protein,,,uniprot,p35568,,,positive,i,none,,,,,,"nan,nan","nan,nan","mammalian target of rapamycin and erk have been reported to negatively regulate irs-1 via their downstream mediator p70s6k , providing a negative feedback mechanism for turning off activation of akt .,mammalian target of rapamycin and erk have been reported to negatively regulate irs-1 via their downstream mediator p70s6k , providing a negative feedback mechanism for turning off activation of akt .","pmc3039802,pmc3039802",2,10,19,1,39
520,mtor,protein,,,,p42345,,,igf-i,protein,,,uniprot,p05019,,,negative,i,none,,,,,,"nan,nan","nan,nan","in this manner , mtor via p70s6k can inhibit insulin or igf-i receptor- mediated prosurvival and proliferative signaling .,in this manner , mtor via p70s6k can inhibit insulin or igf-i receptor- mediated prosurvival and proliferative signaling .","pmc2653860,pmc2653860",2,10,19,1,39
524,mtor,protein,,,,p42345,,,irs-1,protein,,,uniprot,p35568,,,positive,i,amount,,,,,,"nan,nan","nan,nan","thus , inhibitors of mek and erk and mtor produce a counterproductive increase in pakt via loss of the negative feedback control of irs-1 levels , which limits their clinic applications .,thus , inhibitors of mek and erk and mtor produce a counterproductive increase in pakt via loss of the negative feedback control of irs-1 levels , which limits their clinic applications .","pmc3039802,pmc3039802",2,10,19,1,39
115,caspase-9,protein,,,,p55211,,,caspase-7,protein,,,uniprot,p55210,,,positive,i,none,,cellosaurus:cvcl_0063,,,,"nan,nan","nan,nan","the presence of caspase-9 protein activated caspase-7 to a higher level than in its absence .,the presence of caspase-9 protein activated caspase-7 to a higher level than in its absence .","pmc4040661,pmc4040661",2,10,18,1,38
794,src,protein family|protein complex,,,,src,,,integrin,protein,,,uniprot,p08648,,,positive,i,none,,,,,,nan,nan,expression of yfp-cd2 inhibits src mediated integrin and fak signaling .,pmc4638348,1,10,20,1,30
691,pten,protein,,,,p60484:[genericmutant],nucleus,go:0005634,vegf,protein,,,uniprot,p15692,nucleus,go:0005634,positive,i,amount,,,,,,nan,nan,"furthermore , in human glioblastoma cells , pten mutation can cooperate with egfr activation to increase vegf mrna levels by transcriptionally up-regulating the proximal vegf promoter via the pi3k and akt pathway [ xref_bibr ] .",pmc2652403,1,10,19,1,29
687,pten,protein,,,,p60484,other,go:0031012,apoptosis,biological process,,,go,go:0006915,other,go:0031012,positive,i,none,,,,,,nan,nan,"together , these data suggest that pten effects on the pi3k signaling cascade are influenced by the cell stimulatory context , and that depending on the exposure to growth factors and other exogenous stimuli such as integrin ligation , pten can induce cell cycle arrest , apoptosis or anoikis in breast cancer cells .",pmc2652403,1,10,19,1,29
686,pten,protein,,,,p60484,nucleus,go:0005634,p53,protein,,,uniprot,p04637,nucleus,go:0005634,positive,i,none,,cellosaurus:cvcl_0022,,,,nan,nan,retroviral transduction of pten into pten null glioblastoma cells increases p53 activity and expression of p53 target genes and induces cell cycle arrest [ xref_bibr ] . ++++ retroviral transduction of pten into pten null glioblastoma cells increases p53 activity and expression of p53 target genes and induces cell cycle arrest [ xref_bibr ] .,pmc2652403,1,10,19,1,29
