Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
p300,protein,,,,q09472,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .","pmc2817464,pmc2817464,pmc2817464,pmc2817464,pmc2817464,pmc2817464,pmc2817464,pmc2817464",8,100,40,1,840
p300,protein,,,,q09472,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,cellosaurus:cvcl_9771,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .","pmc3330162,pmc3330162,pmc3330162,pmc3330162,pmc3330162,pmc3330162,pmc3330162,pmc3330162",8,100,40,1,840
cbp,protein,,,,q92793,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .","pmc2817464,pmc2817464,pmc2817464,pmc2817464,pmc2817464,pmc2817464,pmc2817464,pmc2817464",8,100,40,1,840
cdc25a,protein,,,,p30304,,,chk2,protein,,,uniprot,o96017,,,positive,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","a possible influence of estrogen on chk2 function is intriguing and can be ascribed to the activity of the estrogen receptor on the chk2 target cdc25a or to an interaction between the estrogen receptor and one of the proteins regulated by chk2 or chk2 itself .,a possible influence of estrogen on chk2 function is intriguing and can be ascribed to the activity of the estrogen receptor on the chk2 target cdc25a or to an interaction between the estrogen receptor and one of the proteins regulated by chk2 or chk2 itself .,a possible influence of estrogen on chk2 function is intriguing and can be ascribed to the activity of the estrogen receptor on the chk2 target cdc25a or to an interaction between the estrogen receptor and one of the proteins regulated by chk2 or chk2 itself .,a possible influence of estrogen on chk2 function is intriguing and can be ascribed to the activity of the estrogen receptor on the chk2 target cdc25a or to an interaction between the estrogen receptor and one of the proteins regulated by chk2 or chk2 itself .","pmc4296918,pmc4296918,pmc4296918,pmc4296918",4,100,40,1,440
cdk2,protein,,,,p24941,,,rb,protein,,,uniprot,p06400,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","rb is at least partly phosphorylated by cdk2 . ++++ rb is at least partly phosphorylated by cdk2 .,rb is at least partly phosphorylated by cdk2 . ++++ rb is at least partly phosphorylated by cdk2 .,rb is at least partly phosphorylated by cdk2 . ++++ rb is at least partly phosphorylated by cdk2 .,rb is at least partly phosphorylated by cdk2 . ++++ rb is at least partly phosphorylated by cdk2 .","pmc3730417,pmc3730417,pmc3730417,pmc3730417",4,100,40,1,440
cdk2,protein,,,,p24941,,,p21,protein,,,uniprot,p38936,,,positive,i,phosphorylation,,cellosaurus:cvcl_0291,,,,"nan,nan,nan,nan","nan,nan,nan,nan","as for cdk2 dependent phosphorylation of p21 on s130 in vitro xref_bibr , deletion of the c-terminal cy2 cyclin binding site much reduced p21 phosphorylation in hct116 cells ( xref_supplementary ) , suggesting that in cyclin d/cdk4 bound p21 the interaction with other active cyclin-cdk complexes to phosphorylate s130 is mediated by the cy2 site . ++++ previous reports have indicated that s130 phosphorylation of p21 can be catalyzed by cdk2 to form a phosphodegron recognized by the scf and skp2 ubiquitin ligase complex and to signal the proteasomal degradation of cyclin and cdk bound p21 , which is required for s-phase entry xref_bibr - xref_bibr .,as for cdk2 dependent phosphorylation of p21 on s130 in vitro xref_bibr , deletion of the c-terminal cy2 cyclin binding site much reduced p21 phosphorylation in hct116 cells ( xref_supplementary ) , suggesting that in cyclin d/cdk4 bound p21 the interaction with other active cyclin-cdk complexes to phosphorylate s130 is mediated by the cy2 site . ++++ previous reports have indicated that s130 phosphorylation of p21 can be catalyzed by cdk2 to form a phosphodegron recognized by the scf and skp2 ubiquitin ligase complex and to signal the proteasomal degradation of cyclin and cdk bound p21 , which is required for s-phase entry xref_bibr - xref_bibr .,as for cdk2 dependent phosphorylation of p21 on s130 in vitro xref_bibr , deletion of the c-terminal cy2 cyclin binding site much reduced p21 phosphorylation in hct116 cells ( xref_supplementary ) , suggesting that in cyclin d/cdk4 bound p21 the interaction with other active cyclin-cdk complexes to phosphorylate s130 is mediated by the cy2 site . ++++ previous reports have indicated that s130 phosphorylation of p21 can be catalyzed by cdk2 to form a phosphodegron recognized by the scf and skp2 ubiquitin ligase complex and to signal the proteasomal degradation of cyclin and cdk bound p21 , which is required for s-phase entry xref_bibr - xref_bibr .,as for cdk2 dependent phosphorylation of p21 on s130 in vitro xref_bibr , deletion of the c-terminal cy2 cyclin binding site much reduced p21 phosphorylation in hct116 cells ( xref_supplementary ) , suggesting that in cyclin d/cdk4 bound p21 the interaction with other active cyclin-cdk complexes to phosphorylate s130 is mediated by the cy2 site . ++++ previous reports have indicated that s130 phosphorylation of p21 can be catalyzed by cdk2 to form a phosphodegron recognized by the scf and skp2 ubiquitin ligase complex and to signal the proteasomal degradation of cyclin and cdk bound p21 , which is required for s-phase entry xref_bibr - xref_bibr .","pmc3667761,pmc3667761,pmc3667761,pmc3667761",4,100,40,1,440
gem,protein,,,,p55040,,,chk1,protein,,,uniprot,o14757,,,positive,i,phosphorylation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .","pmc4159025,pmc4159025,pmc4159025,pmc4159025",4,100,40,1,440
cdk2,protein,,,,p24941,,,p53,protein,,,uniprot,p04637,,,positive,i,phosphorylation,,,,,uberon:uberon:0002488,"nan,nan,nan,nan","nan,nan,nan,nan","a 20mer peptide ( cip ) derived from a p53 tetramerization domain that binds a cdk2 docking site was reported to efficiently inhibit cdk2 phosphorylation of p53 and induce cell death in melanoma cells [ xref_bibr ] ( xref_fig a ) .,a 20mer peptide ( cip ) derived from a p53 tetramerization domain that binds a cdk2 docking site was reported to efficiently inhibit cdk2 phosphorylation of p53 and induce cell death in melanoma cells [ xref_bibr ] ( xref_fig a ) .,a 20mer peptide ( cip ) derived from a p53 tetramerization domain that binds a cdk2 docking site was reported to efficiently inhibit cdk2 phosphorylation of p53 and induce cell death in melanoma cells [ xref_bibr ] ( xref_fig a ) .,a 20mer peptide ( cip ) derived from a p53 tetramerization domain that binds a cdk2 docking site was reported to efficiently inhibit cdk2 phosphorylation of p53 and induce cell death in melanoma cells [ xref_bibr ] ( xref_fig a ) .","pmc4381256,pmc4381256,pmc4381256,pmc4381256",4,100,40,1,440
cyclin,protein,,,,p12004,,,p21,protein,,,uniprot,p38936,,,positive,d,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 . ++++ as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 .,as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 . ++++ as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 .,as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 . ++++ as analyzed in xref_fig and xref_supplementary , cyclin e1-cdk2 and cyclin d3-cdk4 phosphorylated unbound p21 at both s130 and s98 but not at t57 ( the patterns were not affected by the t57a mutation ) , whereas only s130 was phosphorylated by cyclin a2-cdk2 .","pmc3667761,pmc3667761,pmc3667761",3,100,40,1,340
sp-a,protein,,,,p48023,other,go:0018995,insulin,protein,,,uniprot,p01308,other,go:0018995,positive,d,transcription,,cellosaurus:cvcl_1561,cl:cl:0000082,,uberon:uberon:0008826,"nan,nan","nan,nan","insulin decreased sp-a gene transcription in human lung epithelial cells within 1 hour . ++++ insulin inhibited human sp-a gene transcription at every time-point tested , even as early as after 1 hour of insulin treatment . ++++ our studies are suggestive that insulin inhibits sp-a gene transcription via the pi 3-kinase pathway in lung epithelial cells , specifically via the rapamycin sensitive activation of p70 s6 kinase . ++++ insulin does not activate p44/42 mapk and does not inhibit sp-a gene transcription via the mapk pathway .,insulin decreased sp-a gene transcription in human lung epithelial cells within 1 hour . ++++ insulin inhibited human sp-a gene transcription at every time-point tested , even as early as after 1 hour of insulin treatment . ++++ our studies are suggestive that insulin inhibits sp-a gene transcription via the pi 3-kinase pathway in lung epithelial cells , specifically via the rapamycin sensitive activation of p70 s6 kinase . ++++ insulin does not activate p44/42 mapk and does not inhibit sp-a gene transcription via the mapk pathway .","pmc150512,pmc150512",2,100,40,1,240
