index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
1542,egf,protein,,,,p01133,,,irs,proteinfamily,,,pfam,pf02174,,,positive,i,phosphorylation,,cellosaurus:cvcl_0037,,,,"nan,nan","nan,nan","although egf was reported to induce phosphorylation of irs proteins in a431 cells that express high levels of egfr , egf could not induce significant irs phosphorylation in hek293 cells ( xref_supplementary ) , which is consistent with other studies .,although egf was reported to induce phosphorylation of irs proteins in a431 cells that express high levels of egfr , egf could not induce significant irs phosphorylation in hek293 cells ( xref_supplementary ) , which is consistent with other studies .","pmc2683723,pmc2683723",2,10,19,1,39
1118,chk2,protein,,,,o96017,,,chk2,protein,,,uniprot,o96017,,,positive,d,autophosphorylation,,,,,,"nan,nan","nan,nan","consistent with accumulation of the chk2 phosphorylation ( t68 ) and autophosphorylation of chk2 ( s516 ) , the level of phospho-histone h2a.x ( s139 ) was dramatically increased in time dependent manner ( xref_fig a ) .,other in vitro chk2 kinase assays performed with four dbc1 deletion fragments and full length sirt1 showed no significant phosphorylation of these recombinant substrates , but they allowed to map the n-terminus sequence ( a.a. 1-229 ) of dbc1 as being responsible for the inhibition of chk2 autophosphorylation and activity towards cdc25c .","pmc4159025,pmc4245943",2,10,18,1,38
3144,mtor,protein,,,,p42345,,,igf-i,protein,,,uniprot,p05019,,,negative,i,none,,,,,,nan,nan,"in this manner , mtor via p70s6k can inhibit insulin or igf-i receptor- mediated prosurvival and proliferative signaling .",pmc2653860,1,10,19,1,29
3586,p53,protein,,,,p04637,,,p53,protein,,,uniprot,p04637,,,positive,i,amount,,,,,,nan,nan,"45 activation of p53 in response to dna damage and other forms of cell stress is generally mediated by inhibition of p53 degradation , leading to increased intracellular p53 levels . ++++ 45 activation of p53 in response to dna damage and other forms of cell stress is generally mediated by inhibition of p53 degradation , leading to increased intracellular p53 levels .",pmc3481126,1,10,19,1,29
3145,mtor,protein,,,,p42345,,,igf-i receptor-,protein,,,uniprot,p08069,,,negative,i,none,,,,,,nan,nan,"in this manner , mtor via p70s6k can inhibit insulin or igf-i receptor- mediated prosurvival and proliferative signaling .",pmc2653860,1,10,19,1,29
3146,mtor,protein,,,,p42345,,,insulin,protein,,,uniprot,p01308,,,negative,i,none,,,,,,nan,nan,"in this manner , mtor via p70s6k can inhibit insulin or igf-i receptor- mediated prosurvival and proliferative signaling .",pmc2653860,1,10,19,1,29
3149,mtor,protein,,,,p42345,,,irs-1,protein,,,uniprot,p35568,,,positive,i,amount,,,,,,nan,nan,"thus , inhibitors of mek and erk and mtor produce a counterproductive increase in pakt via loss of the negative feedback control of irs-1 levels , which limits their clinic applications .",pmc3039802,1,10,19,1,29
3173,mtor,protein,,,,p42345,,,pp2a,protein,,,uniprot,p67775,,,negative,i,none,,cellosaurus:cvcl_6353 ++++ cellosaurus:cvcl_0041 ++++ cellosaurus:cvcl_1658,cl:cl:0000312,,,nan,nan,"because pp2a is negatively regulated by mtor , we hypothesized that mtor may regulate cell motility in part through pp2a-erk1/2 pathway . ++++ igf-1 stimulation of mtor represses pp2a , resulting in activation of erk1/2 and this is prevented by rapamycin . ++++ it has been described that insulin or igf-1 stimulates activation of s6k1 , which is attributed to mtor repression of pp2a activity against s6k1 xref_bibr . ++++ our results support the notion that pp2a lies downstream of mtor and is negatively regulated by mtor .",pmc2868031,1,10,19,1,29
3174,mtor,protein,,,,p42345,,,pp2a,protein,,,uniprot,p67775,,,positive,i,none,,cellosaurus:cvcl_0041,,,,nan,nan,"this is further supported by our findings that downregulation of mtor by ~ 85 % with lentiviral shrna increased the pp2a activity by approximately 1.8 fold , mimicking the effect of rapamycin on pp2a ( xref_fig ) .",pmc2868031,1,10,19,1,29
3480,p21,protein,,,,p38936,,,p53,protein,,,uniprot,p04637,,,positive,i,amount,,uaz:cvcl_9115,,,,nan,nan,wip1 -/- mefs exhibited a slight increase in p53 phosphorylation at s15 and an increase in the levels of p53 target p21 [ xref_bibr ] .,pmc2954851,1,10,19,1,29
3481,p21,protein,,,,p38936,,,p53,protein,,,uniprot,p04637,,,positive,i,none,,cellosaurus:cvcl_0031,,,,nan,nan,we had previously shown that p68 is recruited to the p21 promoter in a p53 and dna damage dependent manner .,pmc3556166,1,10,19,1,29
3483,p21,protein,,,,p38936,,,pten,protein,,,uniprot,p60484,,,positive,i,none,,atcc:crl-2522,,,,nan,nan,cells with depleted pten protein levels or expressing pik3ca e545k exhibited increased levels of phospho-akt and phosphorylation of the akt substrate pras40 ( proline rich akt substrate of 40kda ) demonstrating pi3k pathway activation and consistent with a previous report accumulation of cell cycle inhibitors p53 and its target p21 ( xref_fig ) .,pmc3325598,1,10,19,1,29
3562,p53,protein,,,,p04637,cytoplasm,go:0005737,p21,protein,,,uniprot,p38936,cytoplasm,go:0005737,positive,i,none,,,,,,nan,nan,"however , the role of chk2 in p53 mediated p21 accumulation is disputed , since there are contrasting observations from chk2 knockout mice as explained below .",pmc4296918,1,10,19,1,29
3587,p53,protein,,,,p04637,,,p53,protein,,,uniprot,p04637,,,positive,i,none,,,,,,nan,nan,"approximately 70 % of the genes targeted by p53 were also targeted by foxo , and nearly 50 % of the genes targeted by p53 were also targeted by both foxo and e-box-binding factors , indicating synergistic gene regulation by the transcription factors acting downstream of pi 3-kinase signaling . ++++ many of the genes targeted by p53 were also targeted by foxo and e-box-binding transcription factors , indicating that p53 functions coordinately with these factors to regulate gene expression downstream of pi 3-kinase/akt/gsk3 signaling . ++++ xref_bibr , xref_bibr notably , many of the genes targeted by p53 were co-regulated by foxo and e-box transcription factors . ++++ there was substantial overlap in the genes targeted by foxo , mitf , usf1 and p53 ( xref_fig ) . ++++ approximately 70 % of the genes targeted by p53 were also targeted by foxo , and nearly 50 % of the genes targeted by p53 were also targeted by both foxo and e-box-binding factors , indicating synergistic gene regulation by the transcription factors acting downstream of pi 3-kinase signaling .",pmc3481126,1,10,19,1,29
