index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
613,ras,family,,,,pf00071,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","pmc4020307,pmc4440819,pmc4440819,pmc5467491,pmc5636874",5,10,5,1,55
627,ras,family,,,,pf00071,,,smad,family,,,be,smad,,,positive,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4067595,pmc4440819,pmc4440819",3,10,5,1,35
351,mapk,family,,,,erk,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4440819,pmc2064279,pmc5609034",3,10,5,1,35
623,ras,family,,,,pf00071,,,raf,family,,,be,raf,,,positive,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4020307,pmc4020307,pmc4440819",3,10,1,1,31
180,erk,family,,,,erk,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4020307,pmc4067595",2,10,5,1,25
348,mapk,family,,,,erk,,,braf,protein,,,uniprot,p15056,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3809567,pmc5127645",2,10,5,1,25
54,braf,protein,,,,p15056,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3809567,pmc5127645",2,10,5,1,25
173,erk,family,,,,erk,,,kras,protein,,,uniprot,p01116,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5723691,pmc5723691",2,10,5,1,25
365,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6472057,pmc6472057",2,10,3,1,23
175,erk,family,,,,erk,,,mek,family,,,be,mek,,,positive,i,,,,,,,nan,nan,nan,pmc4440819,1,10,5,1,15
594,raf-1,protein,,,,p04049,,,mapk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
434,mtorc1,protein,,,,mtorc1,,,sasp,protein,,,uniprot,p10599,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
532,pi3k,protein,,,,pi3k,,,egfr,protein,,,uniprot,p00533,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
587,raf,family,,,,raf,,,erk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
589,raf-1,protein,,,,p04049,,,erk1,protein,,,uniprot,p27361,,,positive,i,,,,,,,nan,nan,nan,pmc5432316,1,10,5,1,15
590,raf-1,protein,,,,p04049,,,erk2,protein,,,uniprot,p28482,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
595,raf-1,protein,,,,p04049,,,mapk1,protein,,,uniprot,p28482,,,positive,i,,,,,,,nan,nan,nan,pmc5432316,1,10,5,1,15
384,mek,family,,,,mek,,,mtorc1,protein,,,be,mtorc1,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
596,raf-1,protein,,,,p04049,,,mapk3,protein,,,uniprot,p27361,,,positive,i,,,,,,,nan,nan,nan,pmc5432316,1,10,5,1,15
607,ras,family,,,,pf00071,,,akt,family,,,be,akt,,,positive,i,,,,,,,nan,nan,nan,pmc4440819,1,10,5,1,15
103,da-raf1,protein,,,,p10398,,,erk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc4440819,1,10,5,1,15
617,ras,family,,,,pf00071,,,map,protein,,,uniprot,p12872,,,positive,i,,,,,,,nan,nan,nan,pmc4440819,1,10,5,1,15
622,ras,family,,,,pf00071,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmc3809567,1,10,5,1,15
59,braf,protein,,,,p15056,,,raf,family,,,be,raf,,,positive,i,,,,,,,nan,nan,nan,pmc5537703,1,10,5,1,15
177,erk,family,,,,erk,,,mtorc1,protein,,,be,mtorc1,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
385,mek,family,,,,mek,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc2911390,1,10,5,1,15
382,mek,family,,,,mek,,,lactate,simple-chemical,,,hmdb,hmdb00190,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
154,er,protein,,,,p03372,,,sasp,protein,,,uniprot,p10599,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
179,erk,family,,,,erk,,,raf,family,,,be,raf,,,positive,i,,,,,,,nan,nan,nan,pmc4440819,1,10,5,1,15
174,erk,family,,,,erk,,,lactate,simple-chemical,,,hmdb,hmdb00190,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
181,erk,family,,,,erk,,,rb,protein,,,uniprot,p06400,,,positive,i,,,,,,,nan,nan,nan,pmc4440819,1,10,5,1,15
182,erk,family,,,,erk,,,smad,family,,,be,smad,,,positive,i,,,,,,,nan,nan,nan,pmc4020307,1,10,5,1,15
353,mapk,family,,,,erk,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,nan,nan,nan,pmc5609034,1,10,5,1,15
358,mapk,family,,,,erk,,,raf,family,,,be,raf,,,positive,i,,,,,,,nan,nan,nan,pmc5537703,1,10,5,1,15
359,mapk,family,,,,erk,,,raf-1,protein,,,uniprot,p04049,,,positive,i,,,,,,,nan,nan,nan,nan,1,10,5,1,15
360,mapk,family,,,,erk,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,nan,nan,nan,pmc3843736,1,10,5,1,15
366,mek,family,,,,mek,,,ampk,protein,,,be,ampk,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,5,1,15
593,raf-1,protein,,,,p04049,,,map2k2,protein,,,uniprot,p36507,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,3,1,13
355,mapk,family,,,,erk,,,p38,family,,,be,p38,,,positive,i,,,,,,,nan,nan,nan,pmc5609034,1,10,3,1,13
378,mek,family,,,,mek,,,erk,family,,,be,erk,,,positive,i,,,,,,,nan,nan,nan,pmc5723691,1,10,3,1,13
592,raf-1,protein,,,,p04049,,,map2k1,protein,,,uniprot,q02750,,,positive,i,,,,,,,nan,nan,nan,pmc5432316,1,10,3,1,13
597,raf-1,protein,,,,p04049,,,mek1,protein,,,uniprot,q02750,,,positive,i,,,,,,,nan,nan,nan,pmc5432316,1,10,3,1,13
598,raf-1,protein,,,,p04049,,,mek2,protein,,,uniprot,p36507,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,3,1,13
289,jnk,family,,,,jnk,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,nan,nan,nan,pmc5467491,1,10,3,1,13
56,braf,protein,,,,p15056,,,mek,family,,,be,mek,,,positive,i,,,,,,,nan,nan,nan,pmc4440819,1,10,3,1,13
