index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
334,map4k4,protein,,,,o95819,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","pmc4440819,pmc4440819,pmc4440819,pmc4695180,pmc4695180,pmc2064279,pmc2064279,pmc2064279",8,100,40,1,840
218,fty720,simple-chemical,,,,107969,,,pp2a,protein,,,uniprot,p67775,,,positive,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","pmc4440819,pmc4440819,pmc4695180,pmc4695180,pmc4695180,pmc4695180,pmc2064279,pmc2064279",8,100,40,1,840
39,belinostat,simple-chemical,,,,6918638,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","pmc6396142,pmc6396142,pmc6472057,pmc6472057,pmc6472057,pmc6472057",6,100,40,1,640
652,rerg,protein,,,,q96a58,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","pmc6194127,pmc4535867,pmc4535867,pmc4535867,pmc4618523",5,100,40,1,540
730,tgf-ϲ,family,,,,uaz00333,,,smad,family,,,be,smad,,,positive,i,,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","pmc4020307,pmc4067595,pmc4179759,pmc4440819,pmc4440819",5,100,40,1,540
550,ppar,protein,,,,q07869,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc5190119,pmc5288173,pmc5312311,pmc5312311",4,100,40,1,440
338,map4k4,protein,,,,o95819,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4440819,pmc4695180,pmc2064279,pmc2064279",4,100,40,1,440
576,ptprs,protein,,,,q13332,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc5958651,pmc5958651,pmc5958651,pmc6006154",4,100,40,1,440
650,rerg,protein,,,,q96a58,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4535867,pmc4535867,pmc4618523,nan",4,100,40,1,440
339,map4k4,protein,,,,o95819,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4440819,pmc4695180,pmc2064279,pmc2064279",4,100,40,1,440
760,u0126,simple-chemical,,,,3006531,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc5723691,pmc6396142,pmc6396142",3,100,40,1,340
647,rdm1,protein,,,,q8ng50,,,raf,family,,,be,raf,,,positive,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc5537703,pmc5537703,pmc5537703",3,100,40,1,340
734,tgf-ϲ1,protein,,,,uaz02902,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4020307,pmc4440819,pmc4440819",3,100,40,1,340
515,pd0325901,simple-chemical,,,,9826528,,,ampk,protein,,,be,ampk,,,positive,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc5467491,nan,nan",3,100,40,1,340
27,autophagy,bioprocess,,,,go:0006914,,,ampk,protein,,,be,ampk,,,positive,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc5467491,pmc5467491,nan",3,100,40,1,340
648,rdm1,protein,,,,q8ng50,,,ras,family,,,pfam,pf00071,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5537703,pmc5537703",2,100,40,1,240
472,oa,simple-chemical,,,,4628,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6339303,pmc6339303",2,100,40,1,240
735,tgf-ϲ1,protein,,,,uaz02902,,,mek,family,,,be,mek,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4020307,pmc4440819",2,100,40,1,240
43,bet,protein,,,,q8nft8,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5908790,pmc5958651",2,100,40,1,240
279,jip1,protein,,,,q9uqf2,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","nan,pmc5467491",2,100,40,1,240
96,da-raf,protein,,,,uaz12716,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5723691,pmc5755028",2,100,40,1,240
332,map4k4,protein,,,,o95819,,,egf,protein,,,uniprot,p01133,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4440819,pmc2064279",2,100,40,1,240
560,ppar,protein,,,,q07869,,,tlr4,protein,,,uniprot,o00206,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5288173,pmc5312311",2,100,40,1,240
504,pbx3,protein,,,,p40426,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5395114,pmc5432316",2,100,40,1,240
685,sfl1,protein,,,,p20134,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5190119,pmc5190119",2,100,40,1,240
548,ppar,protein,,,,q07869,,,jnk,family,,,be,jnk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5312311,pmc5312311",2,100,40,1,240
541,pp2a inhibitor,simple-chemical,,,,uaz12906,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6339303,pmc6339303",2,100,40,1,240
429,mm-327,protein,,,,uaz12749,,,kras,protein,,,uniprot,p01116,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5755028,pmc5833015",2,100,40,1,240
428,mm-151,protein,,,,uaz12741,,,kras,protein,,,uniprot,p01116,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5755028,pmc5833015",2,100,40,1,240
521,pd0325901,simple-chemical,,,,9826528,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5190119,pmc5190119",2,100,40,1,240
523,pd0325901,simple-chemical,,,,9826528,,,mek,family,,,be,mek,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5190119,pmc5190119",2,100,40,1,240
656,rgz,protein,,,,uaz13401,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5190119,pmc5312311",2,100,40,1,240
206,fgf2,protein,,,,p09038,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4020307,pmc4494777",2,100,40,1,240
693,sirt1,protein,,,,q96eb6,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6396142,pmc6396142",2,100,40,1,240
551,ppar,protein,,,,q07869,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5599027,pmc5609034",2,100,40,1,240
