Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
fty720,simplechemical,,,,107969,,,pp2a,protein,,,uniprot,p67775,,,positive,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","pmc4440819,pmc4440819,pmc4695180,pmc4695180,pmc4695180,pmc4695180,pmc2064279,pmc2064279",8,100,40,1,840
map4k4,protein,,,,o95819,,,erk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","pmc4440819,pmc4440819,pmc4440819,pmc4695180,pmc4695180,pmc2064279,pmc2064279,pmc2064279",8,100,40,1,840
belinostat,simplechemical,,,,6918638,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","pmc6396142,pmc6396142,pmc6472057,pmc6472057,pmc6472057,pmc6472057",6,100,40,1,640
tgf-ϲ,family,,,,uaz00333,,,smad,family,,,be,smad,,,positive,i,,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","pmc4020307,pmc4067595,pmc4179759,pmc4440819,pmc4440819",5,100,40,1,540
rerg,protein,,,,q96a58,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","pmc6194127,pmc4535867,pmc4535867,pmc4535867,pmc4618523",5,100,40,1,540
ptprs,protein,,,,q13332,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc5958651,pmc5958651,pmc5958651,pmc6006154",4,100,40,1,440
map4k4,protein,,,,o95819,,,mapk,family,,,be,erk,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4440819,pmc4695180,pmc2064279,pmc2064279",4,100,40,1,440
map4k4,protein,,,,o95819,,,jnk,family,,,be,jnk,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4440819,pmc4695180,pmc2064279,pmc2064279",4,100,40,1,440
ppar,protein,,,,q07869,,,mapk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc5190119,pmc5288173,pmc5312311,pmc5312311",4,100,40,1,440
rerg,protein,,,,q96a58,,,erk,family,,,be,erk,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4535867,pmc4535867,pmc4618523,nan",4,100,40,1,440
