index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
2,gabp,protein,,,,q9zu50,,,tert,protein,,,uniprot,o14746,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5463402,1,100,40,1,140
15,smoke,simple-chemical,,,,ua-bp-sc-00380,,,c-jun n-terminal kinase 1,protein,,,uniprot,p45983,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5463402,1,100,40,1,140
14,sclcs,protein,,,,uaz09330,,,ras,family,,,pfam,pf00071,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5463402,1,100,40,1,140
12,sclcs,protein,,,,uaz09330,,,e2f1,protein,,,uniprot,q01094,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5463402,1,100,40,1,140
0,erk,family,,,,erk,,,rsk,family,,,be,rsk,,,negative,i,,,,,,,nan,nan,nan,pmcpmc6073214,1,1,40,1,41
7,prkaa1,protein,,,,q13131,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5463402,1,1,40,1,41
18,tert,protein,,,,o14746,,,apoptosis,bioprocess,,,go,go:0006915,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5463402,1,1,40,1,41
19,tert,protein,,,,o14746,,,ga,protein,,,uniprot,q9ui32,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5463402,1,1,40,1,41
16,smoke,simple-chemical,,,,ua-bp-sc-00380,,,inflammation,bioprocess,,,go,go:0006954,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmcpmc5463402,pmcpmc5463402",2,0.1,39,1,39.2
8,proteasome,protein,,,,proteasome,,,translation,bioprocess,,,go,go:0006412,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5935074,1,0.1,39,1,39.1
9,rsk,family,,,,rsk,,,perk1/2,protein,,,uniprot,q9zue0,,,negative,i,,,,,,,nan,nan,nan,pmcpmc6073214,1,0.1,39,1,39.1
1,erk1/2,family,,,,erk,,,es,simple-chemical,,,pubchem,6995653,,,positive,i,,,,,,,nan,nan,nan,pmcpmc6073214,1,0.1,39,1,39.1
11,rsk1,protein,,,,q15418,,,gfp,family,,,pfam,pf01353,,,positive,i,,,,,,,nan,nan,nan,pmcpmc6073214,1,0.1,39,1,39.1
6,ltn1,protein,,,,o94822,,,translation,bioprocess,,,go,go:0006412,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5935074,1,0.1,39,1,39.1
13,sclcs,protein,,,,uaz09330,,,phosphoinositide 3-kinase,protein,,,uaz,uaz00053,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5463402,1,0.1,39,1,39.1
5,ltn1,protein,,,,o94822,,,rsk1/2,protein,,,uaz,uaz08081,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5935074,1,0.1,39,1,39.1
4,ltn1,protein,,,,o94822,,,rsk1,protein,,,uniprot,q15418,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5935074,1,0.1,39,1,39.1
17,sugar,simple-chemical,,,,5988,,,fig,protein,,,uniprot,q9hd26,,,negative,i,,,,,,,nan,nan,nan,pmcpmc5463402,1,0.1,39,1,39.1
3,gsk3,family,,,,gsk3,,,tcf3,protein,,,uniprot,p15923,,,negative,i,,,,,,,nan,nan,nan,pmcpmc6073214,1,0.1,39,1,39.1
10,rsk1,protein,,,,q15418,,,es,simple-chemical,,,pubchem,6995653,,,positive,i,,,,,,,nan,nan,nan,pmcpmc6073214,1,0.1,39,1,39.1
