Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
ihc,protein,,,,uaz07777,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353,pmc5630353",14,100,40,1,1440
akt,family,,,,akt,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","pmc3606387,pmc3606387,pmc4092105,pmc4092105,pmc4945751",5,100,40,1,540
bmi1,protein,,,,p35226,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc2777864,pmc2777864,pmc2777864",3,100,40,1,340
phosphatidylinositol,simplechemical,,,,53477912,,,pi3k,protein,,,be,pi3k,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc2777864,pmc2777864,pmc6202462",3,100,40,1,340
fish,protein,,,,q5tcz1,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4967011,pmc5630353,pmc5630353",3,100,40,1,340
akt,family,,,,akt,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc3606387,pmc3606387,pmc5688148",3,100,40,1,340
pip,protein,,,,o95861,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4301912,pmc4301912,pmc4301912",3,100,40,1,340
rock,protein,,,,ua-bp-ggp-00139,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5491373,pmc5491373",2,100,40,1,240
acid,simplechemical,,,,444212,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5491373,pmc5491373",2,100,40,1,240
rcc,simplechemical,,,,10985033,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc6025732,pmc6025732",2,100,40,1,240
