index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
29,pdk1,,,,,q15118,other,sl-0162,mtor,protein,,,uniprot,p42345,other,sl-0162,positive,i,none,,,mesh:d015496 ++++ mesh:d018414,,,nan,nan,"in dm cd4 t cells , ship-1 is expressed at even higher levels than in lat-ki cd4 t cells , leading to even less akt and pdk1 activation of mtor , enhanced pak1 / jnk activity , and more bim mediated apoptosis .",pmc4487994,1,100,40,1,140
2,cd44,,,,,p16070,,,foxp3,protein,,,uniprot,b7zlg1,,,positive,i,none,,cellosaurus:cvcl_3772,cl:cl:0000084,,,nan,nan,this dose was below the threshold of activation required for complete cd44 up-regulation of the 5c.c7 foxp3 cells ( fig. 2 c ) and resulted in only partial cfse dilution ( fig. 2 d ) .,pmc2916126,1,100,40,1,140
3,early growth response protein 1,,,,,p18146,,,pten,protein,,,uniprot,p60484,,,positive,i,transcription,,,cl:cl:0000236,,,nan,nan,"early growth response protein 1 , which regulates pten expression during the initial steps of apoptosis , has been shown to directly upregulate the expression of pten in non – small cell lung cancer .",pmc4712330,1,100,40,1,140
19,mtor,,,,,p42345,,,foxp3,protein,,,uniprot,b7zlg1,,,negative,i,none,,,cl:cl:0000084,,,nan,nan,"consistent with these in vivo findings , more recent in vitro studies have suggested a mechanism by which extensive tcr stimulation is detrimental for the generation of induced t reg cells ; constitutive or prolonged signaling through the akt – pi3k – mtor pathway , which is downstream of the tcr , antagonizes the induction of foxp3 ( haxhinasto et al ., 2008 ; sauer et al ., 2008 ) .",pmc2916126,1,100,40,1,140
1,c-jun,,,,,p05412,,,pten,protein,,,uniprot,p60484,,,negative,i,transcription,,,cl:cl:0000236,,uberon:uberon:0002390,nan,nan,"c-jun negatively regulates the expression of pten by binding to the activator protein 1 site of the pten promoter , resulting in the concomitant activation of the akt pathway .",pmc4712330,1,100,40,1,140
32,rhoa,,,,,p61586,other,sl-0162,pten,protein,,,uniprot,p60484,other,sl-0162,positive,d,phosphorylation,,,,,,nan,nan,"in addition , evidence suggests that the c2 domain of pten can be phosphorylated by rhoa associated kinase , which may have important roles in the regulation of chemoattractant induced pten localization [ 48 ] ( figure 2 ) .",pmc4712330,1,100,40,1,140
25,pak1,,,,,q13153,,,mtor,protein,,,uniprot,p42345,,,positive,i,none,,cellosaurus:cvcl_0065,cl:cl:0000084,,,nan,nan,we questioned whether this mtor effect could be mediated by changes in pak1 stability .,pmc4487994,1,100,40,1,140
22,nedd4-1,,,,,p46934,,,pten,protein,,,uniprot,p60484,,,negative,i,amount,,,cl:cl:0011115,,uberon:uberon:0018707,nan,nan,"in cancer , the inhibition of nedd4-1 , whose expression has been found to be inversely correlated with pten levels in bladder cancer , may upregulate pten levels [ 42 ] .",pmc4712330,1,100,40,1,140
11,il-2,,,,,p60568,,,foxp3,protein,,,uniprot,b7zlg1,,,positive,i,transcription,,,cl:cl:0000084,,uberon:uberon:0002370,nan,nan,"in addition , in vitro activation of peripheral cd4 cd25 t cells in the presence of tgf-β and il-2 induces foxp3 expression and conversion to t reg cells in various model systems ( 10 , 11 ) .",pmc2275380,1,100,40,1,140
12,iqgap1,,,,,p46940,other,sl-0152,mek2,protein,,,uniprot,p36507,other,sl-0152,negative,i,none,,,cl:cl:0000540,,,nan,nan,"mek1 and mek2 also bind differentially to scaffolds such as mp1 , which plays a role in erk1 activation at late endosomes ( teis et al ., 2002 ) , and iqgap1 , which regulates adhesion / migration , promotes signaling from mek1 to erk , and attenuates mek2 / erk signaling ( roy et al ., 2005 ) .",pmc3625979,1,100,40,1,140
28,pd-l1,,,,,q9nzq7,,,il-2,protein,,,uniprot,p60568,,,negative,i,none,,,cl:cl:0000815 ++++ mesh:d015496 ++++ cl:cl:0000084 ++++ mesh:d018414,,,nan,nan,consistent with this are previous observations that ( i ) the pd-1 / pd-l1 pathway negatively regulates treg cell proliferation by inhibiting the il-2 signalling cascade [ 34 ] and ( ii ) exogenous il-2 can overcome pd-1 / pd-l1-mediated inhibition of proliferation [ 53 ] .,pmc4669187,1,100,40,1,140
