Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
nedd4,protein,,,,p46934,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
iqgap1,protein,,,,p46940,,,mek2,protein,,,uniprot,p36507,,,negative,i,,,,,,,nan,nan,nan,pmc3625979,1,100,40,1,140
ship,protein,,,,q92835,,,pi,protein,,,be,p42336,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,100,40,1,140
nedd4,protein,,,,p46934,,,pten,protein,,,,p60487,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
ck2,protein,,,,q53gl0,,,pten,protein,,,,p60486,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
ck2,protein,,,,ck2,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4496363,1,100,40,1,140
foxo1,protein,,,,q12778,,,pten,protein,,,,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
ras,family,,,,pf00071,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
mek,family,,,,mek,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc3625979,1,100,40,1,140
mek1,protein,,,,q02750,,,pten,protein,,,,p60485,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,100,40,1,140
p53,protein,,,,p04637,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,100,40,1,140
pi3k,protein,,,,p42336,,,akt,family,,,be,p31749,,,positive,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4712330,pmc4496363,pmc4496363,pmc4496363",4,1,40,1,44
foxp3,protein,,,,q9bzs1,,,itk,protein,,,uniprot,q08881,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3949578,pmc3949578",2,1,40,1,42
pten,protein,,,,p60484,,,pip3,protein,,,,hmdb10148,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,1,40,1,41
foxp3,protein,,,,q9bzs1,,,gpr83,protein,,,uniprot,q9nym4,,,positive,i,,,,,,,nan,nan,nan,pmc2275380,1,1,40,1,41
foxp3,protein,,,,q9bzs1,,,ctla4,protein,,,uniprot,p16410,,,positive,i,,,,,,,nan,nan,nan,pmc2275380,1,1,40,1,41
pten,protein,,,,p60484,,,akt,family,,,be,p31749,,,negative,i,,,,,,,nan,nan,nan,pmc4712330,1,1,40,1,41
pi,protein,,,,p42336,,,akt,family,,,be,p31749,,,negative,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
pten,protein,,,,p60484,,,akt,family,,,be,p31749,,,positive,i,,,,,,,nan,nan,nan,pmc4712330,1,1,40,1,41
pi3k,protein,,,,p42336,,,pak1,protein,,,uniprot,q13153,,,negative,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
pten,protein,,,,p60484,,,cd8,family,,,be,cd8,,,positive,i,,,,,,,nan,nan,nan,pmc3375464,1,1,40,1,41
pten,protein,,,,p60484,,,hsc,protein,,,uniprot,p19526,,,positive,i,,,,,,,nan,nan,nan,pmc3375464,1,1,40,1,41
mtor,protein,,,,p42345,,,akt,family,,,be,p31749,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
mtor,protein,,,,p42345,,,pak1,protein,,,uniprot,q13153,,,negative,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
il2,protein,,,,p60568,,,itk,protein,,,uniprot,q08881,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,1,40,1,41
pdk1,protein,,,,q15118,,,akt,family,,,be,p31749,,,positive,i,,,,,,,nan,nan,nan,pmc4550078,1,1,40,1,41
mtor,protein,,,,p42345,,,pak1,protein,,,uniprot,q13153,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,1,40,1,41
pten,protein,,,,p60484,,,itk,protein,,,uniprot,q08881,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,1,40,1,41
tcr,protein,,,,p04234,,,akt,family,,,be,p31749,,,negative,i,,,,,,,nan,nan,nan,pmc4302769,1,1,40,1,41
tcr,protein,,,,p04235,,,nedd4,protein,,,,p46934,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,1,40,1,41
tcr,protein,,,,p04234,,,itk,protein,,,uniprot,q08881,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,1,40,1,41
akt,protein,,,,p31749,,,cd4,protein,,,uniprot,p01730,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,1,40,1,41
akt,protein,,,,p31749,,,itk,protein,,,uniprot,q08881,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,1,40,1,41
tcr,protein,,,,p04234,,,cd4,protein,,,uniprot,p01730,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,1,40,1,41
tcr,protein,,,,p01850,,,ck2,protein,,,,q53gl0,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,1,40,1,41
tcr,protein,,,,p01850,,,mek1,protein,,,,q02750,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,1,40,1,41
tbk1,protein,,,,q9uhd2,,,akt,family,,,be,p31749,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4302769,pmc4302769,pmc4302769,pmc4302769",4,0.1,39,1,39.4
ship1,protein,,,,q92835,,,akt,family,,,be,p31749,,,negative,i,,,,,,,"nan,nan,nan","nan,nan,nan","nan,nan,nan","pmc4487994,pmc4487994,pmc4487994",3,0.1,39,1,39.3
bcl2,protein,,,,p10415,,,cd3,protein,,,be,cd3,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc5193405,pmc5193405",2,0.1,39,1,39.2
akt,family,,,,p31749,,,tbk1,protein,,,uniprot,q9uhd2,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4302769,pmc4302769",2,0.1,39,1,39.2
mek1,protein,,,,q02750,,,akt,family,,,be,p31749,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc3625979,pmc3625979",2,0.1,39,1,39.2
tbk1,protein,,,,q9uhd2,,,akt,family,,,be,p31749,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4302769,pmc4302769",2,0.1,39,1,39.2
akt,family,,,,p31749,,,foxo1,protein,,,uniprot,q12778,,,negative,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4302769,pmc4302769",2,0.1,39,1,39.2
tbk1,protein,,,,q9uhd2,,,foxo1,protein,,,uniprot,q12778,,,positive,i,,,,,,,nan,nan,nan,pmc4302769,1,0.1,39,1,39.1
sipak1,protein,,,,uaz03324,,,pak1,protein,,,uniprot,q13153,,,negative,i,,,,,,,nan,nan,nan,pmc4487994,1,0.1,39,1,39.1
tbk1,protein,,,,q9uhd2,,,cd4,protein,,,uniprot,p01730,,,positive,i,,,,,,,nan,nan,nan,pmc4302769,1,0.1,39,1,39.1
pdl1,protein,,,,q9nzq7,,,gp120,protein,,,uniprot,q14624,,,positive,i,,,,,,,nan,nan,nan,pmc4669187,1,0.1,39,1,39.1
pdl1,protein,,,,q9nzq7,,,cd8,family,,,be,cd8,,,negative,i,,,,,,,nan,nan,nan,pmc4669187,1,0.1,39,1,39.1
tbk1,protein,,,,q9uhd2,,,cd4,protein,,,uniprot,p01730,,,negative,i,,,,,,,nan,nan,nan,pmc4302769,1,0.1,39,1,39.1
pd1,protein,,,,p18621,,,akt,family,,,be,p31749,,,negative,i,,,,,,,nan,nan,nan,pmc4550078,1,0.1,39,1,39.1
sp,protein,,,,q03403,,,cd69,protein,,,uniprot,q07108,,,positive,i,,,,,,,nan,nan,nan,pmc5193405,1,0.1,39,1,39.1
tgfbeta,family,,,,p01137,,,akt,family,,,be,p31749,,,positive,i,,,,,,,nan,nan,nan,pmc2275380,1,0.1,39,1,39.1
p38,family,,,,p38,,,cd5,protein,,,uniprot,p06127,,,positive,i,,,,,,,nan,nan,nan,pmc5193405,1,0.1,39,1,39.1
pdl1,protein,,,,q9nzq7,,,treg,protein,,,uaz,uaz02439,,,negative,i,,,,,,,nan,nan,nan,pmc4669187,1,0.1,39,1,39.1
akt,family,,,,p31749,,,cd4,protein,,,uniprot,p01730,,,negative,i,,,,,,,nan,nan,nan,pmc2275380,1,0.1,39,1,39.1
erk,family,,,,p29323,,,pak1,protein,,,uniprot,q13153,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,0.1,39,1,39.1
