Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
tspan15,protein,,,,o95858,,,app,protein,,,uniprot,p05067,,,negative,i,activation,,,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [xref_bibr, xref_bibr, xref_bibr], app cleavage is inhibited by tspan15 in u2os and pc3 cells [xref_bibr], but promoted by this tetraspanin in hek and n2a cells [xref_bibr], and cd44 cleavage is promoted by tspan5 but not tspan15 [xref_bibr].",pmc5490636,1,100,40,1,140
hek,protein,,,,p29320,,,app,protein,,,uniprot,p05067,,,positive,i,activation,,,,,,nan,nan,"similarly interesting data have been reported for other adam10 substrates : n-cadherin cleavage is specifically promoted by tspan15 [xref_bibr, xref_bibr, xref_bibr], app cleavage is inhibited by tspan15 in u2os and pc3 cells [xref_bibr], but promoted by this tetraspanin in hek and n2a cells [xref_bibr], and cd44 cleavage is promoted by tspan5 but not tspan15 [xref_bibr].",pmc5490636,1,100,40,1,140
adam17,protein,,,,p78536,,,egfr,protein,,,uniprot,p00533,,,positive,i,activation,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","3.4 loss of adam17 greatly inhibits egfr activation and mucus production in colonic epithelia.,also showed severe weight loss during dss administration (xref_bibr), and the authors demonstrated that adam17 mediated egfr signaling in non hematopoietic cells plays a protective role against dss induced colitis.,the phenotype is ascribed to result from disturbance of cell differentiation and tissue development, which may be caused by failure of adam17 to activate egfr.,adam17 ⊚Öê dependent shedding of egfr ligands such as areg results in activation of egfr through an autocrine feedback loop, which modulates basal egfr activity (dewitt et al.,in differentiated primary bronchial epithelial cells (hbec-ali), inhibitors of egfr and of adam17 completely abolished adam17 substrate shedding as well as egfr dependent cxcl8 mrna induction [xref_bibr], illustrating the strong interrelationship between the key elements of the egfr / adam17 axis (xref_fig).,a growing number of studies reported that adam17 induces egfr transactivation in different types of cells such as vascular smooth muscle cell [xref_bibr], cardiac cell [xref_bibr], hepatic stellate cell [xref_bibr], and endothelial cell [xref_bibr], and the same effect was also observed in our results as well.,elevated adam17 activity causes sustained egfr activation and fibrosis after kidney injury (xref_bibr).","pmc4816818,pmc4816818,pmc4816818,pmc5002905,pmc5818912,pmc6038660,pmc6232257",7,0.1,39,1,39.7
tnf,protein,,,,p01375,,,bmpr-ii,protein,,,uniprot,q13873,,,negative,i,activation,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","tnf Œ±-mediated suppression of bmpr-ii subverts bmp signalling, leading to bmp6 mediated pasmc proliferation via preferential activation of an alk2 / actr-iia signalling axis.,of these, only tnf Œ± selectively reduced bmpr2 mrna and bmpr-ii protein in distal pasmcs (dpasmcs) and pulmonary arterial endothelial cells (paecs) (xref_fig and xref_supplementary), via nf-Œ∫ b p65 (rela; xref_supplementary).,from these observations, we conclude that alk2 mediates bmp6 signalling in pasmcs and tnf Œ±-induced loss of bmpr-ii permits preferential actr-iia signalling, thus driving hpah pasmc proliferation.,our demonstration that tnf Œ± suppressed bmpr-ii in pulmonary vascular cells confirms reports in osteoblasts xref_bibr and aortic endothelial cells xref_bibr.,furthermore, tnf Œ± also promoted the production of this 60 kda band and reduction of full length bmpr-ii in rat and mouse pasmcs, human proximal pasmcs (ppasmcs), and human aortic smooth muscle cells (xref_supplementary).","pmc5241886,pmc5241886,pmc5241886,pmc5241886,pmc5241886",5,0.1,39,1,39.5
adam17,protein,,,,p78536,,,cox-2 expression,protein,,,uniprot,p35354,,,positive,i,regulation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","loss of leukocyte specific adam17 leads to decreased cox-2 expression within mammary tumors.,together, these studies demonstrate that adam17 is not a key regulator of macrophage recruitment into the tumor microenvironment, but that adam17 in leukocytes contributes to cox-2 expression within mammary tumors.,as shown in figure xref_fig, loss of adam17 in macrophages led to reduced cox-2 expression in response to tumor cell conditioned media.,in conclusion, there are a number of potential mechanisms through which adam17 contributes to cox-2 expression during tumorigenesis.","pmc5059114,pmc5059114,pmc5059114,pmc5059114",4,0.1,39,1,39.4
adam-17,protein,,,,p78536,,,adhesion,bioprocess,,,go,go:0007155,,,positive,i,activation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","blocking adam-17 in ra flss reduces thp-1 adhesion.,to determine whether adam-17 mediates thp-1 adhesion to ra flss, we performed in vitro adhesion assays.,meanwhile, we clearly demonstrated that adam-17 in flss enhances monocyte adhesion via upregulation of icam-1, but not vcam-1, expression.,adam-17 in flss mediates monocyte adhesion and production of proinflammatory cytokines, such as fractalkine / cx3cl1 and icam-1.","pmc6090907,pmc6090907,pmc6090907,pmc6090907",4,0.1,39,1,39.4
adam17,protein,,,,p78536,,,cox-2 expression,protein,,,uniprot,p35354,,,positive,i,increaseamount,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","as shown in figure xref_fig, loss of adam17 in macrophages led to reduced cox-2 expression in response to tumor cell conditioned media.,in conclusion, there are a number of potential mechanisms through which adam17 contributes to cox-2 expression during tumorigenesis.,loss of leukocyte specific adam17 leads to decreased cox-2 expression within mammary tumors.,together, these studies demonstrate that adam17 is not a key regulator of macrophage recruitment into the tumor microenvironment, but that adam17 in leukocytes contributes to cox-2 expression within mammary tumors.","pmc5059114,pmc5059114,pmc5059114,pmc5059114",4,0.1,39,1,39.4
irhom2,protein,,,,q6pjf5,,,adam17,protein,,,uniprot,p78536,,,positive,i,activation,,,,,,"nan,nan,nan","nan,nan,nan","still bound to each other, irhom2 prevents the lysosomal degradation of adam17 (xref_bibr).,previous studies have shown that the cytoplasmic n-terminal region of irhom2 is required to prevent lysosomal degradation of adam17 (xref_bibr).,consistent with our current results, we reported previously that irhom2 lacking the entire n-terminus is not sufficient to support adam17 mediated shedding in irhom1/2 deficient cells, although it can promote er-to-golgi trafficking of adam17 (xref_bibr).","pmc6042961,pmc6042961,pmc6042961",3,0.1,39,1,39.3
cs,protein,,,,o75390,,,egfr,protein,,,uniprot,p00533,,,positive,i,activation,,,,,,"nan,nan,nan","nan,nan,nan","our data are consistent with an autocrine ⊚Öê positive feedback mechanism in which cs triggers shedding of egfr agonists evoking egfr activation, in adam17 ⊚Öê dependent manner, and subsequently transduce paracrine signaling toward myeloid cells and connective tissue.,the molecular mechanism by which cs activates egfr are not known.,therefore, in line with these and published observations, our findings suggest that in hbec ⊚Öê ali, cs triggers egfr ⊚Öê mediated trafficking of adam17 and its substrates to a common subcellular compartment to allow proteolysis and subsequent secretion of soluble products (fig.","pmc5002905,pmc5002905,pmc5002905",3,0.1,39,1,39.3
ang ii,protein,,,,p01019,,,il-6,protein,,,uniprot,p05231,,,positive,i,activation,,,,,,"nan,nan,nan","nan,nan,nan","as shown in xref_fig, ang ii induced the release of il-1 Œ≤, il-6, and tnf-Œ± from vsmcs and the increase in mrna levels of il-1 Œ≤, il-6, and tnf-Œ± compared with the control group.,pretreatment with cgrp inhibited ang ii induced upregulation of protein release and mrna levels of il-1 Œ≤, il-6, and tnf-Œ±, whereas these effects were canceled by cgrp antagonist cgrp 8-37.,next, the results of erk1/2 antagonist pd98059 intervention indicated that erk1/2 activation promoted ang ii induced elevation of protein release and mrna levels of il-1 Œ≤, il-6, and tnf-Œ± in vsmcs (xref_fig).","pmc6038660,pmc6038660,pmc6038660",3,0.1,39,1,39.3
