index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
23,nvp-bez235,simplechemical,,,,11977753,,,mtor,protein,,,uniprot,p42345,,,negative,i,inhibition,,,,,,nan,nan,"85 the imidazo [4,5-c] quinoline derivative nvp-bez235 inhibits pi3k and mtor activities by binding to the atp binding cleft of both enzymes, thereby leading to the induction of autophagy in glioma cells.",pmc3920945,1,100,40,1,140
22,mtor,protein,,,,p42345,,,phosphorylation of atg13,protein,,,uniprot,o75143,,,negative,i,dephosphorylation,,,,,,nan,nan,"activation of mtor signalling negatively regulates autophagy by upregulating phosphorylation of atg13, that in turn inhibits the formation of a trimeric complex with ulk1, which, in turn, is required for formation of the autophagosome (xref_bibr).",pmc4102935,1,1,40,1,41
31,pten,protein,,,,p60484,,,gefitinib,simplechemical,,,pubchem,123631,,,positive,i,activation,,,,,,nan,nan,"knockdown of pten, an established tumor suppressor gene, which is found to be inactivated in a number of cases of non small cell lung cancer increased resistance and reduced sensitivity of nsclc cells to radiation as well as gefitinib, which is a commonly used to treat lung cancer [xref_bibr].",pmc4100138,1,1,40,1,41
9,beclin-1,protein,,,,q14457,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,activation,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","beclin-1 can positively regulate autophagy by combining with pi3kciii / vps34, and other positive and negative cofactors such as vps15, atg14l / barkor, uvrag, bif-1, rubicon, ambra1, hmgb1, survivin, akt and bcl-2 / bcl-x l to form the beclin-1 interactome.,cytoplasmic hmgb1 induces autophagy by binding to beclin-1 and subsequent activation of the autophagy initiating beclin-1 ⊚Öì pi3kc3 complex.,the presence of non canonical autophagy means that autophagy can be triggered in cells in which the expression of beclin-1 is too low to induce canonical autophagy.,20 initial genetic evidence in mice suggested that beclin-1 functions as a haplo-insufficient tumor suppressor and that its mono-allelic deletion leads to spontaneous tumors and upon re-expression, it restores autophagy and suppresses tumorigenesis.,xref_bibr, xref_bibr although beclin-1 and lc3 are important mediators of autophagy, other molecules and signaling pathways (for example, p53, pi3k/akt/mtor) require critical examination to determine their roles in cells ' autophagic capacity toward cell death or survival following various triggers.,when autophagy was inhibited by 3-ma or beclin-1 sirna, the cells were sensitized to apoptosis, and the antiapoptotic effect of hsp72 was abolished.,the deletion of atg3, atg5, atg7, beclin-1 and the class iii phosphoinositide 3-kinase vps34, the positive mediators of autophagy, caused impaired autophagy and defective t cell homeostasis by inhibiting t-cell survival through quality control of mitochondria [xref_bibr, xref_bibr, xref_bibr].","pmc3920945,pmc3877563,pmc4260725,pmc4260725,pmc4260725,pmc4260725,pmc5008281",7,0.1,39,1,39.7
18,hmgb1,protein,,,,p09429,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,activation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","extracellular hmgb1 induces autophagy, and this role is dependent on its redox state and rage expression.,endogenous knockdown of hmgb1 with sirna or inhibition of its release with small-molecule inhibitors, abolished the protective effect of autophagy and increased tumor cell sensitivity to several clinically useful agents (xref_bibr, xref_bibr).,evidence suggests that hmgb1 may induce autophagy in cancers associated with increased sensitivity to cytotoxic anticancer agents (xref_bibr).,contrarily, hmgb1 mediated autophagy may protect gastric cancer cells from the chemotherapeutic vinca alkaloid, vincristine (xref_bibr).","pmc3877563,pmc4358082,pmc4358082,pmc4358082",4,0.1,39,1,39.4
27,p53,protein,,,,p04637,,,autophagy,bioprocess,,,go,go:0006914,,,positive,i,activation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","27 dram1 and the p53 upregulated modulator of apoptosis (puma) have been shown to be required for p53 induced autophagy.,puma may target autophagy, whereas p53 is found to induce dram1 dependent autophagy in response to mitochondrial dysfunction (xref_fig).,xref_bibr, xref_bibr chloroquine and hydroxychloroquine can inhibit autophagy induced by p53 controlled apoptosis in myc driven lymphoma and augmented the anticancer activity of cyclophosphamide.,the tumor suppressor gene, p53, which is uniformly activated in response to dna damage by radiation, can induce autophagy through the activation of autophagy inducing genes, particularly ulk1 and ulk2.","pmc3920945,pmc3920945,pmc3920945,pmc4100138",4,0.1,39,1,39.4
0,atg5,protein,,,,q9h1y0,,,autophagy,bioprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,nan,nan,"beclin-1 and atg5 are two genes that have been shown to be required for the promotion of autophagy [xref_bibr, xref_bibr], and consequently interfering with beclin-1 and/or atg5 expression should reduce autophagy and protect against autophagic cell death.",pmc4100138,1,0.1,39,1,39.1
28,p53,protein,,,,p04637,,,bcl-2,protein,,,uniprot,p10415,,,positive,i,activation,,,,,,nan,nan,"in addition, p53 can activate pro apoptotic members of bcl-2 family such as bax, noxa and puma, which are involved in the permeabilization of the outer mitochondrial membrane.",pmc3920945,1,0.1,39,1,39.1
24,p27 kip1,protein,,,,p46527,,,autophagic cell death,bioprocess,,,go,go:0048102,,,negative,i,activation,,,,,,nan,nan,"61 mir-221/222 may inhibit the cell cycle inhibitor p27 kip1, a downstream modulator of pi3kci / akt, leading to autophagic cell death in her2 / neu positive primary human breast carcinoma mcf-7 cells, and the ectopic expression of mir-221/222 is found to render the parental mcf-7 cells resistant to tamoxifen.",pmc3920945,1,0.1,39,1,39.1
25,p27kip1,protein,,,,p46527,,,autophagic cell death,bioprocess,,,go,go:0048102,,,negative,i,inhibition,,,,,,nan,nan,"mir-221/222 might inhibit the cell-cycle inhibitor, p27kip1, a downstream modulator of pi3kci / akt, leading to autophagic cell death in her2 / neu positive primary human breast carcinoma mcf-7 cells, whereas the ectopic expression of mir-221/222 renders the parental mcf-7 cells resistant to tamoxifen [xref_bibr, xref_bibr].",pmc4182068,1,0.1,39,1,39.1
