index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
3691,akt,proteinfamilyproteincomplex,,,,akt,,,tsc2,protein,,,uniprot,p49815,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .,akt phosphorylates tsc2 , thus inhibiting tsc1/2 ; it also phosphorylates pras40 , thus stimulating mtorc1 .,in addition to directly activating mtorc1 , akt also phosphorylates tuberous sclerosis complex ( tsc ) 1 and tsc2 , releasing their inhibition of the ras like small g protein , rheb , which in turn activates mtorc1 .,upon pi3k activation , akt phosphorylation of tsc2 destabilizes tsc2 and disrupts its interaction with tsc1 to abolish the negative regulatory effect of the tsc2 and tsc1 complex on mtorc1 xref_bibr .,one of the most important upstream regulators of mtorc1 is the prosurvival kinase akt , which phosphorylates and inactivates tsc2 as well as pras40 [ xref_bibr ] .,tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .,tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .,once activated , akt phosphorylates and inhibits tsc2 , which acts as a gtpase activating protein ( gap ) for ras homolog enriched in brain ( rheb ) , a gtp binding protein .,upon pi3k activation , akt phosphorylation of tsc2 destabilizes tsc2 and disrupts its interaction with tsc1 , thus abolishing the negative regulatory effect of tsc2 and tsc1 complex on mtorc1 xref_bibr , xref_bibr .,as a result of growth stimulating signals , akt phosphorylates tsc2 and causes the dissociation of the tsc1 and tsc2 complex .","pmc4102778,pmc4762492,pmc3362130,pmc3845592,pmc2817393,pmc2911128,pmc3091517,pmc3757434,pmc3587337,pmc2886325",10,10,10,1,110
10603,bcl-2,protein,,,,p10415,,,apoptosis,biologicalprocess,,,go,go:0006915,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","these drugs function as sensitizer molecules - although unable to directly stimulate apoptosis , they prevent the apoptosis inhibitors from sequestering the pro apoptotic proteins through their bh3 domains ( reviewed in [ xref_bibr ] ) .,hrk is a proapoptotic mitochondrial member of bcl-2 family , which promotes apoptosis through the endogenous , mitochondrial pathway .,tumor progression and resistance to chemotherapy and radiotherapy may also be activated through the suppression of bax and upregulation of igf-1r , resulting in increased proliferation and reduced apoptosis caused by upregulation of bcl-2 and overexpression of altered p53 xref_bibr .,molecules in the bcl-2 family , including bad and bcl-xl , are notable factors in cell apoptosis and contribute to a so called ' apoptosis checkpoint ' .,apoptosis is a programmed cell death that is currently of intense research interest in cancer biology and it was already established that expression levels of bcl-2 family proteins in tumors can modulate apoptosis , influencing tumor behavior and treatment [ xref_bibr ] , and also , in another way , apoptosis can be triggered intrinsically or extrinsically by dna damage or other types of severe cellular injures such as reactive oxygen species [ xref_bibr ] .,after determining that cpa+il-1beta treatment exacerbates apoptosis , we performed a detailed mechanistic analysis of the er stress pathways and bcl-2 proteins involved in cytokine- and/or er stress+ cytokine induced beta cell apoptosis . ++++ the kd of each single bcl-2 anti-apoptotic protein ( confirmed in xref_supplementary ) increased apoptosis under basal conditions ( xref_fig ) .,apoptosis is modulated partially by bcl-2 family including apoptosis inhibiting genes ( bcl-2 , bcl-xl , mcl-1 , a1 and bcl-w ) and apoptosis accelerating genes ( bax , bak , bcl-xs and bim ) [ xref_bibr ] .,apoptosis is modulated partially by bcl-2 family including apoptosis inhibiting genes ( bcl-2 , bcl-xl , mcl-1 , a1 and bcl-w ) and apoptosis accelerating genes ( bax , bak , bcl-xs and bim ) [ xref_bibr ] .","pmc3477050,pmc4947213,pmc3879347,pmc4940681,pmc4180203,pmc3730410,pmc3488331,pmc3488331",8,10,10,1,90
71893,mtorc1,proteinfamilyproteincomplex,,,,mtorc1,,,akt,proteinfamilyproteincomplex,,,be,akt,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","mtorc1 also inhibits akt via a negative feedback loop which involves p70s6k and potentially other molecules [ xref_bibr ] .,several models have been proposed to account for the relative lack of malignancy , including feedback inhibition of akt by mtorc1 activation , altered mtorc2 function as well as increased rates of apoptotic cell death in tsc1- or tsc2 deficient cells .,assuming that equilibrium exists between these two complexes , when the mtorc1 complex is formed , it could antagonize the formation of the mtorc2 complex and reduce akt activity [ xref_bibr , xref_bibr ] . ++++ mtorc1 inhibits akt via a negative feedback loop which involves , at least in part , p70s6k [ xref_bibr ] . ++++ inhibition of mtorc1 signaling by rapamycin and rapalogs removes the previously mentioned negative feedback loop and activates akt through pi3k .,assuming that an equilibrium exists between mtorc1 and mtorc2 , when mtorc1 is formed , it antagonizes the formation of mtorc2 and reduces akt activity .,assuming that equilibrium exists between these two complexes , when the mtorc1 complex is formed , it could antagonize the formation of the mtorc2 complex and reduce akt activity [ xref_bibr - xref_bibr ] .","pmc4102778,pmc3701212,pmc3660063,pmc2911128,pmc3091517",5,10,11,1,61
89612,pras40,protein,,,,q96b36,,,mtorc1,proteinfamilyproteincomplex,,,be,mtorc1,,,negative,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","when pras40 is phosphorylated by akt , it can not suppress mtorc1 signalling [ xref_bibr , xref_bibr , xref_bibr , xref_bibr , xref_bibr - xref_bibr ] .,il-24 wt expression might , then , increase pras40 inhibition of mtorc1 by increasing the tight interaction between pras40 and raptor . ++++ akt is known to inactivate pras40 via phosphorylation , thereby disrupting pras40-mtorc1 binding and removing pras40 inhibition of mtorc1 [ xref_bibr , xref_bibr ] .,the other is through akt inhibition of proline rich akt substrate 40 ( pras40 ) , which inhibits mtorc1 [ xref_bibr , xref_bibr ] .,whereas pras40 inhibits the mtorc1 activity via raptor , deptor was identified to interact directly with mtor in both mtorc1 and mtorc2 complexes .","pmc4102778,pmc4599269,pmc4227251,pmc3936289",4,10,11,1,51
89607,pras40,protein,,,,q96b36,,,akt,proteinfamilyproteincomplex,,,be,akt,,,positive,d,phosphorylation,,cellosaurus:cvcl_0554,,,,"nan,nan,nan,nan","nan,nan,nan,nan","posttreatment tumor biopsies and hair follicle samples demonstrated reductions in phosphorylation of akt s473 , akt t308 , fkhr t24 / fkhrl1 t32 , and stat3 y705 or akt s473 , pras40 t246 , and stat3 y705 on day 21 of treatment cycle 1 . ++++ posttreatment tumor biopsies and hair follicle samples demonstrated reductions in phosphorylation of akt s473 , akt t308 , fkhr t24 / fkhrl1 t32 , and stat3 y705 or akt s473 , pras40 t246 , and stat3 y705 on day 21 of treatment cycle 1 .,posttreatment tumor biopsies and hair follicle samples demonstrated reductions in phosphorylation of akt s473 , akt t308 , fkhr t24 / fkhrl1 t32 , and stat3 y705 or akt s473 , pras40 t246 , and stat3 y705 on day 21 of treatment cycle 1 . ++++ posttreatment tumor biopsies and hair follicle samples demonstrated reductions in phosphorylation of akt s473 , akt t308 , fkhr t24 / fkhrl1 t32 , and stat3 y705 or akt s473 , pras40 t246 , and stat3 y705 on day 21 of treatment cycle 1 .,posttreatment tumor biopsies and hair follicle samples demonstrated reductions in phosphorylation of akt s473 , akt t308 , fkhr t24 / fkhrl1 t32 , and stat3 y705 or akt s473 , pras40 t246 , and stat3 y705 on day 21 of treatment cycle 1 .,posttreatment tumor biopsies and hair follicle samples demonstrated reductions in phosphorylation of akt s473 , akt t308 , fkhr t24 / fkhrl1 t32 , and stat3 y705 or akt s473 , pras40 t246 , and stat3 y705 on day 21 of treatment cycle 1 .","pmc4762492,pmc4762492,pmc4762492,pmc4762492",4,10,11,1,51
71359,mtor,protein,,,,p42345,,,akt,proteinfamilyproteincomplex,,,be,akt,,,negative,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","one explanation is that activation of ras and raf signaling pathways and the mtor signaling cascade , may limit the efficacy of akt and pkb targeted therapy ( carol et al. , xref_bibr ) , and suggests that the feedback phosphorylation of akt and activation of the pi3k and akt pathway may be a mechanism for resistance .,the effects of unwanted akt activation by mtor inhibition might be decreased upon treatment with a dual kinase inhibitor .,the effects of detrimental akt activation by mtor inhibition might be avoided upon treatment with a dual kinase inhibitor .,it is not clear how long-term inhibition of mtor triggers akt activation .","pmc3668267,pmc3260807,pmc3717945,pmc3425972",4,10,11,1,51
31846,egf,protein,,,,p01133.a,,,egfr,protein,,,uniprot,p00533,,,negative,i,phosphorylation,,cellosaurus:cvcl_3421,,,,"nan,nan,nan,nan","nan,nan,nan,nan","to substantiate this critical role of brk in breast cancer cells , we knocked down endogenous brk in sum102 breast cancer cells and confirmed that the knockdown did lower the level of egf induced egfr phosphorylation at y845 , y1045 , y1068 and y1173 ( xref_fig ) .,to substantiate this critical role of brk in breast cancer cells , we knocked down endogenous brk in sum102 breast cancer cells and confirmed that the knockdown did lower the level of egf induced egfr phosphorylation at y845 , y1045 , y1068 and y1173 ( xref_fig ) .,to substantiate this critical role of brk in breast cancer cells , we knocked down endogenous brk in sum102 breast cancer cells and confirmed that the knockdown did lower the level of egf induced egfr phosphorylation at y845 , y1045 , y1068 and y1173 ( xref_fig ) .,to substantiate this critical role of brk in breast cancer cells , we knocked down endogenous brk in sum102 breast cancer cells and confirmed that the knockdown did lower the level of egf induced egfr phosphorylation at y845 , y1045 , y1068 and y1173 ( xref_fig ) .","pmc3326223,pmc3326223,pmc3326223,pmc3326223",4,10,10,1,50
64704,mdm2,protein,,,,q00987,,,p53,protein,,,uniprot,p04637,,,positive,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","mdm2 was reported to inhibit p53 transcription function by blocking p53 surface that interact with the basal transcription factors such as tfiie [ xref_bibr ] .,the e3 ubiquitin ligase mdm2 is a transcriptional target of p53 and regulates p53 expression via a negative feedback loop [ xref_bibr ] .,xref_bibr in unstressed cells , p53 is kept at a low level by mdm2 , an e3 ubiquitin ligase , which targets p53 for degradation .,51 mdm2 mediates p53 protein turnover through constant monoubiquitination , a critical step in the polyubiquitnation of p53 and targeted degradation by the 26s proteasome .","pmc4142057,pmc2929606,pmc4198344,pmc4227549",4,10,10,1,50
3413,akt,proteinfamilyproteincomplex,,,,akt,,,mammalian target of rapamycin,protein,,,uniprot,p42345,,,negative,i,none,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","akt and pkb is also able to activate the mammalian target of rapamycin ( mtor ) and its downstream p70s6k which are regulators of cell proliferation and survival [ xref_bibr ] .,tgf-beta-mediated activation of pi3k and akt signaling induces activation of mammalian target of rapamycin complexes 1/2 ( mtorc1/2 ) that aids the emt , increasing expression of snail and mmp-9 , and repressing e-cadherin expression [ xref_bibr , xref_bibr ] .,of note , mammalian target of rapamycin complex 1 ( mtorc1 ) , is led by akt through phosphorylation at ser 2448 .,moreover , akt can also activate mammalian target of rapamycin ( mtor ) , which stimulates protein synthesis and cell growth .","pmc2845892,pmc4662454,pmc4695176,pmc4829549",4,10,10,1,50
93089,raf,proteinfamilyproteincomplex,,,,raf,,,mek,proteinfamilyproteincomplex,,,be,mek,,,negative,i,none,,,,,,"nan,nan,nan","nan,nan,nan","unlike trametinib like inhibitors , which inhibit phosphorylated mek and are effective in the setting of brafv600 mutants , the new class of inhibitors , like gdc-0623 , inhibit feedback activation of mek by raf , and are therefore more efficacious in the setting of mutant kras [ xref_bibr ] .,unlike trametinib like inhibitors that inhibit phosphorylated mek and are effective in the setting of brafv600 mutants , the new class of inhibitors , like gdc-0623 , inhibit feedback activation of mek by raf , and are therefore more efficacious in the setting of mutant kras [ xref_bibr ] .,ro5126766 is a first-in-class dual raf and mek inhibitor which allosterically inhibits b-raf , raf-1 and mek .","pmc4039220,pmc4039128,pmc3717945",3,10,10,1,40
