index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
626,mtorc2,proteinfamilyproteincomplex,,,,mtorc2,,,akt,proteinfamilyproteincomplex,,,be,akt,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","mtorc2 phosphorylates and activates akt which then phosphorylates and inactivates the pro apoptotic factors bad and foxo1/3a xref_bibr , xref_bibr , xref_bibr .,mtorc2 phosphorylates akt xref_bibr , xref_bibr , xref_bibr , and controls cytoskeleton organization and cell survival xref_bibr , xref_bibr .,in mammalian cells , mtorc2 phosphorylates akt upon serum stimulation , namely growth factors such as insulin and igf1 ( insulin like growth factor 1 ) , suggesting that mtorc2 is regulated by the pi3k pathway [ xref_bibr , xref_bibr ] .,mtorc2 phosphorylates akt on s473 in vitro which facilitates t308 phosphorylation [ xref_bibr ] .,this phosphorylation event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .,because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma . ++++ because mtorc2 phosphorylates akt at s473 ( akt s473 ) [ xref_bibr - xref_bibr ] , we thought to identify the akt s473 and determine whether the mtorc2 are activated in the carcinoma .,this phosphorylative event exerted a negative regulatory effect on the mtorc2 dependent phosphorylation of akt in vivo [ xref_bibr ] .","pmc2075366,pmc2868031,pmc3291999,pmc3660063,pmc3660063,pmc3750018,pmc3837323",7,100,40,1,740
673,p300,protein,,,,q09472,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,cellosaurus:cvcl_9771,,,,"nan,nan,nan,nan","nan,nan,nan,nan","because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .,because p53 is acetylated by p300 at multiple lysine residues ( k373 , k381 and k382 ) within the c-terminal regulatory domain for its transcriptional activation function , a possible explanation for our transcription results is that the h1 .2 core complex could interfere with p300 mediated acetylation of p53 .","pmc3330162,pmc3330162,pmc3330162,pmc3330162",4,100,40,1,440
753,pkcdelta,protein,,,,p83099,other,go:0009986,src,proteinfamilyproteincomplex,,,be,src,other,go:0009986,positive,d,phosphorylation,,cellosaurus:cvcl_0022,cl:cl:0000127,,uberon:uberon:2005088,"nan,nan,nan","nan,nan,nan","in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place . ++++ in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .,in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .,in this transactivation system for egfr , pkcdelta dependent activation of src , which seems to require pkcdelta phosphorylation of src on serine 12 and/or serine 48 , takes place .","pmc3709701,pmc3709701,pmc3709701",3,100,40,1,340
436,gem,protein,,,,p55040,,,atm,protein,,,uniprot,q13315,,,positive,i,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .,however , nsc109555 did not suppress the gem induced phosphorylation of chk1 ( s296 ) ( xref_fig b ) , atm ( s1981 ) and atr ( s428 ) ( xref_supplementary b ) .","pmc4159025,pmc4159025,pmc4159025",3,100,40,1,340
155,atr,protein,,,,p20848,,,chk1,protein,,,uniprot,o14757,,,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .,during ddr such as that resulting from exposure to uv , oxidants , or ir , chk1 is phosphorylated by atm and atr at serine ( s ) 317 and s345 [ xref_bibr ] .","pmc2925474,pmc2925474",2,100,40,1,240
201,cbp,protein,,,,q92793,,,p53,protein,,,uniprot,p04637,,,positive,d,acetylation,,,,,,"nan,nan","nan,nan","p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .,p53 ctd is acetylated at k370 , k372 , k381 and k382 by p300 and cbp and these acetylations have been shown to decrease the non specific dna binding of p53 ctd in vitro .","pmc2817464,pmc2817464",2,100,40,1,240
755,polo-like kinase-3,protein,,,,q9h4b4,other,go:0005813,chk2,protein,,,uniprot,o96017,other,go:0005813,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","in addition , upon dna damage , polo like kinase-3 ( plk3 ) , which phosphorylates chk2 at s62 ( in the scd ) and at s73 , and the dna mismatch repair protein msh2 , which interacts with chk2 at sites of damage , facilitate atm mediated phosphorylation of t68 and promote chk2 activation . ++++ in addition , upon dna damage , polo like kinase-3 ( plk3 ) , which phosphorylates chk2 at s62 ( in the scd ) and at s73 , and the dna mismatch repair protein msh2 , which interacts with chk2 at sites of damage , facilitate atm mediated phosphorylation of t68 and promote chk2 activation .,in addition , upon dna damage , polo like kinase-3 ( plk3 ) , which phosphorylates chk2 at s62 ( in the scd ) and at s73 , and the dna mismatch repair protein msh2 , which interacts with chk2 at sites of damage , facilitate atm mediated phosphorylation of t68 and promote chk2 activation . ++++ in addition , upon dna damage , polo like kinase-3 ( plk3 ) , which phosphorylates chk2 at s62 ( in the scd ) and at s73 , and the dna mismatch repair protein msh2 , which interacts with chk2 at sites of damage , facilitate atm mediated phosphorylation of t68 and promote chk2 activation .","pmc4296918,pmc4296918",2,100,40,1,240
326,"egfr*1, grb2-associated binder 1*1+",proteinprotein,,,,"p00533, q13480.p",plasma membrane,go:0005886,pi3k,proteinfamilyproteincomplex,,,be,pi3k,plasma membrane,go:0005886,positive,i,none,,,,,,"nan,nan","nan,nan","likewise , the pi3k and akt pathway is activated by ir via either direct or irs mediated recruitment of pi3k , whereas egfr mediated pi3k activation occurs mainly via a more intricate route that involves egfr- and src induced phosphorylation of the grb2 associated binder 1 ( gab1 ) .,likewise , the pi3k and akt pathway is activated by ir via either direct or irs mediated recruitment of pi3k , whereas egfr mediated pi3k activation occurs mainly via a more intricate route that involves egfr- and src induced phosphorylation of the grb2 associated binder 1 ( gab1 ) .","pmc2683723,pmc2683723",2,100,40,1,240
211,cdk1,protein,,,,p06493,cytoplasm,go:0005737,chk1,protein,,,uniprot,o14757,cytoplasm,go:0005737,positive,d,phosphorylation,,,,,,"nan,nan","nan,nan","as recently reported , during mitosis cdk1 phosphorylates chk1 at s286 and s301 ; the mitotic phosphorylation of chk1 is accompanied by the translocation of chk1 to the cytoplasm [ xref_bibr ] .,as recently reported , during mitosis cdk1 phosphorylates chk1 at s286 and s301 ; the mitotic phosphorylation of chk1 is accompanied by the translocation of chk1 to the cytoplasm [ xref_bibr ] .","pmc2925474,pmc2925474",2,100,40,1,240
156,atr,protein,,,,p20848,,,chk1,protein,,,uniprot,o14757,,,positive,i,none,,,,,,"nan,nan","nan,nan","the transducer proteins include the kinases atm and atm- and rad3 related ( atr ) ; atm and atr phosphorylates and thereby activates the checkpoint kinases chk1 and chk2 , which control hur cytoplasmic abundance and rna binding , respectively .,after dna damage or replication stress claspin is phosphorylated by chk1 , an event that is required for a claspin-chk1 interaction and subsequent full activation of chk1 by atr , in another example of the network nature of the ddr [ xref_bibr - xref_bibr ] .","pmc2925474,pmc2954851",2,100,40,1,240
