index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
858,s6k1,protein,,,,p23443,,,s6,proteinfamily,,,interpro,ipr000529,,,positive,d,phosphorylation,,,,,,"nan,nan,nan","nan,nan,nan","activated mtorc1 phosphorylates s6k1 , which phosphorylates s6 ( 40s ribosomal protein s6 ) , enhancing the translation of mrnas with a 5 '-terminal oligopolypyrimidine ( 5 '-top ) .,activated mtorc1 phosphorylates s6k1 , which phosphorylates s6 ( 40s ribosomal protein s6 ) , enhancing the translation of mrnas with a 5 '-terminal oligopolypyrimidine ( 5 '-top ) .,xref_bibr , xref_bibr , xref_bibr s6k1 phosphorylates s6 , which regulates the translation of 5 ' terminal oligopyrimidine mrnas that encode ribosomal proteins and translation factors .","pmc3291999,pmc3291999,pmc3388235",3,10,18,1,48
376,erk,proteinfamilyproteincomplex,,,,erk,other,go:0005856,tsc2,protein,,,uniprot,p49815,other,go:0005856,negative,i,phosphorylation,,,,,,"nan,nan","nan,nan","erk and rsk induce inhibitory phosphorylation of tsc2 at ser664 and ser1798 respectively , which promotes tsc1 and tsc2 dissociation , which in turn leads to mtorc1 activation [ xref_bibr - xref_bibr ] .,erk and rsk induce inhibitory phosphorylation of tsc2 at ser664 and ser1798 respectively , which promotes tsc1 and tsc2 dissociation , which in turn leads to mtorc1 activation [ xref_bibr - xref_bibr ] .","pmc3291999,pmc3291999",2,10,19,1,39
742,pi3k,proteinfamilyproteincomplex,,,,pi3k,other,go:0016020,akt,proteinfamilyproteincomplex,,,be,akt,other,go:0016020,positive,i,none,,cellosaurus:cvcl_0031,,,,nan,nan,"the phospholipids products of pi3k , initially pi ( 3,4 ) p 2 , were shown to directly activate akt by binding to its pleckstrin homology ( ph ) domain [ xref_bibr , xref_bibr ] . ++++ the phospholipids products of pi3k , initially pi ( 3,4 ) p 2 , were shown to directly activate akt by binding to its pleckstrin homology ( ph ) domain [ xref_bibr , xref_bibr ] . ++++ transfection of erbb2 in mcf7 breast cancer cells that express erbb3 caused a pi3k dependent activation of akt , and was associated with an increased resistance of the cells to multiple chemotherapeutic agents ( paclitaxel , doxorubicin , 5-fluorouracil , etoposide , and camptothecin ) [ xref_bibr ] . ++++ a pi3k dependent constitutive activation of akt was detected in co cells , which was only partially reduced after serum starvation [ xref_bibr ] .",pmc2652403,1,10,19,1,29
503,integrin,protein,,,,p08648,other,go:0015629,erk,proteinfamilyproteincomplex,,,be,erk,other,go:0015629,positive,i,none,,,,,,nan,nan,"these data show that integrin mediated organization of the actin cytoskeleton regulates localization of activated erk , and in turn the ability of erk to efficiently phosphorylate nuclear substrates . ++++ these data show that integrin mediated organization of the actin cytoskeleton regulates localization of activated erk , and in turn the ability of erk to efficiently phosphorylate nuclear substrates .",pmc2169466,1,10,19,1,29
507,irs-1,protein,,,,p35568,,,akt,proteinfamilyproteincomplex,,,be,akt,,,negative,i,none,,cellosaurus:cvcl_8262,,,,nan,nan,"these data suggest that downregulation of irs-1 is involved in the ability of alpha-tea to suppress akt , erk , and mtor signalling and demonstrated that jnk is involved in this event via phosphorylation of irs-1 at ser 307 , leading to its degradation .",pmc3039802,1,10,19,1,29
508,irs-1,protein,,,,p35568,,,erk,proteinfamilyproteincomplex,,,be,erk,,,negative,i,none,,cellosaurus:cvcl_8262,,,,nan,nan,"these data suggest that downregulation of irs-1 is involved in the ability of alpha-tea to suppress akt , erk , and mtor signalling and demonstrated that jnk is involved in this event via phosphorylation of irs-1 at ser 307 , leading to its degradation .",pmc3039802,1,10,19,1,29
509,irs-1,protein,,,,p35568,,,mtor,protein,,,uniprot,p42345,,,negative,i,none,,cellosaurus:cvcl_8262,,,,nan,nan,"these data suggest that downregulation of irs-1 is involved in the ability of alpha-tea to suppress akt , erk , and mtor signalling and demonstrated that jnk is involved in this event via phosphorylation of irs-1 at ser 307 , leading to its degradation .",pmc3039802,1,10,19,1,29
512,jnk,proteinfamilyproteincomplex,,,,jnk,cytoplasm,go:0005737,akt,proteinfamilyproteincomplex,,,be,akt,cytoplasm,go:0005737,negative,i,none,,,,,,nan,nan,"in addition , oxidative stress or activation of the jnk pathway decreased the activity of akt in hit cells , leading to the decreased phosphorylation of foxo1 following nuclear localization .",pmc2915986,1,10,19,1,29
587,mtor,protein,,,,p42345,,,pp2a,protein,,,uniprot,p67775,,,negative,i,none,,cellosaurus:cvcl_6353 ++++ cellosaurus:cvcl_0041 ++++ cellosaurus:cvcl_1658,cl:cl:0000312,,,nan,nan,"because pp2a is negatively regulated by mtor , we hypothesized that mtor may regulate cell motility in part through pp2a-erk1/2 pathway . ++++ igf-1 stimulation of mtor represses pp2a , resulting in activation of erk1/2 and this is prevented by rapamycin . ++++ it has been described that insulin or igf-1 stimulates activation of s6k1 , which is attributed to mtor repression of pp2a activity against s6k1 xref_bibr . ++++ our results support the notion that pp2a lies downstream of mtor and is negatively regulated by mtor .",pmc2868031,1,10,19,1,29
15,akt,proteinfamilyproteincomplex,,,,akt,,,caspase-9,protein,,,uniprot,p55211,,,negative,i,none,,,,,,nan,nan,"taken together , these data suggest that akt inhibits activation of caspase-9 and -3 by posttranslational modification of a cytosolic factor downstream of cytochrome c and before activation of caspase-9 .",pmc2185587,1,10,19,1,29
395,erk2,protein,,,,p28482,other,go:0005657,atm,protein,,,uniprot,q13315,other,go:0005657,positive,i,phosphorylation,,cellosaurus:cvcl_0022,,,,nan,nan,"consistent with erk1/2 being the major , if not the sole targets of mek [ xref_bibr ] , it was recently demonstrated that knockdown of either erk1 or erk2 significantly reduced atm activation ( atm s1981 phosphorylation and the nuclear foci of s1981 phosphorylated atm ) in response to etop , and thereby attenuated phosphorylation of the atm substrates , including the s139 of h2ax ( gammah2ax ) , s15 of p53 , and t68 of chk2 .",pmc3330700,1,10,19,1,29
747,pi3k,proteinfamilyproteincomplex,,,,pi3k,plasma membrane,go:0005886,tbetari,protein,,,uniprot,p36897,plasma membrane,go:0005886,positive,i,none,,,,,,nan,nan,"reciprocally , pi3k and akt activation promotes tbetari stability for sustained tgfbeta signaling .",pmc4513933,1,10,19,1,29
