index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
14,cd28,protein,,,,p10747,,,mtorc2,complex,,,,q6r328,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
39,il2_ex,protein,,,,p60568,,,mtorc2,complex,,,,q6r329,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
40,il2_r,protein,,,,p01589,,,mtorc2,complex,,,,q6r330,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
69,pi3k,protein,,,,p42336,,,pip3,protein,,,,hmdb10147,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
72,pi3k,protein,,,,p42336,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmc4712330,1,10,5,1,15
73,pip3,protein,,,,hmdb10147,,,akt,protein,,,,p31749,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
92,tcr,protein,,,,p01850,,,mtorc2,complex,,,,q6r327,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
95,tcr,protein,,,,p04234,,,cd25,protein,,,uniprot,p01589,,,positive,i,,,,,,,nan,nan,nan,pmc3949578,1,10,5,1,15
54,mtorc2,complex,,,,q6r327,,,akt,protein,,,,p31750,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,3,1,13
55,mtorc2,complex,,,,q6r328,,,mtorc2,complex,,,,q6r327,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,3,1,13
66,pi3,protein,,,,p42336,,,pip3,simplechemical,,,hmdb,hmdb10147,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,10,3,1,13
70,pi3k,protein,,,,p42336,,,pip3,simplechemical,,,hmdb,hmdb10147,,,positive,i,,,,,,,nan,nan,nan,pmc4487994,1,10,3,1,13
93,tcr,protein,,,,p01850,,,pip3,protein,,,,hmdb10147,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,3,1,13
98,tcr,protein,,,,p04234,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc3949578,1,10,2,1,12
