index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
85722,pi3k,proteinfamilyproteincomplex,,,,pi3k,,,apoptosis,biologicalprocess,,,go,go:0006915,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","the gene encoding the phosphatase pten is also commonly mutated in melanoma xref_bibr , which reduces pten 's ability to dephosphorylate phosphoinositides and to inhibit pi3k-akt signalling pathways , and therefore increases proliferation and decreases apoptosis xref_bibr .,recent preclinical studies have shown that inhibitors of pi3k and akt3 increased apoptosis and stimulated tumour regression ( xref_bibr ) .,dual targeting of pi3k and mtor by pi-103 induced apoptosis and cell cycle arrest , and inhibited viability of melanoma cells in vitro .,in gbms , inhibitors of pi3k alone appear to block proliferation , but not induce apoptosis [ xref_bibr ] and so , new combinations are being tested , such as the pi3k inhibitor pik-90 and the cyclin dependent kinase cdk 1/2 inhibitor ( roscovitine ) , which showed synthetic lethality , defined as induction of glioma cell death only by the combination and not by single molecule treatment [ xref_bibr ] .,activation of class i pi3k inhibits apoptosis and autophagy through activation of akt and mtor [ xref_bibr ] .,in vitro inhibition of pi3k pathway in imatinib resistant cells arrests cell growth and induces apoptosis [ xref_bibr ] , suggesting that this may be a mechanism of action of sunitinib in imatinib resistant patients .,activation of the pi3k signaling blocks apoptosis and is required for constitutive nf-kappab activation in abc-dlbcl [ xref_bibr ] .,ly294002 inhibition of phosphoinositide 3-kinase ( pi3k ) significantly sensitized skin cancer cells , which led to an increase in cge induced apoptosis .,pi3k and akt pathway generally inhibits apoptosis .,inhibition of gsk-3beta by phosphatidyinositol-3 kinase ( pi3k )/akt promotes cell survival and activation of gsk-3beta by trophic withdrawal and induces apoptosis ( pap and cooper 1998 ; hetman et al. 2000 ) .,knock-down of gsk-3alpha and beta prevented mcl-1 downregulation and decreased apoptosis induced by pi3k and mtor inhibitors .,on the other hand , in the study of faber and colleagues , inhibition of pi3k and mtor signalling in non small cell lung cancers with activating mutations of egfr did not induce apoptosis , in contrast to her2 amplified breast tumours in which sensitivity was seen [ xref_bibr ] .","pmc3335030,pmc3049553,pmc3016554,pmc4159024,pmc3849547,pmc3359746,pmc4558134,pmc3880216,pmc4413214,pmc2193656,pmc3681490,pmc3228236",12,10,10,1,130
3691,akt,proteinfamilyproteincomplex,,,,akt,,,tsc2,protein,,,uniprot,p49815,,,positive,d,phosphorylation,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .,akt phosphorylates tsc2 , thus inhibiting tsc1/2 ; it also phosphorylates pras40 , thus stimulating mtorc1 .,in addition to directly activating mtorc1 , akt also phosphorylates tuberous sclerosis complex ( tsc ) 1 and tsc2 , releasing their inhibition of the ras like small g protein , rheb , which in turn activates mtorc1 .,upon pi3k activation , akt phosphorylation of tsc2 destabilizes tsc2 and disrupts its interaction with tsc1 to abolish the negative regulatory effect of the tsc2 and tsc1 complex on mtorc1 xref_bibr .,one of the most important upstream regulators of mtorc1 is the prosurvival kinase akt , which phosphorylates and inactivates tsc2 as well as pras40 [ xref_bibr ] .,tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .,tsc2 phosphorylation by akt represses gap activity of the tsc1 and tsc2 complex , allowing rheb to accumulate in a gtp bound state .,once activated , akt phosphorylates and inhibits tsc2 , which acts as a gtpase activating protein ( gap ) for ras homolog enriched in brain ( rheb ) , a gtp binding protein .,upon pi3k activation , akt phosphorylation of tsc2 destabilizes tsc2 and disrupts its interaction with tsc1 , thus abolishing the negative regulatory effect of tsc2 and tsc1 complex on mtorc1 xref_bibr , xref_bibr .,as a result of growth stimulating signals , akt phosphorylates tsc2 and causes the dissociation of the tsc1 and tsc2 complex .","pmc4102778,pmc4762492,pmc3362130,pmc3845592,pmc2817393,pmc2911128,pmc3091517,pmc3757434,pmc3587337,pmc2886325",10,10,10,1,110
10603,bcl-2,protein,,,,p10415,,,apoptosis,biologicalprocess,,,go,go:0006915,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","these drugs function as sensitizer molecules - although unable to directly stimulate apoptosis , they prevent the apoptosis inhibitors from sequestering the pro apoptotic proteins through their bh3 domains ( reviewed in [ xref_bibr ] ) .,hrk is a proapoptotic mitochondrial member of bcl-2 family , which promotes apoptosis through the endogenous , mitochondrial pathway .,tumor progression and resistance to chemotherapy and radiotherapy may also be activated through the suppression of bax and upregulation of igf-1r , resulting in increased proliferation and reduced apoptosis caused by upregulation of bcl-2 and overexpression of altered p53 xref_bibr .,molecules in the bcl-2 family , including bad and bcl-xl , are notable factors in cell apoptosis and contribute to a so called ' apoptosis checkpoint ' .,apoptosis is a programmed cell death that is currently of intense research interest in cancer biology and it was already established that expression levels of bcl-2 family proteins in tumors can modulate apoptosis , influencing tumor behavior and treatment [ xref_bibr ] , and also , in another way , apoptosis can be triggered intrinsically or extrinsically by dna damage or other types of severe cellular injures such as reactive oxygen species [ xref_bibr ] .,after determining that cpa+il-1beta treatment exacerbates apoptosis , we performed a detailed mechanistic analysis of the er stress pathways and bcl-2 proteins involved in cytokine- and/or er stress+ cytokine induced beta cell apoptosis . ++++ the kd of each single bcl-2 anti-apoptotic protein ( confirmed in xref_supplementary ) increased apoptosis under basal conditions ( xref_fig ) .,apoptosis is modulated partially by bcl-2 family including apoptosis inhibiting genes ( bcl-2 , bcl-xl , mcl-1 , a1 and bcl-w ) and apoptosis accelerating genes ( bax , bak , bcl-xs and bim ) [ xref_bibr ] .,apoptosis is modulated partially by bcl-2 family including apoptosis inhibiting genes ( bcl-2 , bcl-xl , mcl-1 , a1 and bcl-w ) and apoptosis accelerating genes ( bax , bak , bcl-xs and bim ) [ xref_bibr ] .","pmc3477050,pmc4947213,pmc3879347,pmc4940681,pmc4180203,pmc3730410,pmc3488331,pmc3488331",8,10,10,1,90
3107,akt,proteinfamilyproteincomplex,,,,akt,,,apoptosis,biologicalprocess,,,go,go:0006915,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan,nan","activation of akt is a major factor contributing to resistance against tsa induced cancer cell death , whereas akt inhibition sensitized cancer cells to tsa induced cell death and apoptosis ( xref_fig ) .,activation of akt promotes cellular growth and proliferation as well as inhibition of apoptosis ( xref_bibr ) .,akt can block p53 accumulation and apoptosis by augmenting ubiquitin ligase activity of mdm2 activity through phosphorylation [ xref_bibr ] .,the activation of the akt pathway can suppress apoptosis [ xref_bibr ] .,the activation of akt : ( a ) promotes cell proliferation through the induction and stabilization of ccnd1 ; ( b ) inhibits apoptosis by inactivation of many pro apoptotic proteins , such as bad ( bcl-2 antagonist of cell death ) and mdm2 ( which causes the degradation of p53 ) ( xref_bibr , xref_bibr ) .,pi3k and akt pathway generally inhibits apoptosis .,further , activated akt promotes cell survival by inhibiting apoptosis by the inactivation of several proapoptotic factors bad .,additionally , the akt pathway is up-regulated which promotes cell survival and represses apoptosis .","pmc3077291,pmc3929888,pmc4142057,pmc3246694,pmc4530319,pmc4413214,pmc3976810,pmc2242820",8,10,10,1,90
5493,ampk,proteinfamilyproteincomplex,,,,ampk,,,autophagy,biologicalprocess,,,go,go:0006914,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan,nan","xref_bibr conversely , ampk triggers autophagy in skeletal muscle through activation of foxo3 and interaction with ulk1 .,until recently , the sole mechanism by which ampk activates autophagy was thought to be through the inhibition of mtorc1 and hence indirectly promoting autophagosome formation .,at the molecular level , active ampk stimulates autophagy by means at least three distinct mechanisms .,moreover , genotoxic stresses trigger ampk mediated autophagy in a p53 dependent manner 85 . ++++ recent studies have demonstrated that ampk can mediate autophagy in response to the cytosolic ca + concentration and cytokines via ca 2+ / calmodulin dependent kinase kinase-b ( camkkb ) and transforming growth factor-b-activating kinase 1 ( tak1 ) pathways , respectively xref_bibr , xref_bibr . ++++ remarkably , the initiation of autophagy by ampk is not limited to the starvation induced activation of lkb1 .,however , if the cell is subjected to a metabolic stress that interferes with atp synthesis such as hypoxia , the rise in adp : atp ratio activates ampk which subsequently initiates autophagy both directly and indirectly by inhibiting mtor [ xref_bibr , xref_bibr ] .,lkb1 and ampk signaling induces cell cycle arrest , caspase dependent apoptosis or autophagy in various tumors .,other anti-cancer effects of ampk may include promoting autophagy and dna repair upon uvb damage .","pmc4502786,pmc3757434,pmc4326572,pmc3587337,pmc4951235,pmc3681490,pmc3711071",7,10,10,1,80
91297,pten,protein,,,,p60484,,,akt,proteinfamilyproteincomplex,,,be,akt,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","the ohpg and pr-b dependent induction of pten causes the down-regulation of pi3k and akt signal , switching on the autophagy process through an enhanced expression of uvrag and leading to a reduced cell survival .,given its central node position in the canonical pi3k pathway , akt can be activated by either upstream pik3ca activation or pten inactivation .,pten deficiency causes akt ( protein kinase b , or pkb ) hyperactivition and in consequence tumor initiation and progression .,in numerous cell types , pten loss-of-function mutations result in unopposed akt signaling , producing numerous effects on cells .,we previously showed that glycogen synthase kinase ( gsk )-3beta facilitates ifn-gamma-activated stat1 by inhibiting shp2 [ xref_bibr ] , and aberrant pi3k and a decrease in pten increase akt activation and gsk-3beta inactivation to cause shp2 activated ifn-gamma resistance in gastric cancer ags cells [ xref_bibr ] .,of interest , the levels of pib5pa and pten were significantly correlated , and loss of both was associated with particularly high levels of akt activation in fresh melanoma isolates , suggesting that consistent with the finding in melanoma cell lines , downregulation of pib5pa and pten may cooperatively promote activation of pi3k and akt signalling in vivo , and that melanomas deficient in both pib5pa and pten may be more profoundly dependent on survival advantages afforded by activation of the pathway .","pmc4224558,pmc3362130,pmc3879347,pmc4539077,pmc4924776,pmc3586716",6,10,10,1,70
71893,mtorc1,proteinfamilyproteincomplex,,,,mtorc1,,,akt,proteinfamilyproteincomplex,,,be,akt,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","mtorc1 also inhibits akt via a negative feedback loop which involves p70s6k and potentially other molecules [ xref_bibr ] .,several models have been proposed to account for the relative lack of malignancy , including feedback inhibition of akt by mtorc1 activation , altered mtorc2 function as well as increased rates of apoptotic cell death in tsc1- or tsc2 deficient cells .,assuming that equilibrium exists between these two complexes , when the mtorc1 complex is formed , it could antagonize the formation of the mtorc2 complex and reduce akt activity [ xref_bibr , xref_bibr ] . ++++ mtorc1 inhibits akt via a negative feedback loop which involves , at least in part , p70s6k [ xref_bibr ] . ++++ inhibition of mtorc1 signaling by rapamycin and rapalogs removes the previously mentioned negative feedback loop and activates akt through pi3k .,assuming that an equilibrium exists between mtorc1 and mtorc2 , when mtorc1 is formed , it antagonizes the formation of mtorc2 and reduces akt activity .,assuming that equilibrium exists between these two complexes , when the mtorc1 complex is formed , it could antagonize the formation of the mtorc2 complex and reduce akt activity [ xref_bibr - xref_bibr ] .","pmc4102778,pmc3701212,pmc3660063,pmc2911128,pmc3091517",5,10,11,1,61
32216,egfr,protein,,,,p00533,,,src,proteinfamilyproteincomplex,,,be,src,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","xref_bibr egfr activates at least five different signaling pathways : the ras/raf/mapk , the phospholipase c , the pi3k and akt , the stat , and the src pathways .,intestinal epithelial cancer cells commonly display egfr mediated sustained activation of src interacting with fak and consequent mek and erk activation to resist anoikis [ xref_bibr ] .,resistant cells obtained from patients treated with ceritinib revealed activation of the egfr , mitogen activated protein ( map ) kinase , and src pathways , and the cells were sensitive to combination therapies with inhibitors for egfr , map kinase-erk kinase ( mek ) , and src [ xref_bibr ] .,activation of src by egfr further activates akt , which leads to both acquired and de novo trastuzumab resistance in breast cancer .,in previous studies , we determined that egfr mediated src activation leads to the tyrosine phosphorylation of cas , a focal contact localized scaffolding protein previously linked to cell migration and invasion ( xref_bibr ; xref_bibr ; xref_bibr ) . ++++ in fact , egfr induced activation of src family kinases ( sfk ) is necessary and sufficient for induction of migration on vitronectin in vitro and metastasis in vivo .","pmc3004666,pmc3439988,pmc4593363,pmc3392105,pmc3711644",5,10,11,1,61
80551,p53,protein,,,,p04637,,,mtor,protein,,,uniprot,p42345,,,negative,i,none,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","finally , ddit4 ( dna damage inducible transcript 4 ) , a p53 transcriptional target stress response gene that negatively regulates the mtor pathway is also upregualted by pak1 and ir treatment .,furthermore , p53 in vitro can inhibit mtor signaling via the hamartin and tuberin complex ( xref_bibr ) .,noteworthy , p53 inhibits both cell cycle progression and the mtor pathway .,additionally , loss of p53 function appears to synergize with pten loss to promote activation of the mtor signaling pathway [ xref_bibr ] .,conclusively , uv can initiate autophagy through negative regulation of mtor by p53 in response to dna damage and in response to ros by ampk activated downstream of growth factor receptors or through atm . ++++ alternatively , p53 irreversibly blocks cell cycle progression to prevent akt and mtor driven proliferation , thereby inducing premature senescence . ++++ thus , p53 dependent inhibition of the mtor pathway described in the former section to be pro autophagic is responsible for the paradoxical function of p53 in the suppression of senescence [ xref_bibr ] and may possibly explain a p53 dependent cell cycle re-entry of senescent cells observed under certain conditions [ xref_bibr ] .","pmc3741304,pmc3701212,pmc3912031,pmc4490316,pmc3759859",5,10,11,1,61
91398,pten,protein,,,,p60484,,,pi3k,proteinfamilyproteincomplex,,,be,pi3k,,,positive,i,none,,,,,,"nan,nan,nan,nan,nan","nan,nan,nan,nan,nan","the ohpg and pr-b dependent induction of pten causes the down-regulation of pi3k and akt signal , switching on the autophagy process through an enhanced expression of uvrag and leading to a reduced cell survival .,thus , pten downregulation can result in activation of the pi3k pathway .,mir-92a was reported to promote cell metastasis of colorectal cancer through the pten mediated pi3k and akt pathway .,of interest , the levels of pib5pa and pten were significantly correlated , and loss of both was associated with particularly high levels of akt activation in fresh melanoma isolates , suggesting that consistent with the finding in melanoma cell lines , downregulation of pib5pa and pten may cooperatively promote activation of pi3k and akt signalling in vivo , and that melanomas deficient in both pib5pa and pten may be more profoundly dependent on survival advantages afforded by activation of the pathway .,deregulation of those proteins in many tumours has resulted in activation of pi3k and mtor pathways and in turn to s6k activation .","pmc4224558,pmc3817731,pmc4515857,pmc3586716,pmc3335255",5,10,10,1,60
