index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
337,pten,protein,,,,p60484,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","nan,nan,nan,nan","pmc4329810,pmc5630353,pmc4836157,pmc5725211",4,10,10,1,50
268,pten,protein,,,,p60484,,,ca,simplechemical,,,pubchem,271,,,positive,i,,,,,,,"nan,nan","nan,nan","nan,nan","pmc4396696,pmc4515857",2,10,11,1,31
84,er,protein,,,,p03372,,,ca,simplechemical,,,pubchem,271,,,negative,i,,,,,,,nan,nan,nan,pmc4515857,1,10,11,1,21
349,pten,protein,,,,p60484,,,tgf,protein,,,uaz,uaz05343,,,negative,i,,,,,,,nan,nan,nan,pmc4836157,1,10,11,1,21
168,p-pten,protein,,,,p60484,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc4836157,1,10,10,1,20
223,pi3k,protein,,,,pi3k,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc5688148,1,10,10,1,20
294,pten,protein,,,,p60484,,,er,protein,,,uniprot,p03372,,,positive,i,,,,,,,nan,nan,nan,pmc4515857,1,10,10,1,20
326,pten,protein,,,,p60484,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmc4351423,1,10,10,1,20
329,pten,protein,,,,p60484,,,pip3,simplechemical,,,hmdb,hmdb10147,,,positive,i,,,,,,,nan,nan,nan,pmc3978343,1,10,10,1,20
391,rac,protein,,,,p31749,,,pip3,simplechemical,,,hmdb,hmdb10147,,,negative,i,,,,,,,nan,nan,nan,pmc3978343,1,10,10,1,20
392,rac,protein,,,,p31749,,,pten,protein,,,uniprot,p60484,,,negative,i,,,,,,,nan,nan,nan,pmc3978343,1,10,10,1,20
