Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
40,10,5,1,405
18,10,1,1,181
15,10,5,1,155
14,10,5,1,145
12,10,5,1,125
12,10,5,1,125
10,10,1,1,101
9,10,5,1,95
9,10,5,1,95
9,10,1,1,91
8,10,5,1,85
8,10,5,1,85
8,10,5,1,85
8,10,5,1,85
8,10,5,1,85
8,10,5,1,85
8,10,1,1,81
7,10,5,1,75
7,10,5,1,75
7,10,5,1,75
7,10,5,1,75
7,10,5,1,75
7,10,5,1,75
7,10,3,1,73
7,10,1,1,71
6,10,7,1,67
6,10,5,1,65
6,10,5,1,65
6,10,3,1,63
6,10,1,1,61
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,5,1,55
5,10,1,1,51
5,10,1,1,51
5,10,1,1,51
5,10,1,1,51
5,10,1,1,51
5,10,1,1,51
4,10,7,1,47
4,10,7,1,47
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,5,1,45
4,10,3,1,43
4,10,3,1,43
4,10,3,1,43
4,10,2,1,42
4,10,1,1,41
4,10,1,1,41
4,10,1,1,41
4,10,1,1,41
4,10,1,1,41
4,10,1,1,41
4,10,1,1,41
3,10,7,1,37
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,5,1,35
3,10,3,1,33
3,10,3,1,33
3,10,3,1,33
3,10,2,1,32
3,10,1,1,31
3,10,1,1,31
3,10,1,1,31
3,10,1,1,31
3,10,1,1,31
3,10,1,1,31
2,10,7,1,27
2,10,7,1,27
2,10,7,1,27
2,10,7,1,27
2,10,7,1,27
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,5,1,25
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,3,1,23
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
2,10,1,1,21
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,7,1,17
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
1,10,5,1,15
