Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
10,10,10,1,110
8,10,10,1,90
5,10,11,1,61
4,10,11,1,51
4,10,11,1,51
4,10,11,1,51
4,10,10,1,50
4,10,10,1,50
3,10,11,1,41
3,10,10,1,40
3,10,9,1,39
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,11,1,31
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,10,1,30
2,10,9,1,29
2,10,9,1,29
2,10,9,1,29
2,10,9,1,29
2,10,9,1,29
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,11,1,21
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
1,10,10,1,20
