index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
46,cd28,protein,,,,p10747,,,mtorc2,complex,,,,q6r328,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
124,il2_ex,protein,,,,p60568,,,mtorc2,complex,,,,q6r329,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
125,il2_r,protein,,,,p01589,,,mtorc2,complex,,,,q6r330,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
151,mtor,protein,,,,p42345,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,10,5,1,15
186,pi3k,protein,,,,pi3k,,,il_2,protein,,,uniprot,p60568,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,10,5,1,15
191,pi3k,protein,,,,pi3k,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc5986278,1,10,5,1,15
193,pi3k,protein,,,,pi3k,,,tsc1,protein,,,uniprot,q92574,,,negative,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,10,5,1,15
199,pip3,protein,,,,hmdb10147,,,akt,protein,,,,p31749,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
222,pten,protein,,,,p60484,,,mtorc2,complex,,,,q6r327,,,negative,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
253,tcr,protein,,,,p01850,,,mtorc2,complex,,,,q6r327,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,5,1,15
258,tcr,protein,,,,p04234,,,mtor,protein,,,uniprot,p42345,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,10,5,1,15
160,mtorc2,complex,,,,q6r327,,,akt,protein,,,,p31750,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,3,1,13
161,mtorc2,complex,,,,q6r328,,,mtorc2,complex,,,,q6r327,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,3,1,13
254,tcr,protein,,,,p01850,,,pip3,protein,,,,hmdb10147,,,positive,i,,,,,,,nan,nan,nan,pmc4418530,1,10,3,1,13
97,foxp3,protein,,,,b7zlg1,,,pten,protein,,,uniprot,p60484,,,positive,i,,,,,,,nan,nan,nan,pmcpmc4297581,1,10,2,1,12
129,il_2,protein,,,,p60568,,,pi3k,protein,,,be,pi3k,,,positive,i,,,,,,,nan,nan,nan,pmcpmc3949578,1,10,1,1,11
