index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
224,em900,protein,,,,uaz00444,,,er,protein,,,uniprot,p03372,,,positive,i,activation,,,,,,"nan,nan","nan,nan","unexpectedly, concomitant azm or em900 plus gef did not significantly enhance er stress loading compared with treatment of the cells with gef alone.,cam and gef was the most potent combination for upregulation of pro apoptotic transcription factor chop, whereas concomitant azm or em900 plus gef did not significantly enhance er stress loading, compared with gef alone (xref_fig).","pmc4734605,pmc4734605",2,100,40,1,240
445,nvp-bez235,simplechemical,,,,11977753,,,pi3k,protein,,,be,pi3k,,,negative,i,inhibition,,,,,,nan,nan,"85 the imidazo [4,5-c] quinoline derivative nvp-bez235 inhibits pi3k and mtor activities by binding to the atp binding cleft of both enzymes, thereby leading to the induction of autophagy in glioma cells.",pmc3920945,1,100,40,1,140
19,akt,family,,,,akt,,,mtor,protein,,,uniprot,p42345,,,positive,i,activation,,,,,,nan,nan,"alternatively, the mtor kinase can be activated by akt independently of tsc 1/2 and can be regulated by mapks.",pmc4260725,1,100,40,1,140
531,rapamycin,simplechemical,,,,5284616,,,mtor,protein,,,uniprot,p42345,,,positive,i,activation,,,,,,nan,nan,inhibition of mtor signalling by rapamycin activates autophagy that in turn causes growth arrest in many preclinical models of cancer (xref_bibr).,pmc4102935,1,100,40,1,140
137,beclin 1,protein,,,,q14457,,,pi3k,protein,,,be,pi3k,,,positive,i,activation,,,,,,nan,nan,"beclin 1 further activated pi3k (phosphoinositide 3-kinase), leading to formation of autophagosomes and hence an increase in autophagy as shown by tem (transmission electron microscope).",pmc4100138,1,100,40,1,140
164,cam,protein,,,,p62158,,,er,protein,,,uniprot,p03372,,,positive,i,activation,,,,,,nan,nan,"in the present study, we used a novel 12 membered em900, which shows anti-inflammatory and/or immunomodulatory effects, without possessing antibacterial activity (xref_bibr), as well as cam and azm to compare their effects of : i) enhancing gef induced cytotoxicity; ii) blocking autophagy flux; and iii) er stress loading in pancreatic cancer cell lines.",pmc4734605,1,100,40,1,140
475,"phosphatidylinositol-3, 4, 5-triphosphate, which binds to the pleckstrin homology domain",,,,,,,,pi3k,protein,,,be,pi3k,,,positive,i,activation,,,,,,nan,nan,"activated the class i pi3k generates phosphatidylinositol-3, 4, 5-triphosphate, which binds to the pleckstrin homology domain of akt and pdk1 at the plasma membrane.",pmc5008281,1,100,40,1,140
444,nvp-bez235,simplechemical,,,,11977753,,,mtor,protein,,,uniprot,p42345,,,negative,i,inhibition,,,,,,nan,nan,"85 the imidazo [4,5-c] quinoline derivative nvp-bez235 inhibits pi3k and mtor activities by binding to the atp binding cleft of both enzymes, thereby leading to the induction of autophagy in glioma cells.",pmc3920945,1,100,40,1,140
438,nsc74859,protein,,,,uaz00324,,,p-mtor,protein,,,uniprot,p42345,,,negative,i,inhibition,,,,,,nan,nan,"after incubation with nsc74859 at indicated concentration, western blot analysis showed that nsc74859 decreased the levels of p-akt s473 and p-mtor s2448.",pmc4791252,1,100,40,1,140
254,gef,protein,,,,q9nr83,,,er,protein,,,uniprot,p03372,,,positive,i,activation,,,,,,nan,nan,"real-time pcr indicated that gef treatment upregulated er stress related genes such as grp78 and chop, whereas, treatment with macrolides had little effect (xref_fig).",pmc4734605,1,100,40,1,140
28,ampk,protein,,,,ampk,,,mtor,protein,,,uniprot,p42345,,,positive,i,activation,,,,,,nan,nan,"ampk, which promotes autophagy by activating tsc 1/2 and suppressing mtor, has been implicated in an energy check point because of its roles in phosphorylating p53 and inducing cell cycle arrest following energy deprivation.",pmc4260725,1,100,40,1,140
604,tsc,family,,,,tsc,,,mtor,protein,,,uniprot,p42345,,,positive,i,activation,,,,,,nan,nan,"alternatively, the mtor kinase can be activated by akt independently of tsc 1/2 and can be regulated by mapks.",pmc4260725,1,100,40,1,140
107,autophagy,bioprocess,,,,go:0006914,,,mtor,protein,,,uniprot,p42345,,,negative,i,activation,,,,,,nan,nan,"activation of the amp activated protein kinase (ampk)-mtor signaling pathway may be a major mechanism of statin induced autophagy, as epleting cellular geranylgeranyl diphosphate activates ampk and inactivates mtor, thereby leading to autophagic responses (xref_fig).",pmc3920945,1,100,40,1,140
8,acetate,simplechemical,,,,176,,,mtor,protein,,,uniprot,p42345,,,negative,i,inhibition,,,,,,nan,nan,nimocinol acetate inhibited mtor mediated pro survival signalling that resulted in inhibition of growth in bca cells without affecting normal breast epithelial cells.,pmc4102935,1,100,40,1,140
407,mtor,protein,,,,p42345,,,autophagy,bioprocess,,,go,go:0006914,,,negative,i,activation,,,,,,"nan,nan,nan,nan","nan,nan,nan,nan","although it has been well established that the activation of mammalian target of rapamycin (mtor) negatively regulates autophagy, in a number of preclinical studies, rapamycin, an mtor inhibitor, has been shown to induce growth arrest by activating autophagy (xref_bibr).,activation of mtor inhibits autophagy that resulted in proliferation of cancer cells (xref_bibr).,inhibition of mtor signalling by rapamycin activates autophagy that in turn causes growth arrest in many preclinical models of cancer (xref_bibr).,multiple studies also suggested that rapamycin, a specific inhibitor of mtor, induces autophagy in several cancer cell lines (xref_bibr; xref_bibr, xref_bibr).","pmc4102935,pmc4102935,pmc4102935,pmc4102935",4,1,40,1,44
