index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
1533,mdm2,protein,,mdm2,up,q00987,,,tp53,protein,,11998.0,uniprot,p04637,,,positive,i,ubiquitination,,,,,,"0.86,0.65,0.8775000000000001,0.65,0.65","indra,indra,indra,indra,indra","although stress signals ( xref ; xref ; xref ; xref ; xref ) ( xref ; xref , xref ) have been shown to compromise mdm2-induced ubiquitination and proteolysis of p53 and thus activate p53 in normal cells, cancer cells employ oncogenic molecules, such as mdmx ( xref ; xref ; xref ; xref ), which strengthen mdm2-mediated inhibition of p53 and thus induce cell resistance to p53 activation.,a few of such chemoresistance-causing proteins that are induced during ca treatment include: (a) the ubiquitin ligase mdm2 that ubiquitinates the cell cycle-blocking transcription factor p53 [53]; (b) the thymidine phosphorylase, which is base excision repair cross-complementary protein ercc1 [56]; (c) o-6-methylguanine-dna methyltransferase (mgmt) [57]; and (d) the multidrug resistance (mdr) proteins [58].,co-expression of ubiquitin and mdm2 (the major e3 ubiquitinase of p53) significantly triggered ubiquitination of endogenous p53 protein in gbm cells, while mg132 treatment inhibited p53 degradation (fig. xref g, h and additional file xref : figure s2d).,co-expression of ubiquitin and mdm2 (the major e3 ubiquitinase of p53) significantly triggered ubiquitination of endogenous p53 protein in gbm cells, while mg132 treatment inhibited p53 degradation.,sgk1 phosphorylates mdm2 at ser166 and mediates mdm2-dependent p53 ubiquitination and proteasomal degradation. xref , xref furthermore, p53 degradation occurs not only via mdm2 but also via nedd4-2, which is reported to link with sgk1 through sek1.  xref  sgk1-induced p53 degradation reveals the effect of chronic psychological stress on cell proliferation, survival, and differentiation.  xref  interestingly, p53-dependent activation of erk1/2 in response to dna damage can also upregulate sgk1.  xref  ","pmc4943851,pmc8466953,pmc7487905,pmc7487905,pmc7364809",5,10,10,1,60
709,egf,protein,,egf,uniprot,p01133,,,egfr,protein,,3236.0,uniprot,p00533,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65","indra,indra,indra","egf has been shown to inhibit the growth of egfr amplified mda-468 breast cancer and a431 epidermoid carcinoma cells, which both strongly overexpress egfr at the protein level [xref_bibr - xref_bibr].,we also found that egfr receptor family members erbb2 and erbb3 were upregulated when egfr signaling is decreased by exogenous egf ligand removal or egfr targeted therapy.,recently it was suggested that gbm stem like cells with amplified egfr should be cultured in stem cell medium without egf, as the presence of egf induced rapid loss of egfr amplification.","pmc4468289,pmc4119816,pmc3814277",3,10,10,1,40
1531,mdm2,protein,,mdm2,uniprot,q00987,,,tp53,protein,,11998.0,uniprot,p04637,,,positive,i,activation,,,,,,"0.65,0.65,0.65","indra,indra,indra","upstream of gli1, constitutively activated smoothened mutants upregulate mdm2, which then represses p53 tumor suppression activity [xref_bibr].,like rps11, rps20 is one of the rps that can also bind to mdm2 and activate p53 [xref_bibr] and it was reported that overexpression of rps20 is associated with an adverse outcome in medulloblastoma [xref_bibr].,mdm2 complexes with p53 to modulate the level and thereby, the transcriptional activity of p53.","pmc6007474,pmc4624638,pmc7487905",3,10,10,1,40
187,bcl2,protein,,bcl2,uniprot,p10415,,,bax,protein,,959.0,uniprot,q07812,,,positive,i,activation,,,,,,0.65,indra,phosphorylation of bcl-2 following combination therapy appeared to promote bax homodimerization and mitochondrial release of proapoptotic factors into the cytosol.,pmc3508157,1,10,10,1,20
1390,jak2,protein,,jak2,uniprot,o60674,,,stat3,protein,,11364.0,uniprot,p40763,,,negative,i,inhibition,,,,,,0.65,indra,"this study showed that mometinib inhibits the phosphorylation of jak2 and stat3 in u251 xenograft mouse cells, ultimately blocking the jak2/stat3 pathway which leads to activation of autophagy.",pmc8319838,1,10,10,1,20
2453,src,protein,,src,up,p12931,,,pten,protein,,9588.0,uniprot,p60484,,,positive,i,phosphorylation,,,,,,0.8775000000000001,indra,"both fibroblast growth factor receptors (fgfrs) and src family kinases (sfks) phosphorylate pten, and p-pten fails to antagonize the pi3k signaling (fenton et al., xref ), suggesting that loss of control of pi3k signaling is associated with resistance to egfr inhibitors in gbm.",pmc3601334,1,10,10,1,20
2445,src,protein,,src,uniprot,p12931,,,pten,protein,,9588.0,uniprot,p60484,,,positive,i,increaseamount,,,,,,0.65,indra,"our results showed that the mutant cx43 did not significantly modify the levels of pten, suggesting that the cx43 mediated inactivation of c-src is required to increase the levels of pten.",pmc5226550,1,10,10,1,20
2303,skp2,protein,,skp2,up,q13309,,,cdkn1b,protein,,1785.0,uniprot,p46527,,,positive,d,ubiquitination,,,,,,0.65,indra,"szl-p1-41 prevents the assembly of skp2-skp1 complexes and inhibits skp2 mediated ubiquitination of p27   and akt, which therefore exhibits antitumor effects (fig. 5b) [22, 25].",pmc7059397,1,10,10,1,20
1881,pdgfa,protein,,pdgfa,uniprot,p04085,,,pdgfra,protein,,8803.0,uniprot,p16234,,,negative,i,inhibition,,,,,,0.65,indra,"pdgfr inhibition in gbm cell lines universally triggers a g2/m arrest [xref_bibr] and in a pdgfra and pdgfa driven glioblastoma mouse model chronic activation of pdgfra facilitates microtubule dynamics during mitosis [xref_bibr], suggesting a role for pdgfr in driving gbm cells towards mitosis.",pmc7836009,1,10,10,1,20
1742,nfkbia,protein,,nfkbia,uniprot,p25963,,,nfkb1,protein,,7794.0,uniprot,p19838,,,negative,i,inhibition,,,,,,0.65,indra,"the next protein regulator nfkbia (domain- ank) inhibits nfkb1 and activates rela (domain- rhd), whereas regulator bcl3 (domain- ank) activates nfkb1 and indirectly binds to nfkb2 (domain- ank).",pmc8688884,1,10,10,1,20
