index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
774,egfr,protein,,egfr,uniprot,p00533,,,stat3,protein,,11364.0,uniprot,p40763,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65,0.9816495,0.65,0.65,0.8775000000000001,0.65,0.8775000000000001","indra,indra,indra,indra,indra,indra,indra,indra,indra,indra","we showed that cdk5 regulates glioma tumorigenicity by promoting trim59 nuclear translocation via pin1/importin α5 axis, leading to stat3 signaling activation, and demonstrate that cdk5 mediates egfr-stimulated stat3 signaling through activation of the trim59/mh2a1 axis in gbm.this study identified and validated trim59 as a novel substrate of cdk5.,these data indicate that honokiol induces glioma cell apoptosis in vivo via the regulation of the egfr mediated stat3 and jak signaling pathway.,our results identify a novel mechanism of egfr-activated stat3, in which trim59 maintains oncogenic signaling by inhibiting stat3-tc45 complex formation to keep stat3 phosphorylation and activation.,il-13ralpha2 and egfrviii enhances activation of mapk and stat3.,aberrant egfr signaling in gbm mediates stat3 transcriptional activation to promote tumorigenesis, progression and invasion of glioblastoma xref_bibr, xref_bibr.,inhibition of egfrviii phosphorylation by lapatinib and carnatinib strongly impaired the egfrviii-osmr interaction and stat3 activation.,stat3 is activated by many cytokine and growth factor receptors.,stat3 can be also activated by egfr, jak2, and other tyrosine kinases activated by egf, leukemia inhibitory factor (lif), and other cytokines ( xref ).,our results indicate that egfr inhibition is not sufficient to suppress stat3 activity when converging p75ntr signaling is activated.,mechanistically, a lot of tumor- and tme-derived signals, such as hypoxia, egfr-induced stat3 and nf-κb activation, might be responsible for upregulated neat1 expression.","pmc6728346,pmc6356849,pmc5882560,pmc5715073,pmc5682287,pmc4984527,pmc3971505,pmc4772155,pmc7934841,pmc7448505",10,10,3,1,103
1530,mdm2,protein,,mdm2,uniprot,q00987,,,tp53,protein,,11998.0,uniprot,p04637,,,negative,i,inhibition,,,,,,"0.8775000000000001,0.65,0.65,0.97305,0.86,0.65,0.65,0.0","indra,indra,indra,indra,indra,indra,indra,indra","fact binds to ck2 to form a complex , which further induces ser392 phosphorylation of p53 ; otherwise , p53 is degraded by mdm2 ( 2 , 7 , 33 ) ( figure 1 ) .,targeting mdm2 to reactivate p53 function is a promising strategy to treat cancers.,the majority of tp53 mutations in human cancer are missense mutations that commonly occur within the dna binding domain of p53 resulting in disruption of p53 dna binding activity and impaired ability to regulate target genes and transactivate the p53 antagonist mdm2.,although stress signals have been shown to compromise mdm2 induced ubiquitination and proteolysis of p53 and thus activate p53 in normal cells, cancer cells employ oncogenic molecules, such as mdmx, which strengthen mdm2 mediated inhibition of p53 and thus induce cell resistance to p53 activation.,as a representative gbm cell line, we used u87mg cells, which is an appropriate model to study the interaction between the akt and mtor and mdm2-p53 pathways because of the following characteristics : i) u87mg cells maintain a wild type status of p53, and ii) u87mg cells are deficient for the tumour suppressor phosphatase and tensin homologue (pten), a negative regulator of the pi3k and akt pathway; moreover, pten deficiency leads to mdm2 nuclear accumulation, thus inhibiting p53 functions xref_bibr.,for example, previous studies have shown that re-expression of tusc2 in lung cancer induces mdm2 downregulation and accumulation of p53 and apaf1, key factors in mitochondrial-associated apoptosis [12, 37].,81 when meg3 is overexpressed , the p53 level is elevated due to mdm2 downregulation .,when bound to p53 , mdm2 not only prevents transcriptional activation of p53 , but also promotes p53 degradation through ubiquitination .","pmc6292929,pmc6052082,pmc5312382,pmc4943851,pmc4404683,pmc8920049,pmc8099481,pmc7487905",8,10,3,1,83
710,egf,protein,,egf,uniprot,p01133,,,egfr,protein,,3236.0,uniprot,p00533,,,positive,i,activation,,,,,,"0.9804,0.65,0.86,0.951,0.65,0.65","indra,indra,indra,indra,indra,indra","nevertheless, some authors undermine the constitutive activity of the mutant, suggesting that egfr viii activity is mostly due to egf-activated egfr wt forming a heterodimer with egfr viii ( xref ) [ xref ].,compared with trim59 wt, t144a, and s246a mutants, the s308a mutation significantly diminished egf-stimulated trim59 p-ser/thr in ln229/egfr cells (fig. 2g).,as expected, egf-stimulated egfr activation, and downstream phospho-akt levels were also decreased when fhl2 was depleted with rnai (supplementary fig. 3).,for nscs, egf induced activation of egfr increases proliferation, survival, and migration, while inhibiting differentiation, whereas withdrawal of egf from nsc cultures leads to differentiation and cell death (xref_fig) [xref_bibr].,the addition of egf in the medium is able to stimulate the egfr-dependent signaling pathways, such as phosphoinositide 3-kinase (pi3k)/protein kinase b (akt) [23,24].,while simultaneous stimulation of both egfr and p75ntr by epidermal growth factor (egf) and nerve growth factor (ngf) partially prevented the reduction in self renewing capacity, activation of each receptor alone was not sufficient to override the differentiation inducing effects of serum (xref_fig).","pmc7024087,pmc6728346,pmc8691187,pmc4468289,pmc8538059,pmc7934841",6,10,3,1,63
2754,tp53,protein,,tp53,uniprot,p04637,,,cdkn1a,protein,,1784.0,uniprot,p38936,,,positive,i,activation,,,,,,"0.65,0.86,0.65,0.65","indra,indra,indra,indra","atm determines the phosphorylation of the tumor suppressor protein p53, which in turn activates p21, leading to the cyclin dependent inhibition of cycle progression [xref_bibr].,it was previously reported that mono-methyl p53 lysine 372 (p53k372me1) is an active form of p53 previously shown to mediate p21 activation xref_bibr.,when dsbs are recognized by atm, chk2 is phosphorylated by atm at the residue thr68 and subsequently promotes cell-cycle arrest and dna repair or apoptosis through phosphorylating its downstream targets, which is faster than transcriptional activation of p21 by p53 [ xref ].,they are (1) transcriptional activation of cell cycle inhibitor p21 (react_346) pathway, where p21 is transcriptionally activated by tumor suppressor protein p53 after dna damage [ xref ]; (2) dna damage/telomere stress induced senescence (react_169185).","pmc5483876,pmc3517524,pmc9561988,pmc7825621",4,10,5,1,45
1398,jak2,protein,,jak2,up,o60674,,,stat3,protein,,11364.0,uniprot,p40763,,,positive,i,phosphorylation,,,,,,"0.65,0.99596289,0.65,0.65","indra,indra,indra,indra","wp1066 is a jak-2 kinase inhibitor that blocks stat3 tyrosine phosphorylation, and has proapoptotic and antiproliferative activity in a variety of cancers, including glioma [xref_bibr, xref_bibr].,on the other hand, stat3 is predominantly phosphorylated by jak2; antagonizing jak2 with conventional jak2 inhibitors completely suppresses stat3 phosphorylation, whereas the allosteric inhibitor g5-7 partially represses stat3 phosphorylation mediated by jak2 ( xref ).,we used microrna target prediction algorithms (;) to identify putative binding sites for mir-9 in the 3′-utr of jak1, jak2 and jak3 , all of which phosphorylate stat3.,the selective inhibition of the upstream tyrosine kinase, jak2, can prevent the phosphorylation and activation of stat3 and several jak2 inhibitors, such as wp1066, sd-1029 and ag490, have been reported xref_bibr, xref_bibr, xref_bibr.","pmc4425556,pmc4772155,pmc3085663,pmc3079737",4,10,3,1,43
2782,tp53,protein,,tp53,uniprot,p04637,,,myc,protein,,7553.0,uniprot,p01106,,,negative,i,decreaseamount,,,,,,"0.65,0.65,0.65","indra,indra,indra","it is also notable that both the p53 and pten and pi3k pathways can directly regulate c-myc, with p53 repressing c-myc transcription by directly binding to the c-myc promoter, whereas downstream pi3k pathway arms can modulate c-myc translation and protein degradation [xref_bibr].,moreover, c-myc expression is repressed by p53 via mirna xref_bibr.,it is also notable that both p53 and pten and pi3k pathways can directly regulate c-myc with p53 repressing c-myc transcription through direct binding to c-myc promoter 23, while downstream pi3k pathway arms can modulate c-myc translation and protein degradation xref_bibr, xref_bibr.","pmc5029644,pmc3570527,pmc4051433",3,10,5,1,35
1393,jak2,protein,,jak2,up,o60674,,,egfr,protein,,3236.0,uniprot,p00533,,,positive,i,phosphorylation,,,,,,"0.98922,0.99662439,0.65","indra,indra,indra","we found that egfr signaling was blocked by a small molecule (g5-7) that selectively inhibited janus kinase 2 (jak2)–mediated phosphorylation and activation of egfr and stat3 (signal transducer and activator of transcription 3) by binding to jak2, thereby decreasing the activity of downstream signaling by mtor (mammalian target of rapamycin) and inducing cell cycle arrest.,jak2 directly phosphorylates egfr on tyr 1068 in the kinase domain, stimulating its activity ( xref ).,jak2 overexpression increased the phosphorylation of egfr at tyr 1068, whereas it had no effect on egfr tyr 1045 phosphorylation.","pmc4772155,pmc4772155,pmc4772155",3,10,5,1,35
1535,mdm4,protein,,mdm4,uniprot,o15151,,,tp53,protein,,11998.0,uniprot,p04637,,,negative,i,inhibition,,,,,,"0.65,0.65,0.8775000000000001","indra,indra,indra","although it remains to be studied if ngfr can also regulate p53 stability and activity in a negative feedback fashion in normal nerve systems, our findings demonstrate that cancer cells hijack this anti-p53 activity of ngfr toward their growth advantage in a way similar to that for mdm2 and mdmx inactivation of p53 in cancers ( xref ; xref , xref ; xref ; xref ), as knockdown of ngfr markedly induced p53-dependent apoptosis and cytotoxicity as well as eliminated xenograft tumor growth ( xref – xref ).,xref_bibr the discovery of the mdm2 related gene, mdm4 (chromosome 1q32), which inhibits p53 transcription and enhances the ubiquitin ligase activity of mdm2, prompted the finding that the p53 pathway is also inactivated by the amplification of mdm4 in 4% of gbm with neither tp53 mutation nor mdm2 amplification.,via protein-protein interactions, mdm4 directly inhibits p53 by binding to its transcription activation and dna binding domain ( xref , xref ).","pmc4943851,pmc3201112,pmc7724090",3,10,3,1,33
788,egfr,protein,,egfr,up,p00533,,,stat3,protein,,11364.0,uniprot,p40763,,,positive,i,phosphorylation,,,,,,"0.9419,0.65,0.8775000000000001","indra,indra,indra","however, re-expression of shrna-resistant trim59 y218f/q221a mutant did not restore egfrviii-induced stat3 phosphorylation or target gene expression ( xref and xref ), suggesting that the y218/q221 sites are critical for trim59 interaction with stat3.,egfr signaling inhibition caused a decrease of phosphorylation of p-stat3 in case 2 and c-csc3, conversely in p-csc1 and p-csc3 the levels of p-stat3 were unmodulated, suggesting a mechanism of resistance to egfr tki treatment in these cases.,activation by il6 is mediated by members of the jak kinase family; the tyrosine kinases egfr and src can directly phosphorylate stat3.","pmc5882560,pmc4235989,pmc3279943",3,10,3,1,33
772,egfr,protein,,egfr,uniprot,p00533,,,src,protein,,11283.0,uniprot,p12931,,,positive,i,activation,,,,,,"0.65,0.65,0.65","indra,indra,indra","src is activated by egfr and induces the gene expression of factors necessary for the maintenance of gscs, such as sox1, c–x–c chemokine receptor type 4 (cxcr4), distal-less (dll) protein, and neurogenic locus notch homolog protein 3 (notch3), through the phosphorylation of stat3 [ xref ].,egfr phosphorylation activates the pi3k/akt, mapk, and src signaling pathways involved in cell proliferation, metastasis, and survival [89].,second, egfr activates c-src, which in turn results in tyrosine-phosphorylation of nuclear cic that is not dna bound, promoting its nuclear export ( xref ).","pmc5762355,pmc8260465,pmc8456748",3,10,3,1,33
