index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
1355,il6,protein,,il6,uniprot,p05231,,,stat3,protein,,11364.0,uniprot,p40763,,,positive,i,activation,,,,,,"0.65,0.86,0.65,0.65,0.8775000000000001,0.98922,0.65,0.65,0.957125,0.9804,0.8775000000000001,0.65,0.65,0.951,0.8775000000000001,0.65,0.65","indra,indra,indra,indra,indra,indra,indra,indra,indra,indra,indra,indra,indra,indra,indra,indra,indra","finally, quercetin, a chemopreventive flavonoid is also a potent inhibitor of the il-6/stat3 signaling pathway in gb cells [ xref ], resulting in the reduction of glycoprotein 130, jak1, and stat3 activation by il-6.,since tnfalpha and particularly il-6 are potent activators of stat3, we tested whether treatment with sm activates stat3 signaling in gscs.,specific to gbm, jonathan et al., showed that quercetin treatment significantly decreased the il-6 mediated stat3 activation in u87 and t98g cell lines in a concentration dependent manner [xref_bibr].,indirect reduction of stat3 by il-6 targeting has been shown to decrease survival in gbm stem-cells [xref_bibr].,similarly, glioma associated human msc increased proliferation and self-renewal of gsc in vitro and increased their in vivo tumorigenicity by secreting interleukin-6, which activates stat3 in gsc [xref_bibr].,therefore, we examined the impact of il-6 induced activation of stat3 on trim8 expression.,il-6-activated stat3 bound to the promoter of b7-h4 gene and enhanced b7-h4 expression.,il-6 is a physiological activator of c/ebpbeta and stat3 that was found by us to upregulate rtvp-1 expression in a stat3 dependent manner.,these effects are mediated by ga-hmsc-secreted interleukin-6, which activates stat3 in gscs.,next, we investigated whether foxm1 affects stat3 activation by egf or il-6 in gscs, since stat3 is a common node in multiple stem cell maintenance pathways, including egf and il-6, both of which promote self-renewal and tumorigenic potential of gscs by activating stat3 ( xref ).,both il-6 and bmx can activate transcription factor stat3, which drives gsc proliferation and maintenance xref_bibr, xref_bibr.,this is significant because while not all tumors overexpress activated stat3, il-6 secreted in the microenvironment may be able to activate stat3 and lll12 can block that activation and inhibit the pro tumorigenic effects of stat3.,in m1 acute myeloid leukemia cells, the pleiotropic cytokines il-6 and lif, which activate stat3, promote growth arrest and terminal differentiation of leukemic cells [xref_bibr].,consistently, we demonstrate that sil-6r enhances il-6-induced stat3 activation in macrophages ( xref ).,m2 tams induce the proliferation of cscs via interleukin 6 (il-6)-induced activation of stat3, leading to cytokine release and positive feedback contributing to csc renewal.,the same authors showed that the increased secretion of il-6 in resistant gbm promotes the transcription of snail by targeting stat3.,in addition, odz10117 also effectively inhibited il-6-induced stat3 activation in glioblastoma and primary glioblastoma cell lines expressing lower level of active-stat3 ( xref d and xref ), and the inhibitory efficacy of odz10117 with the known stat3 inhibitors and ag-490 was similar to that of glioblastoma and primary glioblastoma cell lines expressing higher levels of active stat3 ( xref e and xref ).","pmc6912524,pmc6399311,pmc5955138,pmc5863989,pmc5796096,pmc5332279,pmc4891287,pmc4673191,pmc4509942,pmc4452436,pmc4280176,pmc3079737,pmc2712135,pmc8809483,pmc8392691,pmc8319838,pmc7140655",17,100,40,1,1740
879,ezh2,protein,,ezh2,up,q15910,,,stat3,protein,,11364.0,uniprot,p40763,,,positive,d,methylation,,,,,,"0.65,0.8775000000000001,0.65,0.9499940951,0.9804,0.65,0.923,0.65","indra,indra,indra,indra,indra,indra,indra,indra","in glioma cells, ezh2 binds to and methylates stat3, leading to enhanced stat3 activity by increased tyrosine phosphorylation of stat3, especially in gsc [xref_bibr].,interestingly, ezh2 also methylates and regulates stat3 in gbm-sc which further suggests a tight coordination between stat3 and h3k27 trimethylation [xref_bibr].,as a consequence of their interaction, ezh2 trimethylates stat3 on k180, which kim and colleagues found to be essential for stat3 activation in gscs and gbm xenografts.,here we show that ezh2 binds to and methylates stat3, leading to enhanced stat3 activity by increased tyrosine phosphorylation of stat3.,in contrast to k180 stat3 methylation by ezh2, k140 methylation can be viewed as a negative event for stat3 signaling cascade.,in contrast to k180 stat3 methylation by ezh2, k140 methylation can be viewed as a negative event for stat3 signaling cascade.,furthermore, ezh2 binds to and methylates stat3, leading to augmented stat3 activity via upregulation of tyrosine phosphorylation of stat3 [64].,it was further established that k140 methylation functions as a negative influence in the stat3 signaling cascade which is directly opposite to k180 stat3 methylation by ezh2 [64].","pmc5716734,pmc5383422,pmc3706087,pmc4109796,pmc4109796,pmc4109796,pmc8566080,pmc8566080",8,100,40,1,840
1365,il6,protein,,il6,up,p05231,,,stat3,protein,,11364.0,uniprot,p40763,,,positive,i,phosphorylation,,,,,,"0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.86","indra,indra,indra,indra,indra,indra,indra,indra","il-6 overexpression is also commonly observed in gbs and demonstrated to induce stat3 phosphorylation at tyr-705 through the hexameric receptor complex il-6rα binding [10,36].,inhibition of il-6 has been found to decrease the level of stat3 phosphorylation, followed by downregulation of cyclin d1 [xref_bibr].,as shown in xref_fig, il-6 treatment up-regulated phosphorylation of stat3 and b7-h4 levels in bv2 cells in a dose and gradient dependent manner, and 25 ng/ml and 24 hr were suitable dosage and time point.,it has been shown that il-6 activates the jak-stat3-pathway [xref_bibr, xref_bibr], that stat3 is phosphorylated in response to il-6, and that stat3 enhances cellular proliferation and stemness [xref_bibr].,recently, this autocrine mechanism was demonstrated in human lung cancer cells secreting il-22- [xref_bibr] and il-6- [xref_bibr] induced stat3 phosphorylation, thus contributing to the pathogenesis of lung adenocarcinoma and formation of pleural effusion.,the tagged stat3 was phosphorylated normally in response to egf and interleukin-6 (il-6), potent inducers for py-stat3.,we found that lll12 was able to completely block the phosphorylation of stat3 caused by il-6 treatment (xref_fig).,in addition to promoting the infiltration of immune cells into the tumor [xref_bibr], il-6 has also been reported to enhance stat3 phosphorylation, which increases anti-apoptosis of tumor cells; specifically, overexpressed il-6 has been identified as a marker of malignancy in gbm [xref_bibr].","pmc6912524,pmc5762355,pmc4891287,pmc4509942,pmc4368808,pmc4109796,pmc3079737,pmc8319838",8,100,40,1,840
263,bmx,protein,,bmx,uniprot,p51813,,,stat3,protein,,11364.0,uniprot,p40763,,,positive,i,activation,,,,,,"0.65,0.8775000000000001,0.65,0.98922,0.982423455","indra,indra,indra,indra,indra","ibrutinib markedly disrupts the bmx mediated stat3 activation in gscs but shows minimal effect on neural progenitor cells (npcs) lacking bmx expression.,both il-6 and bmx can activate transcription factor stat3, which drives gsc proliferation and maintenance xref , xref .,the ubiquitous nature of stat3 has made it a difficult target for therapeutics, but the bone marrow x linked kinase (bmx), which associates with and activates stat3, does show significantly increased expression in cscs as compared to the bulk of gbm tumor cells.,bmx activates stat3 in glioblastoma stem cells.,thus, it is enticing to believe that il6r-mediated signaling may activate bmx that in turn activates stat3.","pmc6431250,pmc4280176,pmc3269658,pmc3279943,pmc3076106",5,100,40,1,540
1151,hgf,protein,,hgf,uniprot,p14210,,,met,protein,,7029.0,uniprot,p08581,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.98922,0.86","indra,indra,indra,indra,indra","using an orthotopic xenograft model of human glioma, lu et al. demonstrated that vegf suppresses hgf mediated c-met activation (which, as explained earlier, promotes tumor cell migration) [xref_bibr].,exogenous hgf rescued c-met pathway activity in the presence of tgf-beta.,animals bearing pre-established tumor xenografts expressing activated c-met were treated with either neutralizing anti- hepatocyte growth factor (hgf) monoclonal antibody l2g7 or with the c-met kinase inhibitor pf2341066 (crizotinib).,a possible explanation for this intriguing phenomenon is that short-term exogenous activation of c-met by hgf triggers fast oncogene addiction that renders tumors dependent on c-met ( xref ).,c-met activation by hgf treatment also significantly induced cell cycle progression in all tested cells.","pmc5765207,pmc5870582,pmc3612837,pmc3602223,pmc3278215",5,100,40,1,540
881,ezh2,protein,,ezh2,up,q15910,,,stat3,protein,,11364.0,uniprot,p40763,,,positive,i,methylation,,,,,,"0.65,0.65,0.65,0.86,0.65","indra,indra,indra,indra,indra","kim et al. stated that akt-mediated phosphorylation at s21 in ezh2 facilitated stat3 methylation, resulting in increased tyrosine phosphorylation and activation of stat3 in the gscs xref , xref .,in this issue of cancer cell, kim and colleagues discover that ezh2 enhances stat3 activation by trimethylating lysine180 in stat3 and does so preferentially in glioma stem like cells.,this is incontrast to ezh2 mediated methylation of roralpha or gata4 or set9 mediated stat3 k140 dimethylation, as these methyl group modifications result in a decrease in transcriptional activity of the modified protein.,overexpression of ezh2 s21d induced stat3 methylation and enhanced stat3 activity, suggesting that ezh2 s21 phosphorylation is a molecular switch that facilitates stat3 methylation.,ezh2 phosphorylation at serine 21 enhances stat3 methylation and activation.","pmc5332878,pmc3706087,pmc3706087,pmc4109796,pmc4109796",5,100,40,1,540
874,ezh2,protein,,ezh2,uniprot,q15910,,,stat3,protein,,11364.0,uniprot,p40763,,,positive,i,activation,,,,,,"0.65,0.86,0.9816495,0.65,0.65","indra,indra,indra,indra,indra","moreover, il-6, bone marrow x linked nonreceptor tyrosine kinase, and ezh2 activate stat3 signaling to maintain self-renewal and tumorigenic potential of gscs, confirming the importance of stat3 signaling in gscs.,in this issue of cancer cell, kim and colleagues discover that ezh2 enhances stat3 activation by trimethylatinglysine 180 in stat3 and does so preferentially in glioma stem like cells.,ezh2 targeting decreases stat3 activation in gscs.,in conclusion, we demonstrate that ezh2 binds to and methylates stat3, thereby enhancing stat3 activity in gscs.,overexpression of ezh2 s21d induced stat3 methylation and enhanced stat3 activity, suggesting that ezh2 s21 phosphorylation is a molecular switch that facilitates stat3 methylation.","pmc4452436,pmc3706087,pmc4109796,pmc4109796,pmc4109796",5,100,40,1,540
1075,gja1,protein,,gja1,uniprot,p17302,,,src,protein,,11283.0,uniprot,p12931,,,negative,i,inhibition,,,,,,"0.65,0.86,0.65,0.951,0.957125","indra,indra,indra,indra,indra","it should be mentioned that the 274-291 cx43 sequence does not recruit c-src together with its inhibitors, pten and csk, and consequently does not reduce src activity with the subsequent reversion of the gsc phenotype in glins2 gscs.,collectively, these data indicate that the interaction of cx43 with c-src reduces c-src activity; therefore, these proteins are mutually regulated by a phosphorylation and dephosphorylation loop.,whist pelaz and her colleagues have uncovered how tat-cx43 266–283 alters metabolic adaptation in dormant gscs, it remains elusive whether this activity depends on cx43-formed hemichannels or gjic or whether tat-cx43 266–283 inactivates c-src independent of cx43-channels.,the reduced ability of tat-cx43 266-283 -treated gscs to survive in metabolically challenging settings, such as those with restricted nutrient availability or the ever-changing in vivo environment, allows us to conclude that the advantageous metabolic plasticity of gscs can be therapeutically exploited through the specific and cell-selective inhibition of c-src by tat-cx43 266-283 .,we propose that cx43, through the region 266-283, reduces src activity, leading to disruption of egf and fgf-2 signaling and to down-regulation of beta-catenin with effects on proliferation and differentiation.","pmc5549880,pmc5226550,pmc7823208,pmc7708820,pmc7700635",5,100,40,1,540
233,bmp2,protein,,bmp2,uniprot,p12643,,,hif1a,protein,,4910.0,uniprot,q16665,,,negative,i,inhibition,,,,,,"0.65,0.65,0.923,0.65","indra,indra,indra,indra","more specifically , bone morphogenetic protein-2 ( bmp2 ) promotes hif-1alpha downregulation by inhibiting fkbp38-mediated degradation of proline hydroxylase 2 , which is involved in hif-1alpha proline hydroxylation and ensuing proteasomal degradation [ 68 ] .,others have similarly found that hif-1alpha downregulation by bmp2 may increase the responsiveness of gbm cells to temozolomide [ 44 ] .,as a confirm, bmp2 and tmz treatment almost abrogated hif-1alpha protein (xref_fig) and reduced the expression of its downstream target genes vascular endothelial growth factor (vegf) and carbonic anhydrase 9 (caix).,as redd1 is transcriptionally activated by hif-1alpha xref_bibr, we investigated if bmp2 besides modulating hif-1alpha protein, promoted also inhibition of hif-1alpha transcriptional activity, by using a hypoxia responsive element (hre)-luciferase reporter construct.","pmc6316532,pmc5951876,pmc3481140,pmc2702690",4,100,40,1,440
1058,gatd3b,protein,,,uniprot,p30042,,,notch1,protein,,7881.0,uniprot,p46531,,,positive,i,activation,,,,,,"0.65,0.65,0.65","indra,indra,indra","the interference of notch1 target hes1 affects cell growth, differentiation and invasiveness of glioblastoma stem cells through modulation of multiple oncogenic targets.,in human glioblastoma, the brat ortholog trim3 suppresses notch1 target hes1, suggesting an effect on notch signaling.,the notch1 pathway was investigated in more detail in three cases and surprisingly we found that notch1 target hes1 protein was not down modulated by notch inhibition.","pmc5392293,pmc4873416,pmc4235989",3,100,40,1,340
