index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
766,egfr,protein,,egfr,uniprot,p00533,,,pten,protein,,9588.0,uniprot,p60484,,,positive,i,activation,,,,,,"0.86,0.65,0.65,0.65,0.65","indra,indra,indra,indra,indra","however, hmox1 expression was abrogated (~ 4-fold and ~ 1.5-fold respectively) when egfr or egfrviii isogenic cell lines also overexpressed the tumor suppressor pten (xref_fig).,using a reproducible genetically engineered mouse model of egfr driven cdkn2a -/-; pten -/- gbm, we previously demonstrated that egfr inhibition in gbm tumors leads to the rapid transcriptional activation of the c-met gene and ensuing expression of an active met receptor both in vivo and in vitro [xref_bibr].,mtorc1 appears to be an effector of egfr inhibitor resistance through pten loss or rtk activation [xref_bibr] and, as previously discussed, dual egfr and mtor inhibition was effective at targeting egfr activated pten deficient tumors [xref_bibr].,preclinical studies demonstrate that dual egfr and mtor inhibition is effective at targeting egfr activated pten deficient tumors.,indeed, preclinical studies have demonstrated that dual egfr and mtor inhibition was effective at targeting egfr activated pten deficient tumours [xref_bibr - xref_bibr].","pmc5053103,pmc4442493,pmc3821381,pmc4772155,pmc4104813",5,10,19,1,69
2784,tp53,protein,,tp53,uniprot,p04637,,,myc,protein,,7553.0,uniprot,p01106,,,positive,i,activation,,,,,,"0.65,0.65,0.65,0.65","indra,indra,indra,indra","it is also notable that both the p53 and pten and pi3k pathways can directly regulate c-myc, with p53 repressing c-myc transcription by directly binding to the c-myc promoter, whereas downstream pi3k pathway arms can modulate c-myc translation and protein degradation [xref_bibr].,xref_bibr, xref_bibr it was also shown that disruption of p53, together with inactivation of pten, enhanced self-renewal and impeded differentiation capacity of neural stem cells and gbm cscs by elevating c-myc activity.,to further elucidate and mimic the features of human astrocytoma, we developed a mouse model employing mature primary astrocytes deficient for p53 that overexpress c-myc, myristoylated (myr), i.e. constitutively active akt or both c-myc and myr-akt, respectively.,it is also notable that both p53 and pten and pi3k pathways can directly regulate c-myc with p53 repressing c-myc transcription through direct binding to c-myc promoter 23, while downstream pi3k pathway arms can modulate c-myc translation and protein degradation xref_bibr, xref_bibr.","pmc5029644,pmc4076028,pmc3570527,pmc4051433",4,10,19,1,59
2091,pten,protein,,pten,uniprot,p60484,,,src,protein,,11283.0,uniprot,p12931,,,negative,i,inhibition,,,,,,0.65,indra,"to confirm that the recruitment of pten and csk to the sequence of cx43 containing residues 266-283 is sufficient to inhibit c-src and its downstream pathway, we tested the effect of the peptide tat-cx43-266-283 on g166 human glioblastoma stem cells (gscs) [xref_bibr].",pmc5226550,1,10,20,1,30
2774,tp53,protein,,tp53,uniprot,p04637,,,mdm2,protein,,6973.0,uniprot,q00987,,,negative,i,inhibition,,,,,,0.65,indra,"genetically, disruption of the tp53 gene completely rescues the lethal phenotype of mdm2 knockout mice.",pmc4943851,1,10,20,1,30
2092,pten,protein,,pten,uniprot,p60484,,,src,protein,,11283.0,uniprot,p12931,,,positive,i,activation,,,,,,0.65,indra,"the inhibition of c-src activity promoted by pten and csk would collaborate with tc-ptp to terminate this pathway, which is required to recycle cx43 [xref_bibr].",pmc5226550,1,10,20,1,30
83,ar,protein,,ar,uniprot,p10275,,,myc,protein,,7553.0,uniprot,p01106,,,positive,i,increaseamount,,,,,,0.65,indra,"ar blockade can significantly downregulate c-myc protein levels in gbm cells both in vitro and in vivo (figures 2 and 6) with known cellular functions of c-myc in cell proliferation and glycolysis in glioblastomas (74, 75).",pmc8175980,1,10,19,1,29
2425,spry2,protein,,spry2,uniprot,o43597,,,egfr,protein,,3236.0,uniprot,p00533,,,positive,i,activation,,,,,,0.65,indra,"in both cell backgrounds, the overexpression of spry2 promoted resistance to egfr and met inhibition and egfr, met, and fgfr inhibition (xref_fig), even with similar suppression of erk phosphorylation.",pmc7724645,1,10,19,1,29
2089,pten,protein,,pten,uniprot,p60484,,,skp2,protein,,10901.0,uniprot,q13309,,,positive,i,increaseamount,,,,,,0.65,indra,"pten has been determined to increase protein stability of p27/kip1 by reducing skp2 levels [41]: there is the possibility that pten genetic alterations, which are common in gbm, are responsible for increased and reduced levels of skp2 and p27/kip1, respectively [40].",pmc8260465,1,10,19,1,29
2093,pten,protein,,pten,uniprot,p60484,,,tp53,protein,,11998.0,uniprot,p04637,,,negative,i,inhibition,,,,,,0.65,indra,"expression of nicd2 increases levels of pten, which negatively regulates akt activity, and p53 independent of radiation exposure, suggesting that the activities of these two proteins may not be directly involved in radioprotective functions of notch.",pmc2825687,1,10,19,1,29
2424,spry2,protein,,spry2,uniprot,o43597,,,egfr,protein,,3236.0,uniprot,p00533,,,negative,i,inhibition,,,,,,0.65,indra,"knockdown of spry2 or c-jun did not significantly perturb baseline pmet, pegfr, or perk signals, ruling out the possibility that baseline differences in these pathways due to small interfering rna (sirna) transfection influenced cell death responses (xref_supplementary).",pmc7724645,1,10,19,1,29
2434,src,protein,,src,uniprot,p12931,,,bcl2,protein,,990.0,uniprot,p10415,,,negative,i,inhibition,,,,,,0.65,indra,"finally, we demonstrate that ecm components act to protect gbm cells from chemotherapy induced apoptosis through downstream, src mediated inhibition of bcl-2 family pro apoptotic factors.",pmc6813884,1,10,19,1,29
2433,src,protein,,src,uniprot,p12931,,,bcl2,protein,,990.0,uniprot,p10415,,,negative,i,decreaseamount,,,,,,0.65,indra,"in turn, activated src suppressed expression of the bcl-2 family of pro apoptotic factors in response to chemotherapies.",pmc6813884,1,10,19,1,29
2066,pten,protein,,pten,uniprot,p60484,,,akt1,protein,,391.0,uniprot,p31749,,,negative,i,inhibition,,,,,,0.65,indra,"loss of pten leads to the constitutive activation of akt1, which stimulates glucose uptake by enhancing glut4 expression and activating hk2.",pmc6415584,1,10,19,1,29
2538,stat3,protein,,stat3,uniprot,p40763,,,nes,protein,,7756.0,uniprot,p48681,,,positive,i,activation,,,,,,0.65,indra,"in contrast, knockdown of stat3 in sw1783-foxm1 and hs683-foxm1 cells abolished elevated expression of stem cell markers ssea-1, sox2, cd133, oct4 and nestin (xref_fig).",pmc4452436,1,10,19,1,29
2753,tp53,protein,,tp53,uniprot,p04637,,,cdkn1a,protein,,1784.0,uniprot,p38936,,,negative,i,inhibition,,,,,,0.65,indra,"they are ( 1 ) transcriptional activation of cell cycle inhibitor p21 ( react_346 ) pathway , where p21 is transcriptionally activated by tumor suppressor protein p53 after dna damage [ 22 ] ; ( 2 ) dna damage / telomere stress induced senescence ( react_169185 ) .",pmc7825621,1,10,19,1,29
2795,tp53,protein,,tp53,uniprot,p04637,,,pten,protein,,9588.0,uniprot,p60484,,,negative,i,decreaseamount,,,,,,0.65,indra,"for example, positive feedback between p53 and pten has been reported, where the latter blocks p53 degradation and this induces pten expression [58].",pmc8260465,1,10,19,1,29
2796,tp53,protein,,tp53,uniprot,p04637,,,pten,protein,,9588.0,uniprot,p60484,,,negative,i,inhibition,,,,,,0.65,indra,"the choice of these mutations was based on the high prevalence of p53 pathway inactivation and loss of pten, while braf v600e , a rare mutation in adult gbm and common in the pediatric tumors, represent powerful co-activation of the pi3k/akt and mapk/erk signal transduction pathways.",pmc5321610,1,10,19,1,29
2087,pten,protein,,pten,uniprot,p60484,,,pdgfra,protein,,8803.0,uniprot,p16234,,,positive,i,increaseamount,,,,,,0.65,indra,"in this study, we demonstrated that pdgf stimulation and tumor suppressor pten and p53 deletion cooperate to induce pdgfralpha expressing adult glial progenitors to form gbm like brain tumors.",pmc3100315,1,10,19,1,29
1901,pdpk1,protein,,pdpk1,uniprot,o15530,,,pten,protein,,9588.0,uniprot,p60484,,,positive,i,activation,,,,,,0.65,indra,"a model has been proposed for activation of pkc by pdk1, 48 and unlike its interaction with pkb and akt, pdk1 has been shown to activate pkc independently of pten and 3 '-phosphoinositides.",pmc4047898,1,10,19,1,29
97,ascl1,protein,,ascl1,uniprot,p50553,,,dkk1,protein,,2891.0,uniprot,o94907,,,positive,i,activation,,,,,,0.923,indra,"we show that wnt activation is mediated through dkk1, a secreted wnt inhibitor that is directly repressed by ascl1.",pmc3774301,1,10,19,1,29
779,egfr,protein,,egfr,uniprot,p00533,,,tp53,protein,,11998.0,uniprot,p04637,,,positive,i,activation,,,,,,0.65,indra,"the tcga studies also revealed that the molecular abnormalities in gbm preferentially align in certain pathways including the activation of the epidermal growth factor receptor (egfr) along with other tyrosin kinase receptors initiated signaling pathways, the tumor protein 53 (tp53) and retinoblastoma (rb1) pathways [xref_bibr - xref_bibr].",pmc7471193,1,10,19,1,29
98,ascl1,protein,,ascl1,uniprot,p50553,,,notch1,protein,,7881.0,uniprot,p46531,,,positive,i,activation,,,,,,0.65,indra,"the expression levels of ascl1 and sp3 are higher in tics than non-tics, negatively modulating notch1.",pmc6292929,1,10,19,1,29
99,ascl1,protein,,ascl1,uniprot,p50553,,,notch1,protein,,7881.0,uniprot,p46531,,,positive,i,increaseamount,,,,,,0.65,indra,"cbl0137 treatment in sclc prevents sp3 binding to the notch1 promoter, decreases achaete-scute homolog-1 (ascl1) expression, increases the mrna expression of notch1, and inhibits csc renewal.",pmc6292929,1,10,19,1,29
453,cdkn1a,protein,,cdkn1a,uniprot,p38936,,,cdkn1b,protein,,1785.0,uniprot,p46527,,,negative,i,inhibition,,,,,,0.65,indra,"a major activator of g1/s transition is akt, which plays a role in the regulation of g1/s transition inhibitors such as p21 and p27 [xref_bibr, xref_bibr].",pmc5042015,1,10,19,1,29
461,cdkn1a,protein,,cdkn1a,uniprot,p38936,,,stat3,protein,,11364.0,uniprot,p40763,,,negative,i,inhibition,,,,,,0.65,indra,stat3 is inhibited by the up-regulation of p21 that results from the mir-100-mediated down-regulation of smrt and/or smarca5.,pmc7502994,1,10,19,1,29
462,cdkn1a,protein,,cdkn1a,uniprot,p38936,,,tp53,protein,,11998.0,uniprot,p04637,,,negative,i,inhibition,,,,,,0.65,indra,"while leukemic cells were treated with combination of saha and decitabine (dac), a methyltransferase inhibitor, p53 dependent apoptosis is triggered by the upregulation of puma and p21 in cml-t1 cells, and p53 independent apoptosis is triggered by inhibition of survivin and upregulation of p21 in hl-60 cells.",pmc5116136,1,10,19,1,29
771,egfr,protein,,egfr,uniprot,p00533,,,spry2,protein,,11270.0,uniprot,o43597,,,negative,i,decreaseamount,,,,,,0.65,indra,"analyses of tumor lysates demonstrated that the three-drug combination of egfr, met, and fgfr inhibitors suppressed akt and erk phosphorylation, as well as spry2 expression, more than the two-drug combination of egfr and met inhibitors (xref_fig).",pmc7724645,1,10,19,1,29
786,egfr,protein,,egfr,up,p00533,,,spry2,protein,,11270.0,uniprot,o43597,,,negative,i,dephosphorylation,,,,,,0.65,indra,"analyses of tumor lysates demonstrated that the three-drug combination of egfr, met, and fgfr inhibitors suppressed akt and erk phosphorylation, as well as spry2 expression, more than the two-drug combination of egfr and met inhibitors (xref_fig).",pmc7724645,1,10,19,1,29
1883,pdgfb,protein,,pdgfb,uniprot,p01127,,,nes,protein,,7756.0,uniprot,p48681,,,positive,i,activation,,,,,,0.65,indra,"in this model, the tumor initiating cell is a pdgf-b producing nestin positive stem cell that can recruit opcs into the tumor environment, opcs which can then develop sufficient mutations to be independently tumorgenic.",pmc3543775,1,10,19,1,29
1079,gli1,protein,,gli1,uniprot,p08151,,,mdm2,protein,,6973.0,uniprot,q00987,,,positive,i,activation,,,,,,0.65,indra,"upstream of gli1, constitutively activated smoothened mutants upregulate mdm2, which then represses p53 tumor suppression activity [xref_bibr].",pmc6007474,1,10,19,1,29
1186,hif1a,protein,,hif1a,uniprot,q16665,,,met,protein,,7029.0,uniprot,p08581,,,positive,i,increaseamount,,,,,,0.65,indra,"along the same line, c-met transcription is activated by hif-1alpha, which results in enhanced cell invasion upon activation by hepatocyte growth factor (hgf) [xref_bibr].",pmc5467280,1,10,19,1,29
1198,hif1a,protein,,hif1a,uniprot,q16665,,,stat3,protein,,11364.0,uniprot,p40763,,,negative,i,inhibition,,,,,,0.65,indra,these results indicate that hif-1alpha in hypoxic tumor cells may be required to repress convergent signals (smad1/5/8 and stat3) directed to promote an astroglial fate.,pmc2702690,1,10,19,1,29
1578,met,protein,,met,uniprot,p08581,,,tp53,protein,,11998.0,uniprot,p04637,,,positive,i,activation,,,,,,0.65,indra,prima-1 met induced activation of p53 without increase in p21 or significant changes in mgmt protein levels in mgmt-positive 48ef gscs.,pmc5312382,1,10,19,1,29
1669,myc,protein,,myc,uniprot,p01106,,,cdkn1a,protein,,1784.0,uniprot,p38936,,,positive,i,activation,,,,,,0.65,indra,"mapk signaling activates c-myc, which binds the miz-1 transcriptional repressor to block p21 gene induction, xref_bibr, xref_bibr while akt impacts on p53 function by phosphorylation of mdm2, xref_bibr - xref_bibr in addition to the direct inhibition of p21.",pmc3201112,1,10,19,1,29
1682,myc,protein,,myc,uniprot,p01106,,,tp53,protein,,11998.0,uniprot,p04637,,,positive,i,activation,,,,,,0.923,indra,"the arf and p53 pathway is activated by unphysiologically high levels of c-myc which leads to apoptosis xref_bibr, g 2 arrest of fibroblasts xref_bibr and represses c-myc xref_bibr.",pmc3570527,1,10,19,1,29
2936,vegfa,protein,,vegfa,uniprot,p15692,,,epha2,protein,,3386.0,uniprot,p29317,,,positive,i,increaseamount,,,,,,0.65,indra,"vm is dependent on the autocrine production of vegf-a in melanoma; while, in ovarian cancer cells, vegf-a treatment promotes vm by upregulating the expression of ve-cadherin, epha2, and mmp2 and mmp9, demonstrating that vegf-a can stimulate tumor cell plasticity.",pmc3354024,1,10,19,1,29
