index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
433,gimatecan,compound,,,pubchem,9869957,,,p38 mapk,protein,,mapk14,uniprot,q16539,cytoplasm,go:0005737,negative,d,suppression,,,gastric cancer cells,stomach,human,['776'],nan,nan,"for the first time, we have shown that the antitumor activity of gimatecan in gc via suppressing akt and erk pathway and activating jnk2 and p38 mapk pathway, which indicated that gimatecan might be an alternative to irinotecan in the treatment of gc.",pmc5729429,1,100,40,1,140
446,growth factors,protein,,,,,,,ras,protein,,,,,cytoplasm,go:0005737,positive,d,activation,,rle cells,epithelial,lung,rat,['810'],nan,nan,"growth factors activate not only the ras—erk pathway but also pi3k—akt signaling [31]. tgf- β also induces both the ras—erk pathway and pi3k—akt signaling as non-smad signaling [16, 17]. to determine whether only the ras—erk pathway or whether both the ras—erk pathway and pi3k—akt signaling are responsible for the fgf2-caused suppression of emt, we analyzed the effects of inhibitors of these signaling pathways in rle cells. treatment of the cells with the mek inhibitor u0126 recovered the stress fiber-associated αsma expression that was suppressed by fgf2 stimulation (fig 2a). u0126 treatment also restored the ratio of αsma-expressing cells nearly to the ratio induced by tgf- β 1 (fig 2b). in contrast, treatment with the pi3k inhibitor ly294002 had no detectable effect on fgf2-caused suppression of αsma expression (fig 2a and 2b). consequently, fgf2-induced strong and sustained activation of the ras—erk pathway (see fig 1b) but not pi3k—akt signaling hinders emt. we also tried to evaluate the effects of tgf- β 1-induced weak and transient activation of the ras—erk pathway and pi3k—akt signaling on emt by adding u0126 and ly294002, respectively. however, addition of either inhibitor together with tgf- β 1 treatment resulted in extensive apoptosis. thus, we could not estimate the effects on these signaling pathways (data not shown, see discussion).",pmc4440819,1,100,40,1,140
467,histone deacetylases,protein,,,fplx,hdac,,,p53,protein,,tp53,uniprot,p04637,,,negative,i,suppression,,,colorectal cancer,,human,['143'],nan,nan,"recently, histone deacetylases have been reported to be up-regulated in cancer cells and lead to suppression of tumor suppressor gene expression such as p53 by a post-translational modification.25 the combination of selumetinib and vorinostat, a histone deacetylase inhibitor, was evaluated in kras mutant colorectal cancer.26 the treatment with selumetinib plus vorinostat induced a synergistic antiproliferative activity against kras mutant colorectal cancer cell lines by the mechanism of apoptosis, cell-cycle arrest, and reduced cellular migration and vegf-a secretion in vitro and in vivo.26",pmc4179759,1,100,40,1,140
1100,ras pathway,pathway,,,,,,,braf,protein,,braf,uniprot,p15056,,,positive,i,activation,,,,colorectal cancer,human,['306'],nan,nan,"colorectal cancer (crc) is the second leading cause of deaths from cancer in the united states1. genetic analysis of crc has recently led to a wealth of information concerning the initiation and development of crc that may help improve our ability to treat this disease2,3. activation of the ras pathway is likely a key driver of tumorigenesis as evidenced by the fact that activating mutations of kras or braf are frequently seen in many cancers (~50% of crcs)3–6. although most crc tumors (80%) are thought to be initiated through dysregulation of the wnt pathway, crc tumors with activated kras/braf/mek/erk appear to be associated with poor outcomes7,8 and are difficult to treat.",pmc6006154,1,100,40,1,140
456,h-rasv12,protein,,,uniprot,,,,stat3,protein,,stat3,uniprot,p40763,mitochondria,go:0005739,positive,d,phosphorylation,s727,,,,,['17'],nan,nan,h-rasv12 transformation requires the mek-erk pathway and s727 phosphorylation of mitochondrial stat3.,pmc3843736,1,100,40,1,140
455,h-rasv12,protein,,hras,uniprot,p01111,plasma membrane,go:0005886,stat3,protein,,stat3,uniprot,p40763,nucleus,go:0005634,positive,d,phosphorylation,,mefs,fibroblast-like,mouse liver,mouse,['12'],nan,nan,"(a) protein extracts from mefs transformed with h-rasv12 (v12) or h-rasv12 effector domain mutants (35s or 40c) were resolved by 10% sds-page, transferred to pvdf membranes and probed with phospho-specific antibodies against py705 stat3 (py stat3), ps727 stat3 (ps stat3), py204 erk (perk), ps473 akt (pakt), or total stat3, erk, akt and tubulin, as indicated. protein lysate from mouse liver 4 h following an injection with 30µg of lipopolysaccharide was used as a positive control (+ve). (b) h-rasv12 transformed mefs were treated with dmso (unt), rapamycin (10nm), ly294002 (50µm) or pd0325901 (1µm) for 2 h. cell lysates were processed for immunoblotting and probed with phospho-specific antibodies against ps727 stat3 (ps stat3), pt389 p70 s6 kinase, py204 erk (perk), ps473 akt (pakt), or total stat3 and tubulin as loading controls. (c) h-rasv12 transformed mefs were treated with the indicated dose of pd0325901 or vehicle (dmso) for 2 h. cell lysates were processed for immunoblotting and probed with phospho-specific antibodies against ps727 stat3 (ps stat3), py204 erk (perk), ps473 akt (pakt), or total stat3 and total erk as loading controls. (d) n-ras transformed human thp-1 acute myelocytic leukemia cells were treated with the indicated doses of pd0325901 (nm) or vehicle (dmso) for 2 h prior to the preparation of cell lysates for immunoblotting. lysates were probed for the indicated proteins and phospho-proteins as described in panel (c).",pmc3843736,1,100,40,1,140
454,h-ras,protein,oncogene,hras,uniprot,p01112,plasma membrane,go:0005886,stat3,protein,transcription factor,stat3,uniprot,p40763,mitochondria,go:0005739,positive,d,transformation,soft agar,mefs,fibroblast,,mouse,['35'],nan,nan,"previous data have shown that strong constitutive activation of each of these pathways in isolation can transform mefs, but not as potently as activated h-ras. however, like the ras oncogenes themselves, activation of each individual pathway could not transform stat3-/- mefs [12]. as confirmed and expanded in this study, activation of the raf-mek-erk pathway in the absence of stat3 led to significantly fewer soft agar colonies compared to cells engineered to express mitochondrially restricted stat3 (figure 2a). moreover, cells expressing a mitochondrially restricted stat3 mutated to mimic phosphorylation at s727 (s727d) formed modestly but statistically significantly more colonies than those expressing wild type mitochondrial stat3. in contrast, limited cell transformation observed in the presence of activated pi3k was not increased by mitochondrial stat3, whether or not s727 phosphorylation was mimicked. these data demonstrate that the mitochondrial pool of stat3 can support transformation in cells with activated erk, but not pi3k.",pmc3843736,1,100,40,1,140
453,h-ras,protein,,hras,uniprot,p01112,plasma membrane,go:0005886,erk,protein,,mapk1,uniprot,p28482,cytoplasm,go:0005737,positive,d,phosphorylation,,stable cell lines,,,human,['11'],nan,nan,"to address this question, we employed h-ras mutants that selectively activate individual ras effector pathways [21,22]. activating mutations in ras (at codons 12, 13 or 61) lock it in a gtp bound (active) state, while a second mutation in the effector domain restricts ras signaling to a single downstream pathway (i.e., the 35s mutation restricts h-ras signaling to the raf-mek-erk pathway; and the 40c mutation signals through the pi3k pathway) [23,24]. we generated stable cell lines expressing mutant h-rasv12, h-rasv12/35s or h-rasv12/40c and confirmed that the h-ras mutations were activating the expected downstream kinase pathways. h-rasv12 activated both the raf-mek-erk pathway (as shown by the phosphorylation of erk) and the pi3k pathway (as shown by the phosphorylation of akt). h-rasv12/35s preferentially signaled through raf-mek-erk, inducing erk phosphorylation (figure 1a, lane 3), whereas h-rasv12/40c activated the pi3k-akt pathway, inducing akt phosphorylation but not erk phosphorylation (figure 1a, lane 4).",pmc3843736,1,100,40,1,140
452,h-ras,protein,,hras,uniprot,p01112,,,stat3,protein,,stat3,uniprot,p40763,mitochondria,go:0005739,positive,i,require,,,,,human,['29'],nan,nan,"activating mutations in h-ras occur in bladder, testicular and thyroid cancers, but are rare in other human cancers. the overall prevalence of h-ras mutation in cancer is small compared to k- and n-ras mutations [27]. mutant k- and n-ras are observed in approximately 20% of all human cancers, making them amongst the most prevalent activated proto-oncogenes. despite having 85% sequence identity, the distinct ras oncoproteins differ in both their level of expression and in a critical c-terminal hyper-variable region, which is subject to alternate farnesyl or palmitoyl lipidation controlling subcellular localization and signaling strength [28]. we previously showed that n-, k- and h-ras all require the mitochondrial activity of stat3 for transformation. because n-, k- and h-ras can all engage the raf-mek-erk pathway, it was of interest to test whether pathway activation was critical for mitochondrial stat3 s727 phosphorylation and transformation.",pmc3843736,1,100,40,1,140
451,h-ras,protein,,hras,uniprot,p01112,,,stat3,protein,,stat3,uniprot,p40763,mitochondria,go:0005739,positive,d,phosphorylation,s727,,,,,['26'],nan,nan,"the data described above document that h-ras activation of mek-erk signaling results in phosphorylation of stat3 on s727, and that the expression of a mitochondrially-restricted phospho-mimetic stat3 supports ras transformation. however, these data do not address directly the requirement of mitochondrial s727 phosphorylation in ras-transformation. if stat3 s727 phosphorylation is a critical mek-erk target, then inhibition of this pathway in h-rasv12 transformed cells should impede colony formation. moreover, if this phosphorylation event is a major erk pathway target, then mts-stat3s727d mutation might be expected to support cell transformation even in the presence of mek-erk inhibition. to test this hypothesis, we performed colony assays on a panel of h-rasv12 transformed cells expressing wild-type stat3, no stat3, mts-stat3 or mts-stat3 s/d in the presence of increasing titrating concentrations of the mek inhibitor, pd0325901.",pmc3843736,1,100,40,1,140
450,gsk525762,smallmolecule,inhibitor,,,,cytoplasm,go:0005737,kras,protein,,kras,uniprot,p01116,plasma membrane,go:0005886,negative,d,mutation,,cancer,,,,['1058'],nan,nan,"to identify genetic predictors of sensitivity or resistance to bet inhibitors we first examined the anti-proliferative activity of gsk525762 in ~230 cancer cell lines. hematologic cancer cell lines were highly sensitive (low growth ic50 values and net cell death) to gsk525762, whereas solid tumor models exhibited a wide range in sensitivity (gic50 13 nm to > 29.3 µm; partial, cytostatic, and cytotoxic responses), providing an opportunity to compare the genetic profiles of a large number of sensitive and resistant lines (fig. 1a, b, supplemental table s1). using publicly available data for 19,312 genes with protein-changing mutations, we performed unbiased analyses of genetic predictors of sensitivity or resistance to gsk525762 based on gic50 values. these analyses identified 634 genes with protein-changing mutations that correspond to resistance or sensitivity to gsk525762 (wilcoxon rank sum test p < 0.05; supplemental table s2, supplemental figure s1). notably, kras mutations were among the top five most significant (p = 0.0001) associations, with a clear enrichment of kras mutations among the more resistant cell lines (median gic50",pmc5908790,1,100,40,1,140
445,growth factor receptor,protein,,,,,plasma membrane,go:0005886,pi3k,protein,,,,,cytoplasm,go:0005737,positive,i,downstream signaling,,,cancer,,human,['712'],nan,nan,"signal transduction in response to growth factor receptor activation in tumors is a complex process that involves downstream signaling through the ras (reviewed in [1]) and pi3k (reviewed in [2]) signaling pathways. these pathways are among the best characterized in cancer biology, involve a network of protein and lipid kinases working in concert to regulate diverse biological outputs, and can be activated by multiple mechanisms including gene amplification and somatic mutation. understanding the role of these pathways in cancer biology has been enabled through the characterization of alterations in component pathway nodes including amplification of receptor tyrosine kinases like her and egfr, and genetic changes in pten, pik3ca, akt, kras and braf, all of which have been shown to contribute to the cancer phenotype. the ras and pi3k pathways are thought to work in parallel and/or through cross-talk such that optimal therapeutic benefit can be achieved only through inhibition of both pathways. as akt is a central node in the pi3k pathway and mek is a central node in the ras pathway, developing inhibitors of akt and mek is a strategy being pursued by the pharmaceutical industry [3].",pmc2911390,1,100,40,1,140
216,da-raf1,protein,,,uniprot,o96619,,,ras,protein,,rat3,uniprot,p01112,cytoplasm,go:0005737,negative,d,binds,,,skeletal muscle,skeletal muscle,,['518'],nan,nan,"culturing skeletal muscle myoblasts under mitogen-poor differentiation conditions leads to inactivation of the ras–erk pathway and, consequently, results in myocyte differentiation. however, the mechanisms of this inactivation of the ras–erk pathway have not been fully understood. the prominent induction of da-raf1 and its binding to ras under the differentiation condition and suppression of the ras–erk pathway by da-raf1 explain the mechanisms of this inactivation of the ras–erk pathway. the knockdown of da-raf by rnai interfered with erk activation and with myocyte differentiation under the differentiation condition. this implies that da-raf1 is indeed required for adequate inactivation of the ras–erk pathway for myocyte differentiation even under the mitogen-poor condition. we have unraveled the essential role of da-raf1 in skeletal muscle cell differentiation. likewise, scrutiny of the cellular and physiological functions of da-raf in other cell types or tissues, in which da-raf is highly expressed or highly induced under particular conditions, may lead to the elucidation of unexpected roles of this novel isoform of the raf family.",pmc2064279,1,100,40,1,140
1110,ras pathway genes,pathway,,,,,,,glut1,gene,,slc2a1,,,,,positive,d,upregulation,,dld-1 and rko cell lines,colorectal cancer,,human,['1041'],nan,nan,"a piggybac transposon screen in human crc cells identifies putative ras pathway genes. a, b gene trap as well as promoter-containing piggybac transposons can revert human crc cells deprived of their oncogenic ras pathway allele to survive growth in low glucose. co-transfection of dld-1 kraswt/- and rko brafwt/-/- cells with transposase (hypbase) and gene trapping (pb-gt) or promoter-containing (pb-cag-sd) transposon constructs was followed by selection in dmem with 0.4 mm l-glucose for three weeks. clones emerging after glucose deprivation were selected in hygromycin for 12 days to enrich clones with productive transposon integrations (in-frame gene trap or promoter insertion) and the surviving clones were stained and counted. mean and standard deviation (sd) from three independent experiments. c, d transposon mutagenesis and selection in low glucose results in upregulation of glut1, a phenotype of ras pathway activation in human crc cells. rt-pcr of glut1 in parental dld-1 and rko cells, their isogenic derivatives dld-1 kraswt/- and rko brafwt/-/- with single clones and clone pools derived from mutagenesis with gene trap (pb-gt) or promoter-containing (pb-cag-sd) transposons. mean rqs and δct ses as fold of dld-1 kraswt/- and rko brafwt/-/- from three replicates. the p < 0.05 values were calculated using student’s t-test where ****p < 0.0001, ***p < 0.001, **p < 0.01, *p < 0.05",pmc5755028,1,100,40,1,140
442,gp100,protein,,,uniprot,p40963,,,vegf,protein,,vegfa,uniprot,p15692,extracellular region,go:0005576,negative,i,inhibition,,,endothelial,tumor vessels,human,['531'],nan,nan,"in an adoptive t cell transfer (act) model, frequencies of gp100 specific luciferase expressing pmel-1 t cells were markedly increased in gp100 expressing melanoma lesions after treatment with vemurafenib (32) and this was associated with improved tumor response compared to either vemurafenib or act alone. this observation was specific to braf mutant tumors and independent of braf inhibition-mediated upregulation of mda. in this model, the increased intra-tumoral t cell frequencies were attributed to decreased vegf in the tumor. it was previously shown that vegf/vegfr-2 inhibition can upregulate endothelial adhesion molecules in tumor vessels, which can in turn increase the infiltration of leukocytes in tumors (33). wilmott et al. confirmed the observations of increased intra-tumoral t cell frequencies in melanoma patients who were treated with a braf inhibitor (34). increased frequencies of cd4 and cd8 cells were seen in both intra-tumoral and peritumoral regions of metastatic tumor specimens obtained between 3 and 15 days after treatment initiation. the increase in lymphocyte numbers inversely correlated with tumor size, but not with clinical objective responses. notably, intra-tumoral lymphocyte frequencies returned to pre-treatment levels at the time of tumor progression. similar increases in tumor infiltration by cd8 cells (but not cd4 cells) and decrease upon tumor progression in melanoma patients treated with braf or dual braf/mek inhibition was reported by frederick et al. (31).",pmc3809567,1,100,40,1,140
1117,ras pathway signature,biologicalpathway,,,,,,,kras,protein,,kras,uniprot,p01116,,,positive,i,activation,,,lung and breast tumors,lung and breast,human,['730'],nan,nan,"as described above, using a ras pathway signature score of zero as a threshold (mean value across a population), the ras pathway signature has > 90% sensitivity for identification of kras mutations in lung and breast cancer and identifies additional samples with apparent ras pathway activation in the absence of kras mutations. to further explore the clinical utility of the ras pathway signature in lung and breast cancer, we assessed the distribution of and prevalence of ras pathway signature scores across breast (expression project for oncology; gse 2109), and lung [21] tumors in publicly available datasets. we then compared this to published data regarding kras mutation. as shown in figure 7a, the ras pathway signature is significantly higher in lung adenocarcinoma compared to squamous (p < 10-8), with 76% of adenocarcinomas exhibiting ras signature scores above zero compared to 30% of squamous lung tumors. this is consistent with the known association between kras mutations and lung adenocarcinomas, but suggests that the true proportion of lung tumors with elevated ras pathway activity is larger than the ~15% reported prevalence of kras mutations in lung cancer [22,23]. in addition, the ras pathway signature is significantly higher in er negative breast tumors compared to other subtypes (p < 10-10, figure 7b), with 79% of triple negative tumors exhibiting ras signature scores above zero, compared to 17% of highly proliferative er+ tumors as measured by the genomic grade index signature [24]. as breast cancers are reported to have a very low prevalence of kras mutations [25], these results suggest that er negative breast tumors frequently have elevated ras pathway activity, even in the absence of frequent kras mutation. therefore, the ras pathway signature significantly expands the estimated prevalence of lung and breast tumors with apparent ras pathway activation, and suggests that > 75% of lung adenocarcinomas and triple negative breast cancers exhibit elevated ras signaling.",pmc2911390,1,100,40,1,140
425,gimatecan,compound,,,,,,,apoptosis,process,,,,,,,positive,d,activation,,,,,,['788'],nan,nan,"in this study, we evaluated the efficacy and underlying mechanism of gimatecan and irinotecan in vitro and in vivo. gimatecan had significant antitumor activity as indicated by inhibition of cell proliferation, suppression of xenograft growth, and activation of apoptosis.",pmc5729429,1,100,40,1,140
1130,ras-gtp,protein,,,uniprot,,cytoplasm,go:0005737,raf-1,protein,,raf1,uniprot,p04049,cytoplasm,go:0005737,positive,d,binding,ras-binding domain (rbd),dh5alpha bacterial strain,bacterial,,human,['916'],nan,nan,"the dh5alpha bacterial strain was transformed with a pgex-2t bacterial expression vector encoding gst followed by the 2-149 n-terminal residues of human raf-1 and induced to overexpress the protein by 0.1 mm iptg treatment overnight at rt under shaking. this plasmid contains the ras-binding domain (rbd) that binds only to activated ras-gtp (gift of channing der, addgene plasmid #13338). gst-sepharose resin (ge healthcare) was washed in cold pbs and incubated under shaking for 2h at 4°c with total bacterial proteins to allow raf-rbd conjugation with the resin. the resin was then washed and incubated with cell lysates under shaking for 1h at 4°c. at the end of the incubation, loading buffer (0.25 m tris-hcl ph 6.8, 10% sds, 0.5 m dithiothreitol (dtt), 50% glycerol, 0.25% bromophenol blue) was added to each sample before protein denaturation by boiling for 10 minutes. the samples were then loaded onto 4-20% gels followed by western blot analysis.",pmc5432316,1,100,40,1,140
1138,rasgtpases,protein,ras,,uniprot,,,,stat3,protein,,stat3,uniprot,p40763,mitochondria,go:0005739,positive,i,phosphorylation,serine 727 (s727),,,,human,['0'],nan,nan,"activating mutations in the rasgtpases are the most common oncogenic lesions in human cancer. similarly, elevated stat3 expression and/or phosphorylation are observed in the majority of human cancers. we recently found that activated ras requires a mitochondrial rather than a nuclear activity of stat3 to support cellular transformation. this mitochondrial activity of stat3 was supported by phosphorylation on serine 727 (s727) in the carboxyl-terminus of stat3. in this study we show that the h-ras oncoprotein engages the mek-erk pathway to drive phosphorylation of stat3 on s727, while phosphoinositide 3-kinase (pi3k) and mtor activity were superfluous. moreover, pharmacological inhibition of mek reduced transformation by h-, k- or n-ras. however, cells expressing a mitochondrially restricted stat3 with a phospho-mimetic mutation at s727 were partially resistant to inhibition of the erk pathway, exhibiting a partial rescue of anchorage-independent cell growth in the presence of mek inhibitor. this study shows that the mek-erk pathway is required for activated ras-induced phosphorylation of stat3 on s727, that inhibition of stat3 s727 phosphorylation contributes to the anti-oncogenic potential of mek inhibitors, and that mitochondrial stat3 is one of the critical substrates of the ras-mek-erk- axis during cellular transformation.",pmc3843736,1,100,40,1,140
1141,ras—erk pathway,pathway,ras—erk,,,,cytoplasm,go:0005737,tgf-β1,protein,,tgfb1,uniprot,p01137,extracellular region,go:0005576,negative,i,activation,,rle cells,epithelial,lung,,['809'],nan,nan,activation of the ras—erk pathway but not pi3k—akt signaling inhibits tgf-β1-induced emt in rle cells,pmc4440819,1,100,40,1,140
