index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
5,ltn1,protein,,lstn1,uniprot,q92574,cytoplasm,go:0005739,p90 ribosomal s6 kinases rsk1 and rsk2,protein,,rsk1 and rsk2,uniprot,p02874 and p02875,cytoplasm,go:0005739,negative,i,ubiquitylation,,hek 293t,unknown,,human,['11'],nan,nan,"mammalian ltn1 (listerin) was first characterized through a murine forward genetic screen to identify genes involved in neurodegeneration (chu et al., 2009). this study identified hypomorphic mutations in listerin that resulted in progressive neuronal death and motor-neuron dysfunction (chu et al., 2009). subsequent elucidation of the role ltn1 plays in ribosome-associated quality control led to the speculation that the accumulation of defective nascent chains in the absence of ltn1 function contributed to the neurodegenerative phenotype observed in lister mice. however, the lack of characterized endogenous ltn1 substrates has prevented a careful examination of whether ltn1’s rqc function or another undetermined ltn1 function contributes to the observed neurological phenotype. our results present a new role for ltn1 outside of its known rqc function. our results highlight an uncharacterized regulatory interaction between ltn1 and the p90 ribosomal s6 kinases rsk1 and rsk2. these cytosolic kinases regulate many cellular functions, including cell cycle, proliferation, and mrna translation (romeo et al., 2012; lara et al., 2013). our data suggest that regulatory, nondegradative ltn1-mediated ubiquitylation inhibits rsk1/2 activity. as such, loss of ltn1 may result in unrestrained rsk1/2 activity during mapk signaling and may drive translation during conditions that would otherwise restrain protein production. ltn1-mediated regulatory ubiquitylation was also observed for tyw3, which operates within a conserved multienzyme cascade that catalyzes wybutosine modification of phenylalanine-decoding trnas (noma et al., 2006; perche-letuvee et al., 2014). how ltn1-mediated regulatory ubiquitylation impacts tyw3 function is unknown, but this observation provides another example of how non-ribosome-associated ltn1 may regulate protein homeostasis in noncanonical ways.",pmc5935074,1,1,40,1,41
0,bcl-xl,protein,,bcl2l1,uniprot,q07817,mitochondria,go:0005739,apaf-1,protein,,apaf1,uniprot,o14727,mitochondria,go:0005739,negative,d,binds,,hek 293t,epithelial-like,kidney,human,['9'],nan,nan,utilization of proximity-labeling and traditional affinity-capture approaches to interrogate p97/vcp interacting proteins,pmc5935074,1,0.1,39,1,39.1
1,bi,drug,,,uniprot,,,,rgd2,protein,,,uniprot,,,,negative,d,binds,,,,,,['4'],nan,nan,"percentage of rgd2‐positive cells when bi is added at different intervals, relative to control, dmso‐treated, cells. mean and sd shown; n = 3; unpaired two‐tailed student's t‐test.",pmc6073214,1,0.1,39,1,39.1
2,fgf4,protein,,fgf4,uniprot,p00776,extracellular space,go:0005886,es cells,cell,,,,,none,,negative,d,phosphorylation,,es cells,pluripotent,none,mouse,['1'],nan,nan,"fgf4‐mek‐erk1/2 signalling stimulates es cells to transition out of naïve pluripotency and gain competence for lineage commitment 17, 44, 45. to identify targets of the erk signalling cascade in undifferentiated es cells, we utilised a quantitative mass spectrometry approach; stable isotope labelling by amino acids in cell culture (silac) 46 coupled with phosphopeptide capture using titanium dioxide (tio2) affinity purification 43. for silac metabolic labelling, cells were grown in dmem/f12 n2b27 medium supplemented with light or heavy arginine and lysine amino acids. the isotope‐labelled medium was comparable in performance to standard neurobasal/dmem/f12 n2b27 medium 47, both in maintaining self‐renewal (fig ev1a–c) and in supporting entry into differentiation (fig ev1d). es cells in 2ilif were compared to cells cultured without mek inhibition in medium containing gsk3 inhibitor, chir99021 (ch), plus lif (chlif). this allows analysis of the erk‐responsive phosphoproteome independent of a change in identity because es cells withstand erk signalling and remain undifferentiated in chlif 7, 19, 20.",pmc6073214,1,0.1,39,1,39.1
3,listerin,protein,,ltnr,uniprot,q92772,cytoplasm,go:0005739,motor neuron,other,,,uniprot,,nervous system,go:0005739,negative,d,binds,,,neuronal,nervous system,mouse,['8'],nan,nan,"mice lacking listerin with an intact ring domain die during embryonic development (chu et al., 2009). however, forward genetic approaches in mice revealed a hypomorphic mutation in the listerin gene that resulted in a neurodegenerative phenotype in which the mice display motor defects later in life due to motor neuron death (chu et al., 2009). based on the well-characterized role for ltn1 during ribosome-associated quality control, it is hypothesized that defective ltn1 function in animals results in neurodegeneration through the accumulation of toxic defective translation products. in support of this hypothesis, mutations in mice that weaken translation fidelity or quality control mechanisms also result in neurodegeneration (lee et al., 2006; ishimura et al., 2014). combined, these results suggest that elevating the levels of defective translation products beyond the capacity of quality control systems in neurons contributes to aging-associated degeneration. however, due to the lack of characterized endogenous ltn1 substrates, it remains possible that other, uncharacterized rqc-independent ltn1 functions contribute to the observed neurodegenerative phenotypes.",pmc5935074,1,0.1,39,1,39.1
4,ltn1,protein,e3 ubiquitin ligase,ltn1,uniprot,q92677,cytoplasm,go:0005739,rps6ka1,protein,ribosomal protein,rps6ka1,uniprot,q96743,cytoplasm,go:0005739,positive,d,ubiquitylation,,hek 293t,b-cell,,human,['7'],nan,nan,"previous genetic and biochemical studies from saccharomyces cerevisiae have identified a critical ribosome-associated quality control complex (rqc) that facilitates resolution of stalled ribosomal complexes. while components of the mammalian rqc have been examined in vitro, a systematic characterization of rqc protein interactions in mammalian cells has yet to be described. here we utilize both proximity-labeling proteomic approaches, bioid and apex, and traditional affinity-based strategies to both identify interacting proteins of mammalian rqc members and putative substrates for the rqc resident e3 ligase, ltn1. surprisingly, validation studies revealed that a subset of substrates are ubiquitylated by ltn1 in a regulatory manner that does not result in subsequent substrate degradation. we demonstrate that ltn1 catalyzes the regulatory ubiquitylation of ribosomal protein s6 kinase 1 and 2 (rps6ka1, rps6ka3). further, loss of ltn1 function results in hyperactivation of rsk1/2 signaling without impacting rsk1/2 protein turnover. these results suggest that ltn1-mediated rsk1/2 ubiquitylation is inhibitory and establishes a new role for ltn1 in regulating mitogen-activated kinase signaling via regulatory rsk1/2 ubiquitylation. taken together, our results suggest that mammalian rqc interactions are difficult to observe and may be more transient than the homologous complex in s. cerevisiae and that ltn1 has rqc-independent functions.",pmc5935074,1,0.1,39,1,39.1
6,ltn1,protein,,ltn1,uniprot,q9h0d7,cytoplasm,go:0005739,rqc2/tae2,protein,,rqc2,uniprot,q9h0d7,cytoplasm,go:0005739,positive,d,binds,,,b-cell,,human,['10'],nan,nan,"ltn1 has a clear role in ribosome-associated quality control and has been repeatedly shown to mediate destruction of model defective nascent substrates within s. cerevisiae and human cells as well as in vitro (brandman and hegde 2016). subsequent structural studies nicely define how the extended structure of ltn1 results in binding to separated 60s ribosomal subunits allowing ltn1, in concert with nemf (rqc2/tae2), to both contact the exposed 40s interaction surface of the 60s particle and position the ring domain of ltn1 near the ribosome nascent chain exit tunnel (lyumkis et al., 2014; shao et al., 2015; shen et al., 2015; doamekpor et al., 2016). further, loss of ltn1 function in s. cerevisiae results in rqc2/tae2-dependent carboxy-terminal extension of nascent chains by addition of alanine and threonine residues (catylation) and subsequent protein aggregation (choe et al., 2016; yonashiro et al., 2016). these results suggest that rqc functions to both drive ltn1-dependent nascent chain destruction and to engage with chaperone systems when ltn1 fails. however, most of the in vivo studies characterizing ltn1 and rqc function have been done in s. cerevisiae, and catylation has only been demonstrated in s. cerevisiae. further, quantitative proteomic studies in a range of human cell lines indicate that ribosomes are 100× more abundant than ltn1, suggesting that ltn1 capacity during rqc events is limited in mammalian cells (wisniewski et al., 2014; harper and bennett, 2016). our results demonstrate that a substantial portion of mammalian ltn1 is not ribosome associated at steady state or on complete inhibition of translation elongation. further, proteomic characterization of mammalian ltn1 interacting proteins using either affinity capture or proximity-labeling techniques did not identify ribosomal proteins as specific ltn1 interactors. it is possible this interaction cannot be sampled due to limitations in the approaches utilized here. however, our data suggest that, along with its well-characterized rqc role, ltn1 may have ribosome-independent functions.",pmc5935074,1,0.1,39,1,39.1
7,mapk/erk,protein,,,uniprot,,cytoplasm,go:0005634,rsk1,protein,,rps6ka1,uniprot,q92576,cytoplasm,go:0005634,negative,d,phosphorylation,,es cells,pluripotent,,mouse,['0'],nan,nan,"mitogen‐activated protein kinase (mapk)/extracellular signal‐regulated kinase (erk) signalling is implicated in initiation of embryonic stem (es) cell differentiation. the pathway is subject to complex feedback regulation. here, we examined the erk‐responsive phosphoproteome in es cells and identified the negative regulator rsk1 as a prominent target. we used crispr/cas9 to create combinatorial mutations in rsk family genes. genotypes that included homozygous null mutations in rps6ka1, encoding rsk1, resulted in elevated erk phosphorylation. these rsk‐depleted es cells exhibit altered kinetics of transition into differentiation, with accelerated downregulation of naïve pluripotency factors, precocious expression of transitional epiblast markers and early onset of lineage specification. we further show that chemical inhibition of rsk increases erk phosphorylation and expedites es cell transition without compromising multilineage potential. these findings demonstrate that the erk activation profile influences the dynamics of pluripotency progression and highlight the role of signalling feedback in temporal control of cell state transitions.",pmc6073214,1,0.1,39,1,39.1
8,mepce,protein,,,uniprot,q9y6x7,cytoplasm,go:0005634,genes,other,,,uniprot,,,,,d,phosphorylation,,,,,human,['12'],nan,nan,nan,nan,1,0.1,39,1,39.1
9,rex1,protein,,zfp42,uniprot,q92673,nucleus,go:0005739,gfpd2,protein,,,uniprot,p01730,plasma membrane,go:0005886,positive,d,undergoes,,rgd2,b-cell,,mouse,['5'],nan,nan,"rex1::gfpd2 (rgd2) es cells carry a destabilised form of gfp with a short half‐life under the control of the endogenous rex1 (zfp42) promoter. zfp42 expression is associated with the naïve state and quickly downregulated as cells lose the capacity to self‐renew in 2ilif conditions 44. cells were cultured in the absence of feeders on 0.1% gelatin‐coated plastic and replated at a density of 2 × 104 cells/cm2 every 2–3 days following dissociation with accutase (paa, cat. l11‐007) or trypsin (invitrogen, cat. 25050030). cells were grown in either gmem medium (sigma, cat. g5154) containing 15% fcs (sigma, cat. f7524), 100 mm 2‐mercaptoethanol (sigma, cat. m7522), 1× mem non‐essential amino acids (invitrogen, cat. 1140‐036), 2 mm l‐glutamine, 1 mm sodium pyruvate (both from invitrogen) and 100 units/ml lif prepared in‐house, or in serum‐free n2b27 86 (prepared in‐house, or ndiff n2b27 base medium, stem cell sciences ltd, cat. scs‐sf‐nb‐02, or ndiff 227 base medium, takara bio, cat. y40002) supplemented with small molecule inhibitors pd (1 μm, pd0325901), ch (3 μm, chir99021) and lif. for indicated experiments, cells were treated with 3 μm bi‐d1870 inhibitor (bi; axon medchem). for metabolic labelling, cells were cultured in arginine‐ and lysine‐free dmem/f12 (dundee cell products) supplemented with b27 (gibco cat. 17504‐044), in‐house prepared n2 86, 100 mm 2‐mercaptoethanol, 2 mm l‐glutamine, 0.7 mm l‐arginine (sigma) or 13c6",pmc6073214,1,0.1,39,1,39.1
