index,Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
783,pten,protein,,,,p60484,other,sl-0039,pip3,chemical,,,chebi,chebi:60169,other,sl-0039,positive,i,dephosphorylation,,,cl:cl:0000034,,,"nan,nan","nan,nan","by dephosphorylating pip3 to pip2 , pten reverses the action of pi3k , thereby hampering all downstream functions controlled by the akt / mtor axis , such as cycle progression , induction of cell death , transcription , translation , stimulation of angiogenesis , and stem cell self-renewal ( 10 – 17 ) .,it suppresses tumorigenesis by dephosphorylating phosphatidylinositol ( 3,4,5 )-triphosphate ( pip3 ) to phosphatidylinositol ( 4,5 )-biphosphate ( pip2 ) , thereby directly inhibiting phosphatidylinositol 3 kinase ( pi3k )-mediated tumorigenic activities .","pmc4329810,pmc2777864",2,10,10,1,30
652,pten,protein,,,,p60484,,,ca,chemical,,,pubchem,271,,,positive,i,none,,,,,,nan,nan,we demonstrated that specific targeting of pten to the er is sufficient to enhance er-to-mitochondria ca transfer and sensitivity to apoptosis [ 62 ] .,pmc4396696,1,10,11,1,21
813,pten,protein,,,,p60484,other,sl-0112 ++++ go:go:0005739 ++++ uniprot:sl-0040 ++++ uniprot:sl-0091,ca,chemical,,,pubchem,271,other,sl-0112 ++++ go:go:0005739 ++++ uniprot:sl-0040 ++++ uniprot:sl-0091,positive,i,secretion,,,,,,nan,nan,"pten silencing impairs er ca release , thus reducing the cytosolic and mitochondrial ca concentration leading to decreased cellular sensitivity to ca -mediated apoptotic stimulation ( 209 ) .",pmc4515857,1,10,11,1,21
162,c-jun,protein,,,,p05412,,,pten,protein,,,uniprot,p60484,,,negative,i,transcription,,,cl:cl:0000057,,,nan,nan,"on the contrary , snail , c-jun , and nuclear factor kappa-b ( nf-kb ) have been reported to negatively regulate pten transcription ( 106 , 126 , 127 ) .",pmc4329810,1,10,10,1,20
462,nf-kb,protein,,,,p19838,,,pten,protein,,,uniprot,p60484,,,negative,i,transcription,,,cl:cl:0000057,,,nan,nan,"on the contrary , snail , c-jun , and nuclear factor kappa-b ( nf-kb ) have been reported to negatively regulate pten transcription ( 106 , 126 , 127 ) .",pmc4329810,1,10,10,1,20
723,pten,protein,,,,p60484,,,pten,protein,,,uniprot,p60484,,,negative,i,methylation,,,,,,nan,nan,"in line with this , we also checked the combined effect ( double hit ) of pten methylation and loh in pten loss .",pmc6485588,1,10,10,1,20
724,pten,protein,,,,p60484,,,pten,protein,,,uniprot,p60484,,,negative,i,none,,,cl:cl:0000825,,uberon:uberon:2000106,nan,nan,"moreover , missense mutations in the phosphatase domain of pten β ( g275e , analogous to pten ( g129e ) ) and ( c270s , analogous to pten ( c124s ) ) both eliminated the lipid phosphatase activity of the protein ( supplementary fig. 6b ) .",pmc5376652,1,10,10,1,20
725,pten,protein,,,,p60484,,,pten,protein,,,uniprot,p60484,,,negative,i,ubiquitination,,,,,,nan,nan,we found that opening the protein conformation in pten increased pten ubiquitination over that of pten ( figure 6c ) .,pmc5491373,1,10,10,1,20
769,pten,protein,,,,p60484,other,sl-0008 ++++ uniprot:sl-0286 ++++ uniprot:sl-0291 ++++ uniprot:sl-0288,pip3,chemical,,,chebi,chebi:60169,other,sl-0008 ++++ uniprot:sl-0286 ++++ uniprot:sl-0291 ++++ uniprot:sl-0288,positive,i,none,,,cl:cl:0000540,,,nan,nan,"this is usually regarded as a sequestration of pten away from these sites in order to allow a steep pip3 gradient to be formed and maintained , particularly during cell migration .",pmc3978343,1,10,10,1,20
814,pten,protein,,,,p60484,other,sl-0112 ++++ go:go:0005739 ++++ uniprot:sl-0040 ++++ uniprot:sl-0091,er,protein,,,uniprot,o14944,other,sl-0112 ++++ go:go:0005739 ++++ uniprot:sl-0040 ++++ uniprot:sl-0091,positive,i,secretion,,,,,,nan,nan,"pten silencing impairs er ca release , thus reducing the cytosolic and mitochondrial ca concentration leading to decreased cellular sensitivity to ca -mediated apoptotic stimulation ( 209 ) .",pmc4515857,1,10,10,1,20
833,pten,protein,,,,p60484,other,sl-0162 ++++ uniprot:sl-0039,pip3,chemical,,,chebi,chebi:60169,other,sl-0162 ++++ uniprot:sl-0039,positive,i,amount,,,,,,nan,nan,"among the mutants , pten -gfp induced the strongest decrease in pip3 levels , consistent with the effect of phospho-akt .",pmc5491373,1,10,10,1,20
914,pten,protein,,,,p60484.t,,,pten,protein,,,uniprot,p60484,,,negative,i,transcription,,cellosaurus:cvcl_0022,,,,nan,nan,"first , expression of normal pten effectively repressed motility of pten expressing u87mg cells , but had no effect on cocultured non-pten-expressing u87mg cells .",pmc5725211,1,10,10,1,20
