Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
braf,protein,,braf,uniprot,p00732,plasma membrane,go:0005886,tcr,protein,,,uniprot,tcr,plasma membrane,go:0005886,positive,d,phosphorylation,,,b-cell,,vein,['16'],nan,nan,"a. western blot analysis of protein levels of pakt (ser473), ps6r, perks, lc3 and tubulin after 24 h treatment with 1μm brafv600e inhibitor plx4720 (lanes 2, 6 and 10), 1μm mek inhibitor pd0325901 (lanes 3, 7 and 11) and 1μm of pi3k/mtor inhibitor pi-103 (lanes 4, 8, 12), in the mutant brafv600e cell lines rko, ht29 and colo-205 respectively. the quantification of lc3 reflects the whole protein levels as compared to the untreated sample in each cell line (i) and the ratio of lc3ii/lc3i in each sample separately (ii). b. the existence of autophagic vacuoles was analysed by 0,1 mm mdc staining under confocal microscope, after treatment of ht29 and colo-205 cell lines with the kinase inhibitors, described in 3a. c. cell viability of the mutant brafv600e colon cancer cell lines rko, ht29 and colo-205 after 24 (upper left panel), 48 (lower left panel) and 72 h (lower right panel) treatments with 1μm of each of the following braf/mek/erk and akt/mtor pathway inhibitors; plx4720, pi-103, pd0325901 (pd), gdc0941 (gdc) (pi3k inhibitor), rapamycin (mtor inhibitor). cells were also stained with hoechst after 24h treatment in order to assess the number of apoptotic nuclei (upper right panel). d. western blot analysis of lc3 and p62 protein levels in the mutant brafv600e colon cancer cell lines rko, ht29 and colo-205 respectively after 24 h treatment with 1μm of each of the following braf/mek/erk and akt/mtor pathway inhibitors: plx4720 (2, 8, 14), pi-103 (3, 9, 15), pd0325901 (4, 10, 16), gdc0941 (5, 11, 17), rapamycin (6, 12, 18). the quantification of lc3 reflects total protein levels as compared to the untreated sample in each cell line (i) and the ratio of lc3ii/lc3i in each sample separately (ii). e. confocal microscope images of two-dimensional culture in rko cell line after treatment with 1μm of each of the following braf/mek/erk and pi3k/mtor pathway inhibitors; plx4720 (2nd column), pi-103 (3rd column), pd0325901(4th column), gdc0941(5th column), rapamycin (6th column) as compared to control untreated cells (1st column). cells were stained with mdc (upper row, light blue), phalloidin (middle row, red), and merged staining (lower row), in order to detect autophagic vacuoles (mdc) and cell number distribution. the number of cells stained with mdc (high-low) was recorded. the total number of cells by phalloidin staining and the number of mdc stained cells from five different confocal images for each sample was recorded. f. western blot analysis of protein levels of pakt(ser473), ps6r, lc3, p62 and tubulin after 24 h treatment with 1μm of pi-103 (lanes 2, 6, 10, 14), 1μm gdc0941 (lanes 3, 7, 11, 15) and 1μm rapamycin (lanes 4, 8, 12, 16) in caco-2, dld-1, hct116 and rko cell lines. protein levels were normalized against tubulin. the quantification of lc3 reflects the total protein levels as compared to the untreated sample in each cell line (i) and the ratio of lc3ii/lc3i in each sample separately (ii). g. confocal microscope images of two-dimensional culture in dld-1 cell line after treatment with 1μm of each of the following pi3k/mtor pathway inhibitors; pi-103 (2nd column), gdc0941(3rd column) and rapamycin (4th column) as compared to control untreated cells (1st column). cells were stained with hoechst (upper row, blue), lc3 antibody (middle row, green) and merged (lower row). the total number of cells by hoechst staining and the number of lc-3 stained cells from five different confocal images for each sample was recorded.",pmc4891035,1,100,40,1,140
,drug,,,uniprot,,,,atg3,protein,,atg3,uniprot,q92574,,,positive,d,induction,,,,,human,['52'],nan,nan,"while analysing the anticancer effects of na, we observed morphological changes in bca cell lines treated with na as compared with untreated cells. in particular, many changes were evident when visualising the autophagic vacuoles by phase-contrast microscopy in na-treated cells (data not shown). so, we investigated the kinetics of the induction of autophagy markers, including the atg family of proteins, in na-treated bca cells. atg3 expression was significantly induced in a time- and dose-dependent manner in na-treated bca cells, as compared with two other atg gene family proteins, that is, atg7 and atg12 (figures 3a and c). treatment with na moderately induced atg5 expression in both bca cells. beclin 1 is a known atg family tumour suppressor involved in autophagy; so, we evaluated whether na upregulates beclin 1 expression. our data showed that beclin 1 levels remained unaltered between control and na-treated cells (figures 3b and d).",pmc4102935,1,100,40,1,140
resveratrol,compound,,,uniprot,,,,jnk,protein,,mapk8,uniprot,p00657,cytoskeleton,go:0005739,negative,d,inhibits,,,,,human,['6'],nan,nan,"puissant et al.29 presented evidence of resveratrol triggering autophagic death in chronic myeloid leukemia cells via both jnk-mediated p62/sqstm1 overexpression and ampk/mtor activation.108 also resveratrol enhanced the expression of several tubulin subunits, which is important for movement of autophagosomes inside the cell.",pmc4260725,1,100,40,1,140
3-ma,drug,autophagic inhibitor,,uniprot,,cytosol,go:0005886,braf,protein,,braf,uniprot,p01730,plasma membrane,go:0005886,negative,d,inhibition,,rko,b-cell,,human,['20'],nan,nan,"a. cell viability of the brafv600e bearing cell line rko after mono- and pre-treatment with autophagic and braf inhibitors. rko cells were treated with either 3-ma (gi50=2,6 mm) or plx4720 (gi50=13,9μm) or with their combination for 48 h. upper left panel: combination indices are shown, ci<1 synergism, ci=1 additivity and ci>1 antagonism, with the values shown in the upper right panel, n=4, bars are standard errors. lower left panel: the effect of plx4720 with or without a fixed dose (1mm) of 3-ma on cell viability is shown. lower right panel: additive, synergistic or antagonistic effects are shown: values above zero indicate antagonism, equal to zero additivity and below zero synergism. the strongest synergistic effect is delivered by the combination of 1mm 3-ma with 0,156μm plx4720. b. western blot analysis of parp, perk1/2, lc3b, p62 and tubulin protein levels in rko (lanes 1-4), colo-205 (lanes 5-8) and ht29 (lanes 9-12) cell lines after treatment with either 0,5μm plx4720 (lanes 2,6,10) or 5mm 3-ma (lanes 3, 7,11) or their combination (lanes 4,8,12). for the combination treatments, cells were pre-treated for 2 h with 5mm of the autophagic inhibitor 3-ma and then co- treated with 5mm 3-ma and 0,5μm plx4720 for 48 h in total. the quantification of lc3 reflects the whole protein levels as compared to the untreated sample in each cell line (i) and the ratio of lc3ii/lc3i in each sample(ii) c. light and confocal microscope images of two-dimensional culture in rko cell line after treatment with either 0,5μm plx4720 (2nd row) or 5mm 3-ma (3rd row) for 48 h as compared to control untreated cells (1st row). for the combination treatments, cells were first incubated for 2 h with 5mm of the autophagic inhibitor 3-ma and then co- treated with 5mm 3-ma and 0,5μm plx4720 for 48 h in total (4th row). for apoptotic marker staining under confocal microscopy, rko cells were incubated and stained with hoechst (1st column) and with cleaved caspase 3 antibody (2nd column) and merged (3rd column) in order to detect the presence of apoptotic cell death, as compared to untreated control (1st row). the total number of cells and the number of cleaved. caspase 3-stained cells from three different confocal images for each sample was recorded. cells were also visualized under light microscope (4th column). d. light and confocal microscope images of three-dimensional culture in rko, ht29 and colo-205 cell lines after treatment with either 0,5μm plx4720 (2nd row) or 5mm 3-ma (3rd row) for 48 h as compared to control untreated tumors (1st row). for the combination treatments, tumor cells were first incubated for 2 hr with 5mm of the autophagic inhibitor 3-ma and then co- treated with 5mm 3-ma and 0,5μm plx4720 for 48 h in total (4th row). tumor treatments started after twelve-day tumor formation. for apoptotic marker staining under confocal microscopy, rko tumors were incubated and stained with hoechst (1st column) and with cleaved caspase 3 antibody (2nd column) and merged (3rd column) in order to detect the presence of apoptotic cell death, as compared to untreated control (1st row). tumors were also visualized under light microscope and their mass was measured (4th column).",pmc4891035,1,0.1,39,1,39.1
lc3,protein,,lc3,uniprot,q92577,cytosol,go:0005634,braf,protein,,braf,uniprot,q96552,cytosol,go:0005634,positive,d,expression,,,colon cancer,,human,['15'],nan,nan,"in the present study, the role of autophagy in ras and braf induced transformation was examined in colon cancer cell lines. both stimulation of lc3 expression and formation of autophagic vacuoles in mutant brafv600e cell lines are presented. furthermore, the mek/erk pathway can increase the protein levels of lc3, unlike the akt/mtor pathway, which has been shown to abolish the autophagic process. notably, bafilomycin a1, a potent autophagy inhibitor can cause remarkable apoptotic cancer cell death, as mono-treatment. it is shown here that by using specific autophagy inhibitors not only cancer cell proliferation rate can be reduced, but the otherwise resistant mutant braf colon cell lines to targeted braf agents, like plx4720 (vemurafenib), can be sensitised to apoptosis in a synergistic manner. this study proposes a promising rational combinatorial treatment using braf and autophagy inhibitors that will potentially provide efficient therapeutic protocols for these otherwise untreatable tumors, yet to be further tested in vivo.",pmc4891035,1,0.1,39,1,39.1
lc3b,protein,,lc3b,uniprot,q92578,cytosol,go:0005739,lc3a,protein,,lc3a,uniprot,q92577,cytosol,go:0005739,positive,d,lipidation,,bca,epithelial-like,,human,['53'],nan,nan,"we next evaluated an important autophagy marker, lc3b, a microtubule-associated protein, which has an critical role in autophagy, especially in the formation of the autophagosome (mizushima and yoshimori, 2007). during autophagy induction, lc3-i, a cytosolic form of lc3, is converted to lc3-ii by lipidation, which facilitates its binding with the membranes of autophagosomes (kabeya et al, 2000). treatment with na upregulated lc3a (a-i and a-ii) and lc3b (b-i and b-ii) expression in a dose- and time-dependent manner in bca cell lines (figures 3b and d). however, a significant induction of lc3b was seen as compared with lc3a in both bca cell lines. further, na activates lc3b promoter in mcf-7 (5.4-fold) and mda-mb-231 (4.2-fold) cells (figure 3e). in addition, we also confirmed a transcriptional regulation of lc3b in both cell lines (supplementary figure 5).",pmc4102935,1,0.1,39,1,39.1
lc3b-i,protein,soluble cytosolic,lc3b,uniprot,p00892,cytosol,go:0005739,lc3b-ii,protein,membrane-bound,lc3b,uniprot,q00456,membrane,go:0005739,positive,i,phosphatidyl ethanolamine,,panc-1,pancreatic,,human,['1'],nan,nan,"conversion from the soluble cytosolic lc3b-i to the membrane-bound lc3b-ii via conjugation of phosphatidyl ethanolamine represents the formation of autophagosomes. therefore, increased expression of lc3b-ii is a good marker for autophagosome evaluation (27). treatment with gef induced the increased expression of lc3b-ii in a dose- and a time-dependent manner in panc-1 cells and bxpc-3 cells (fig. 2a). not shown is that erl-treatment also increased the expression of lc3b-ii as well as gef. in addition, combined treatment with gef and lysosomal inhibitors such as e-64d and pepstatin a, which are used for blocking autophagy flux, further enhanced lc3b-ii expression compared to treatment with gef alone or with only lysosomal inhibitors (fig. 2b). furthermore, electron microscopy indicated a marked increase of autophagosomes and autolysosomes in panc-1 cells after treatment with gef (fig. 2c). these data indicate that gef induces autophagy in pancreatic cell lines as well as other cancer cell lines, including nsclc cells previously reported by us and others (25,26).",pmc4734605,1,0.1,39,1,39.1
macrophage,cell,,cd68,uniprot,q13535,cytoplasm,go:0005634,apoptotic cell,cell,,,uniprot,,cytoplasm,go:0005634,positive,i,binds,,macrophage,monocyte,,human,['10'],nan,nan,"the macrophage is the major phagocyte to clear dying cells, and it has a preference for clearing apoptotic rather than necrotic cells, although the post-engulfment functional consequences are significantly different. phagocytosis of apoptotic cells by macrophages triggers the release of anti-inflammatory cytokines, whereas the production of pro-inflammatory cytokines is suppressed. phagocytosis of necrotic cells does not induce pro-inflammatory cytokine production in macrophages. phagocytosis of autophagic cells induces inflammasome activation and il-1β secretion in macrophages, suggesting that autophagy is not immunologically silent.",pmc3877563,1,0.1,39,1,39.1
mek/erk,signalingpathway,positive,mapk8,uniprot,q96438,cytosol,go:0005634,autophagic markers,protein,,,uniprot,,cytoplasm,go:0005634,positive,d,positively regulates,,,,,human,['17'],nan,nan,"taking the above under consideration, τhe mek/erk signalling pathway positively regulates autophagic markers and braf/mek/erk and pi3k/akt/mtor signalling pathways can differentially regulate the autophagic process.",pmc4891035,1,0.1,39,1,39.1
mtor complex,proteincomplex,,tor1,uniprot,q92046,plasma membrane,go:0005886,lc3,protein,,lc3,uniprot,p00887,cytoplasm,go:0005739,positive,d,binds,,,,,mouse,['59'],nan,nan,nan,nan,1,0.1,39,1,39.1
