Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Unnamed: 0,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
stat3,protein,transcription factor,stat3,uniprot,p40763,nucleus,go:0005634,mtor,protein,kinase,mtor,uniprot,p42345,cytoplasm,go:0005737,negative,d,phosphorylation,,hnscc cells,epithelial-like,head and neck,human,['101'],nan,nan,"possible proteins involved were detected in xenografts and hnscc cells through western blot and immunohistochemistry to further explore the mechanism by which targeting stat3 triggers cell death and autophagy, as well as to elucidate the role of p-stat3t705 in each process. at least 30 autophagy-related genes have been identified [43]. mtor is an autophagy-related gene that negatively modulates autophagosome formation in eukaryotic cells [44]. in the present research, we evaluated the level of phosphorylated mtor to detect whether or not mtor is involved in nsc74859-induced autophagy. nsc74859 treatment decreased the phosphorylation levels of akt and mtor as well as the phosphorylation substrates of mtor (p-s6s235/236) in cal27 cells. this result indicates that the akt/mtor signaling pathway is involved in nsc74859-induced autophagy in cal27 cells. the erk signaling cascade plays a key role in autophagy regulation [45, 46]. however, the mechanism underlying this regulation process has yet to be elucidated. the present results verified the importance of erk activation in nsc74859-induced autophagy. the level of p-erk1/2t202/204 increased in cal 27 cells treated with different concentration of nsc74859 for 24 h. the erk phosphorylation inhibitor u0126 was employed to further confirm the role of erk1/2 in nsc74859-induced autophagy [47]. treatment with 100 μm nsc74859 and 20 μm u0126 for 24 h decreased the levels of lc3ii and p-erk1/2t202/204 in cal27 cells. this result suggests that autophagic flux can be suppressed by inhibiting the phosphorylation of erk1/2.",pmc4791252,1,100,40,1,140
brafv600e,protein,kinase,braf,uniprot,p15056,cytoplasm,go:0005737,erk,protein,kinase,mapk1,uniprot,p28482,cytoplasm,go:0005737,positive,d,triggers,,colon cancer,epithelial,colon,human,['176'],nan,nan,"in conclusion, it is clear from this ex vivo study that autophagy is triggered by brafv600e and the signalling pathway raf/mek/erk. furthermore, the cytoprotective role of autophagy in colon cancer cell lines bearing this mutation is a new and promising target for the future anti- cancer strategy on patients with mutant brafv600e. it is also proposed that autophagy could be targeted in nonbrafv600e colorectal tumors by selected existing or novel autophagy inhibitors.",pmc4891035,1,100,40,1,140
stat3,protein,,stat3,uniprot,p40763,nucleus,go:0005634,jak,protein,kinase,jak,uniprot,o60674,plasma membrane,go:0005886,negative,d,inhibits,,,head and neck squamous cell carcinoma,,human,['100'],nan,nan,"stat3 is an attractive therapeutic target because its development and regulation display an oncogenic phenotype [5, 33]. sen et al. found that the jak kinase inhibitor azd1480 abrogates stat3 activation and head and neck squamous cell carcinoma tumor growth [34]. peyser et al. reported that ptprt is frequently hypermethylated in hnscc and ptprt promoter and methylation is significantly associated with sensitivity to stat3 inhibition in hnscc cells [35]. study by bonner et al. suggested that head and neck cancer cells were more sensitive to cetuximab after the inhibition of stat-3 by an inhibiting short hairpin rna (shrna) knockdown approach [36]. sen et al. [37] generated a double-stranded stat3 oligonucleotide decoy and conducted a clinical trial in head and neck tumors. however, the results of initial clinical trials that utilized stat3 inhibitors are unsatisfactory. blocking p-stat3 potently stimulates the autophagic flux [11]. however, whether or not autophagy promotes cell death or enhances survival remains controversial. drug-induced autophagy of tumor cells has been reported [38, 39], but most studies support the survival role of autophagy in chemotherapy-induced cell death [40, 41]. therefore, the potential cause of treatment failure in these settings may be the pro-survival role of autophagy induced by stat3 inhibitors. considering that the pharmacological or genetic inhibition of autophagy promotes nsc74859-induced apoptosis, we speculated that nsc74859-mediated autophagy is a pro-survival mechanism rather than a pro-death mechanism. these observations are consistent with other reports [42]. a xenograft tumor model was established by the subcutaneous inoculation of cal27 cells into nude mice treated with both nsc74859 and cq. co-treatment reduced tumor volume compared with nsc74859 alone, indicating that blocking the autophagic flux can enhance the efficacy of nsc74859 on hnscc cells.",pmc4791252,1,100,40,1,140
ampk,protein,,prkaa1,uniprot,q13131,cytoplasm,go:0005737,mtor,protein,,mtor,uniprot,p42345,cytoplasm,go:0005737,negative,i,promotes,,,,,,['318'],nan,nan,"pten has a stimulatory effect on autophagy, by downregulating pi3k/akt signaling. it is a critical regulator of the pi3k pathway [39], which selectively hydrolyzes pip3 to pip2, and inhibits the activation of akt/pkb. akt inhibition leads to suppression of mtor signaling and the induction of autophagy [39]. unlike the ras/raf/erk and pi3k pathways, ampk (amp-activated protein kinase) pathway has a negative effect on mtor signaling and promotes autophagy. upon starvation and activation of calcium signaling, ampk phosphorylates and activates tsc2, which inhibits mtor signaling.",pmc4182068,1,100,40,1,140
lc3b,protein,,lc3b,uniprot,q9gzq8,tumours,,mtor,protein,kinase,mtor,uniprot,p42345,cytoplasm,go:0005737,negative,i,inhibition,,bca (mcf-7 and mda-mb-231) cells,breast cancer,breast,human,['375'],nan,nan,"lc3b is highly expressed in tumours as compared with normal tissues. activation of lc3b in na-treated bca (mcf-7 and mda-mb-231) cells was evident as compared with other autophagy makers. further, our results confirmed that na-transcriptionally regulates lc3b (as confirmed by mrna levels and reporter assay), which resulted in the formation of acidic autophagy vesicles and autolysosomes in bca cells. nimocinol acetate inhibited mtor-mediated pro-survival signalling that resulted in inhibition of growth in bca cells without affecting normal breast epithelial cells. downregulation of lc3b expression by sirna significantly inhibited the anticancer effects of na in bca cells.",pmc4102935,1,100,40,1,140
egfr,protein,membrane-spanning tyrosine kinase receptor,egfr,uniprot,p00533,membrane,go:0016020,akt,protein,serine/threonine protein kinase,akt1,uniprot,p31749,cytoplasm,go:0005737,positive,d,activation,downstream,,cancer,,human,['276'],nan,nan,"in cancer cells, radiation-induced or constitutive signaling pathways that act through receptor tyrosine kinases (rtks) are implicated in modulating radioresistance. egfr, an erbb family member, is a membrane-spanning tyrosine kinase receptor that plays an important role in regulating tumor cell proliferation, survival, invasion, and angiogenesis. high-level egfr expression is correlated with radioresistance and poor outcome after radiotherapy in preclinical and clinical studies [185,186]. egfr exerts prosurvival and pro-proliferation activities through the activation of downstream signaling pathways, including the pi3k/akt, stat, and ras–raf–mapk [187,188,189]. among them, the pi3k/akt pathway is a key downstream survival pathway activated in cancer cells. the akt serine/threonine protein kinase, a central kinase downstream of pi3k, is involved in different aspects of cellular regulation, such as cell growth, proliferation, survival, migration/invasion, metastasis, angiogenesis, and metabolism.",pmc4661850,1,100,40,1,140
cd95/fas,protein,pro-apoptotic,fas,uniprot,p25445,plasma membrane,go:0005886,jnk,protein,,mapk8,uniprot,p45983,cytoplasm,go:0005737,positive,d,activation,,,,,human,['109'],nan,nan,"interestingly, increased apoptosis in tumor tissue is observed early in tumorigenesis. a possible reason for this is that rapid reparative epithelial proliferation, possible fusion events with inflammatory macrophages, and selection by lymphoid cells promotes early genetic instability required for tumor transformation and progression. the associated dna damage in turn activates the intrinsic apoptosis pathway. excessive apoptosis can lead to immune dysfunction within the tumor microenvironment. recent studies indicate that loss of pro-apoptotic genes, such as cd95/fas and puma, promotes tumorigenesis by activation of jnk, or sustains tumor stem cell survival.5, 6, 7 these findings raise the possibility that apoptosis promotes early tumorigenesis.8",pmc3877563,1,100,40,1,140
brafv600e,protein,,braf,uniprot,p15056,plasma membrane,go:0005886,mek,protein,,map2k1,uniprot,q02750,cytoplasm,go:0005737,positive,i,feedback re-activation,,,,colorectal,,['134'],nan,nan,"the specific brafv600e inhibitors vemurafenib [27] and dabrafenib accomplish relatively short periods of antitumor activity before the appearance of resistance and treatment failure. a number of different mechanisms that may contribute to tumor resistance to drug therapy have been proposed, including a feedback re-activation of egfr in colorectal cancer [24-26, 28-30]. several studies and clinical trials in various cancer types have long been focusing on combining specific brafv600e inhibitors with other kinase or receptor growth factor inhibitors, like mek, pi3k and egfr [31-33, 44]. towards this end, combined inhibition of autophagy and oncogenic braf may be particularly efficient, as braf-driven tumors induce and require mitochondrial metabolism, and therefore may need autophagy to supply substrates, such as glutamine, to replenish tca cycle intermediates and to eliminate damaged mitochondria [34].",pmc4891035,1,100,40,1,140
pi3k,protein,,pik3ca,uniprot,p42336,,,pten,protein,,pten,uniprot,p60484,,,positive,d,genetic mutations,apoptotic pathway,,,brain,human,['198'],nan,nan,"malignant glioblastomas are the most common form of brain cancer. late stages of brain cancer are associated with poor prognosis and the average survival rate of patients diagnosed with malignant glioma generally does not exceed two years [58,59]. while treatment of glioblastoma includes radiotherapy and chemotherapy, generally, glioblastomas (gbms) are resistant to the current therapeutics due to the hyperactivation of the pi3k-akt-mtor survival pathway by excessive stimulation via growth factor receptors and ras [60]. most gbms carry mutations on the pten gene, whose function is to inhibit the continuous activation of pi3k/akt [60,61]. as the apoptotic pathway is also frequently inactivated due to genetic mutations [58,62], gbms are considered to be relatively resistant to cytotoxic insults [63,64].",pmc4100138,1,10,38,1,48
akt,protein,,akt1,uniprot,p31749,cytoplasm,go:0005737,mtor,protein,,mtor,uniprot,p42345,cytoplasm,go:0005737,negative,d,inhibition,,malignant glioma cells,glial,brain,human,['19'],nan,nan,"curcumin induced g2/m arrest and autophagy in malignant glioma cells through the inhibition of the akt/mtor/p70s6k and activation of the extracellular signal-regulated kinase (erk)1/2 pathways, which implied that cell death via autophagy, might be pathway specific.",pmc4260725,1,10,38,1,48
